Symbol,%chng
HDFCBANK,0.83
BSE,2.27
ETERNAL,3.26
SBIN,0.97
VEDL,0.92
MCX,2.68
HINDZINC,0.44
ANGELONE,2.81
HINDALCO,0.68
NATIONALUM,0.84
BEL,0.48
ONGC,1.78
PAYTM,2.16
PREMIERENE,1.25
OIL,1.41
UNIONBANK,0.99
BIOCON,0.47
TATAELXSI,0.98
CANBK,0.39
CDSL,0.73
DMART,0.76
SHRIRAMFIN,0.37
TECHM,1.24
LTF,1.54
INOXWIND,1.15
MANAPPURAM,0.73
EICHERMOT,0.47
BAJAJHLDNG,0.51
CHOLAFIN,0.53
CGPOWER,1.02
MUTHOOTFIN,0.46
LICHSGFIN,0.87
BANKINDIA,0.69
SIEMENS,0.65
COLPAL,0.39
MOTHERSON,0.55
TIINDIA,0.36
NAUKRI,0.36
PHOENIXLTD,0.73
ABCAPITAL,0.61
OFSS,0.65
LTIM,0.63
HDFCAMC,0.42
360ONE,1.19
PNBHOUSING,0.61
KFINTECH,0.39
IIFL,0.75
MPHASIS,0.59
DALBHARAT,0.48
SONACOMS,0.42
