Symbol,%chng in OI
NIFTY,19.57
ANGELONE,2.74
HCLTECH,2.65
LT,2.43
TATAELXSI,2.35
BSE,2.13
OIL,1.63
ICICIGI,1.61
POLYCAB,1.57
POLICYBZR,1.52
FINNIFTY,1.51
EICHERMOT,1.3
HINDZINC,1.26
SBIN,1.25
BIOCON,1.17
APOLLOHOSP,1.16
POWERINDIA,1.15
GODREJPROP,1.07
BANKNIFTY,1.02
AMBER,1.02
TCS,0.97
M&M,0.96
PHOENIXLTD,0.9
CAMS,0.9
BDL,0.89
ETERNAL,0.87
TMPV,0.87
MCX,0.85
NUVAMA,0.84
ASIANPAINT,0.83
RVNL,0.83
IDFCFIRSTB,0.81
WIPRO,0.8
UNOMINDA,0.79
SUZLON,0.74
MANKIND,0.73
NBCC,0.72
COALINDIA,0.71
ADANIPORTS,0.69
DRREDDY,0.67
INFY,0.67
BHEL,0.66
SOLARINDS,0.66
PRESTIGE,0.65
NHPC,0.64
ABB,0.63
MARUTI,0.63
PAYTM,0.61
CIPLA,0.6
RELIANCE,0.59
TECHM,0.59
TIINDIA,0.58
KAYNES,0.57
LODHA,0.57
PFC,0.56
SIEMENS,0.55
LAURUSLABS,0.54
TATACONSUM,0.49
INOXWIND,0.47
ADANIGREEN,0.46
SHREECEM,0.46
JINDALSTEL,0.45
ICICIPRULI,0.45
MUTHOOTFIN,0.45
SWIGGY,0.43
ADANIENSOL,0.43
CANBK,0.42
UNIONBANK,0.42
HAVELLS,0.41
BAJAJFINSV,0.41
ABCAPITAL,0.41
TITAN,0.41
DLF,0.41
PPLPHARMA,0.4
NATIONALUM,0.4
TRENT,0.39
ASHOKLEY,0.39
DIXON,0.38
SHRIRAMFIN,0.38
INDIANB,0.37
IDEA,0.36
BHARTIARTL,0.35
PGEL,0.35
HINDUNILVR,0.34
PNB,0.34
IRFC,0.34
GMRAIRPORT,0.33
AMBUJACEM,0.33
BANKBARODA,0.33
MAZDOCK,0.33
KALYANKJIL,0.32
360ONE,0.32
CGPOWER,0.31
BHARATFORG,0.31
INDUSTOWER,0.31
NTPC,0.3
WAAREEENER,0.3
LUPIN,0.3
OBEROIRLTY,0.3
HEROMOTOCO,0.3
PAGEIND,0.3
VEDL,0.3
FORTIS,0.29
LTF,0.29
RECLTD,0.28
IOC,0.28
HINDPETRO,0.28
HUDCO,0.27
AUROPHARMA,0.27
RBLBANK,0.26
MPHASIS,0.26
AXISBANK,0.26
LICI,0.25
BRITANNIA,0.24
ULTRACEMCO,0.24
TVSMOTOR,0.24
HDFCLIFE,0.23
IRCTC,0.23
BPCL,0.23
INDUSINDBK,0.23
JUBLFOOD,0.22
TORNTPHARM,0.22
INDHOTEL,0.22
JIOFIN,0.22
DABUR,0.21
COLPAL,0.21
BLUESTARCO,0.21
ASTRAL,0.21
MAXHEALTH,0.21
PETRONET,0.2
BAJAJ-AUTO,0.2
NMDC,0.19
TATATECH,0.19
KEI,0.19
INDIGO,0.19
ADANIENT,0.18
UPL,0.17
SBICARD,0.17
MIDCPNIFTY,0.16
TORNTPOWER,0.15
JSWENERGY,0.14
TATASTEEL,0.14
UNITDSPR,0.14
CROMPTON,0.14
BOSCHLTD,0.14
PATANJALI,0.13
MANAPPURAM,0.13
CUMMINSIND,0.12
BEL,0.12
BANKINDIA,0.12
AUBANK,0.12
CDSL,0.12
POWERGRID,0.12
SBILIFE,0.12
CHOLAFIN,0.12
BAJFINANCE,0.1
BAJAJHLDNG,0.1
VOLTAS,0.1
BANDHANBNK,0.09
HDFCAMC,0.09
KOTAKBANK,0.09
NYKAA,0.08
JSWSTEEL,0.08
NESTLEIND,0.08
EXIDEIND,0.08
FEDERALBNK,0.08
IEX,0.07
COFORGE,0.07
IREDA,0.07
TATAPOWER,0.07
MFSL,0.07
PERSISTENT,0.05
APLAPOLLO,0.05
SONACOMS,0.04
SUNPHARMA,0.04
DIVISLAB,0.04
DALBHARAT,0.04
NAUKRI,0.04
YESBANK,0.04
VBL,0.03
CONCOR,0.03
HAL,0.03
ZYDUSLIFE,0.02
GRASIM,0.02
MOTHERSON,0.02
OFSS,0.02
GODREJCP,0.01
HINDALCO,0.01
SAIL,0.01
DELHIVERY,0.01
PREMIERENE,0.0
-,0.0
NIFTYNXT50,0.0
SYNGENE,0.0
ITC,0.0
GLENMARK,0.0
MARICO,0.0
SRF,-0.03
IIFL,-0.03
SUPREMEIND,-0.04
KPITTECH,-0.05
PIDILITIND,-0.09
LTIM,-0.11
KFINTECH,-0.11
PNBHOUSING,-0.12
ICICIBANK,-0.14
HDFCBANK,-0.2
PIIND,-0.28
GAIL,-0.37
LICHSGFIN,-0.42
ALKEM,-0.45
ONGC,-0.5
DMART,-0.55
