,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,IDEA,EQ,11.2,11.23,10.84,11.12,10.76,3.35,296308378,32712.4449312,N,20-Aug-2024,Annual General Meeting,3.35
1,INDIGO,EQ,5081.0,5155.0,5062.5,5155.0,5059.5,1.89,162234,8310.5826606,N,13-Aug-2025,Dividend - Rs 10 Per Share,1.89
2,INDUSTOWER,EQ,421.05,428.55,421.05,426.15,418.75,1.77,570602,2429.623316,N,09-Aug-2024,Buy Back,1.77
3,RECLTD,EQ,360.0,365.0,359.95,362.7,356.8,1.65,1887654,6858.2245127999995,N,27-Oct-2025,Interim Dividend - Rs 4.60 Per Share,1.65
4,PFC,EQ,358.9,362.35,357.15,360.0,355.4,1.29,1391511,5011.9443198,N,26-Nov-2025,Interim Dividend - Rs 3.65 Per Share,1.29
5,BHEL,EQ,288.5,292.15,288.1,291.1,287.45,1.27,980263,2848.644278,N,01-Aug-2025,Dividend - Re 0.50 Per Share,1.27
6,M&M,EQ,3725.0,3765.0,3721.1,3755.0,3709.2,1.23,213034,7990.8840365999995,N,04-Jul-2025,Dividend - Rs 25.30 Per Share,1.23
7,WIPRO,EQ,264.5,268.05,263.75,266.3,263.28,1.14,796699,2122.406136,N,28-Jul-2025,Interim Dividend - Rs 5 Per Share,1.15
8,APLAPOLLO,EQ,1925.6,1936.0,1914.0,1934.5,1914.0,1.07,33904,654.1742896000001,N,22-Aug-2025,Dividend - Rs 5.75 Per Share,1.07
9,RVNL,EQ,359.2,365.4,357.85,360.8,357.25,0.99,1624515,5876.6830125,N,21-Aug-2025,Dividend - Rs 1.72 Per Share,0.99
10,IREDA,EQ,141.0,142.3,140.65,141.19,139.9,0.92,2179372,3088.1701239999998,N,-,-,0.92
11,ETERNAL,EQ,278.6,280.85,278.55,280.55,278.05,0.9,758893,2125.9628502,N,-,-,0.9
12,PREMIERENE,EQ,847.0,854.6,843.5,849.6,842.15,0.88,119908,1019.7216136,N,29-Aug-2025,Dividend - Re 0.50 Per Share,0.88
13,NATIONALUM,EQ,315.5,317.25,313.6,316.8,314.3,0.8,928431,2933.9348031,N,14-Nov-2025,Interim Dividend - Rs 4 Per Share,0.8
14,RELIANCE,EQ,1573.7,1583.5,1572.3,1582.0,1570.4,0.74,462048,7288.8072,N,14-Aug-2025,Dividend - Rs 5.5 Per Share,0.74
15,VOLTAS,EQ,1361.2,1377.0,1361.2,1371.0,1361.2,0.72,19262,264.2765662,N,20-Jun-2025,Dividend - Rs 7 Per Share,0.72
16,COLPAL,EQ,2086.1,2095.7,2080.0,2089.7,2075.7,0.67,42243,883.2969056999999,N,03-Nov-2025,Interim Dividend - Rs 24 Per Share,0.67
17,TVSMOTOR,EQ,3737.0,3755.0,3722.4,3744.4,3719.8,0.66,54656,2045.6319744,N,25-Aug-2025,Scheme Of Arrangement - Bonus Ncrps 4:1,0.66
18,DALBHARAT,EQ,2145.3,2146.4,2109.8,2144.7,2130.9,0.65,8733,186.912399,N,24-Oct-2025,Interim Dividend - Rs 4 Per Share,0.65
19,IRFC,EQ,125.31,126.22,124.62,125.4,124.62,0.63,3297833,4144.0569478,N,24-Oct-2025,Interim Dividend - Rs 1.05 Per Share,0.63
