,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
0,ITC,165893,150365,15528,10.33,59874,67823.46448,31720479040,71027.57488,3204.1104,387
1,NIFTY,6517065,6025496,491569,8.16,4177441,74788.40136,7092553190970,221849.95106,147061.5497,26164
2,BAJAJHLDNG,1819,1721,98,5.69,302,429.4875,135137523,461.01273,31.52523,11344
3,PREMIERENE,2366,2306,60,2.6,271,249.74377,109774141,274.65018,24.90641,850
4,NIFTYNXT50,1018,996,22,2.21,54,873.06912,7068419,874.00332,0.93419,69437
5,RECLTD,101065,99263,1802,1.82,17163,11441.738,7844007164,13094.36464,1652.62664,363
6,IOC,32015,31447,568,1.81,2934,2772.2058,2171837947,3149.49277,377.28697,167
7,BANKNIFTY,722917,710511,12406,1.75,135996,21273.69802,243292638978,37696.66781,16422.96978,59604
8,WAAREEENER,3466,3413,53,1.55,328,319.87317,150358421,344.61988,24.74671,2979
9,PFC,97359,95886,1473,1.54,10746,6699.81143,4502166084,7661.35227,961.54084,360
10,BHEL,42377,41784,593,1.42,4204,6553.19122,2657398248,7236.40496,683.21373,290
11,NBCC,23820,23509,311,1.32,1318,2889.5256,800405645,3105.60705,216.08145,122
12,KAYNES,56192,55461,731,1.32,2817,2368.25085,947381465,2616.1155,247.86465,3994
13,DRREDDY,25976,25644,332,1.29,1637,2667.60356,1047328118,2816.82225,149.21868,1258
14,TVSMOTOR,55172,54504,668,1.23,4360,3426.91224,2589646055,3951.5403,524.62805,3744
15,MIDCPNIFTY,80755,79840,915,1.15,13206,4933.40259,21533858908,6973.79168,2040.38908,13777
16,M&M,110741,109535,1206,1.1,15681,10409.5093,11016071286,12400.82216,1991.31286,3757
17,ANGELONE,28980,28669,311,1.08,1264,1029.30505,664026772,1202.19777,172.89272,2331
18,JINDALSTEL,32690,32345,345,1.07,2154,3560.53331,1099892993,3791.58825,231.05493,1053
19,SHRIRAMFIN,85920,85022,898,1.06,5067,5686.09767,3744438604,6522.01621,835.91854,1002
20,RVNL,65139,64460,679,1.05,4716,2995.34766,2403989351,3654.85617,659.50851,361
21,MARUTI,85056,84238,818,0.97,4564,3382.51673,3544103788,3825.55461,443.03788,16707
22,CANBK,38044,37715,329,0.87,1758,4963.87777,1384449435,5252.41462,288.53685,154
23,SWIGGY,3370,3342,28,0.84,165,288.5298,58401512,298.98492,10.45512,387
24,UNITDSPR,40488,40171,317,0.79,1017,1164.98136,483074628,1263.92764,98.94628,1438
25,INDIANB,15762,15640,122,0.78,900,1287.4641,644807380,1434.4379,146.9738,835
26,BPCL,21754,21586,168,0.78,1785,2565.88405,1136221311,2790.08467,224.20061,385
27,LAURUSLABS,27915,27700,215,0.78,1567,2483.17249,1266196779,2776.62028,293.44779,1108
28,AUBANK,27148,26942,206,0.76,595,1168.4515,503268530,1226.1368,57.6853,992
29,NATIONALUM,29327,29105,222,0.76,1443,2698.64475,1502578312,3032.58412,333.93937,316
30,IDEA,147884,146804,1080,0.74,15114,32811.97821,9540111330,35744.45451,2932.4763,11
31,BSE,59934,59497,437,0.73,3229,4330.1178,2868313256,5052.68786,722.57006,2619
32,MANAPPURAM,18929,18804,125,0.66,428,1343.4837,270170790,1404.0666,60.5829,306
33,MCX,45898,45596,302,0.66,4476,6629.28885,5684021903,8023.88288,1394.59403,11070
34,OIL,12747,12664,83,0.66,856,420.18718,492023420,482.49138,62.3042,418
35,SBIN,143951,143019,932,0.65,5678,4991.2341,3735661500,5401.2741,410.04,981
36,BDL,29503,29319,184,0.63,929,986.10659,395001047,1074.84706,88.74047,1459
37,DMART,46480,46193,287,0.62,1130,1375.27287,519439777,1469.74564,94.47277,3756
38,AMBER,14805,14715,90,0.61,430,651.782,219116386,688.84586,37.06386,6400
39,HAL,103549,102936,613,0.6,2730,1631.76093,1728349189,1855.15282,223.39189,4384
40,IREDA,24908,24761,147,0.59,2916,2561.86684,1245814044,2857.60153,295.73469,141
41,BAJFINANCE,167828,166841,987,0.59,3305,4162.1535,2098138822,4526.71672,364.56322,982
42,MUTHOOTFIN,23083,22952,131,0.57,857,1491.18895,769450855,1613.29751,122.10855,3788
43,CDSL,40440,40223,217,0.54,737,779.97261,447248780,863.08041,83.1078,1444
44,ASHOKLEY,46758,46509,249,0.54,1895,2765.5055,1459226850,3075.824,310.3185,179
45,MAZDOCK,52826,52550,276,0.53,2094,655.865,1045965100,868.676,212.811,2489
46,GMRAIRPORT,40971,40758,213,0.52,683,1036.72703,409996986,1122.1659,85.43886,104
47,SUPREMEIND,14797,14722,75,0.51,648,1072.02709,288477773,1127.84232,55.81523,3375
48,HEROMOTOCO,55162,54883,279,0.51,1966,2908.89582,1457069032,3163.43614,254.54032,5743
49,TCS,190516,189589,927,0.49,8480,8596.75675,4027476724,9162.51899,565.76224,3210
50,FEDERALBNK,17525,17442,83,0.48,388,935.417,441410050,996.6425,61.2255,266
51,ZYDUSLIFE,16514,16436,78,0.47,265,842.28192,136998819,859.21011,16.92819,911
52,VOLTAS,36327,36156,171,0.47,810,635.0439,367452532,691.19422,56.15032,1369
53,SYNGENE,10186,10139,47,0.46,114,202.0985,56772850,207.127,5.0285,647
54,ASTRAL,26381,26261,120,0.46,1463,2593.70024,620390537,2709.39561,115.69537,1395
55,SAMMAANCAP,31985,31843,142,0.45,777,1420.81073,360913276,1529.09849,108.28776,144
56,HINDPETRO,27134,27014,120,0.44,2835,3509.09982,2576556459,4045.08816,535.98834,498
57,LT,100183,99756,427,0.43,3326,3988.4104,2021801064,4264.43605,276.02564,4103
58,MANKIND,12007,11957,50,0.42,214,577.03574,49281927,586.80252,9.76677,2179
59,APLAPOLLO,28525,28407,118,0.42,498,725.42148,272619203,784.75351,59.33203,1933
