,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,ZEEL,EQ,N,92.5,90,194188262.09,2115571,2.05,2.28,92.01,01-Jan-2026 09:26:50,91.79
1,SUNTV,EQ,N,599.75,589.5,68061582.6,114092,11.7,1.99,599.25,01-Jan-2026 09:26:49,596.55
2,NETWORK18,EQ,N,44.25,43.39,16733179.23,380559,0.71,1.64,44.1,01-Jan-2026 09:26:47,43.97
3,HATHWAY,EQ,N,12.58,12.41,1440526.16,115058,0.07,0.56,12.5,01-Jan-2026 09:26:52,12.52
4,SAREGAMA,EQ,N,355.3,350,11565643.32,32724,1.8,0.51,352.8,01-Jan-2026 09:26:47,353.43
5,PVRINOX,EQ,N,1020.8,1012,10061465.13,9879,4.1,0.40,1019.3,01-Jan-2026 09:26:47,1018.47
6,TIPSMUSIC,EQ,N,558.75,553.2,2039303.58,3669,1.4,0.25,553.65,01-Jan-2026 09:26:49,555.82
7,DBCORP,EQ,N,263.75,262.6,334875.38,1273,0.5,0.19,263.2,01-Jan-2026 09:26:48,263.06
8,NAZARA,EQ,N,275.1,272,28690728.24,104952,-0.85,-0.31,272.7,01-Jan-2026 09:26:46,273.37
9,PFOCUS,EQ,N,235.5,232.5,21685761.93,92449,-2.5,-1.06,233.07,01-Jan-2026 09:26:47,234.57
