Symbol,%chng in OI
KOTAKBANK,577.43
UNIONBANK,35.84
NIFTY,30.84
TATAELXSI,20.72
HDFCAMC,17.76
VEDL,16.98
360ONE,14.15
BANKINDIA,13.35
INDIANB,13.32
POLYCAB,11.78
OIL,11.52
MANAPPURAM,10.69
TCS,9.87
MARUTI,8.47
NTPC,8.26
SWIGGY,8.16
HINDZINC,8.01
UNOMINDA,8.01
INFY,7.85
ANGELONE,7.85
KALYANKJIL,7.53
BAJAJHLDNG,7.35
SUNPHARMA,7.08
ASTRAL,6.62
TATASTEEL,6.62
TORNTPHARM,6.43
KEI,6.43
AXISBANK,6.39
BHARATFORG,6.29
KFINTECH,6.27
SONACOMS,6.05
FEDERALBNK,5.88
MCX,5.74
HDFCBANK,5.67
RVNL,5.59
FINNIFTY,5.59
TATATECH,5.56
HINDPETRO,5.51
IREDA,5.3
DIXON,5.28
ADANIENSOL,5.02
POLICYBZR,4.65
DALBHARAT,4.64
NHPC,4.63
CAMS,4.63
HINDUNILVR,4.56
PHOENIXLTD,4.34
LTF,4.32
IRCTC,4.24
ICICIBANK,4.21
APOLLOHOSP,3.8
ICICIPRULI,3.79
HEROMOTOCO,3.78
ULTRACEMCO,3.78
POWERINDIA,3.72
BLUESTARCO,3.67
OBEROIRLTY,3.63
PIIND,3.62
VOLTAS,3.59
WAAREEENER,3.55
COLPAL,3.51
PRESTIGE,3.46
PIDILITIND,3.41
COALINDIA,3.34
SUPREMEIND,3.33
MIDCPNIFTY,3.32
ABB,3.32
NATIONALUM,3.32
SRF,3.26
MPHASIS,3.26
LAURUSLABS,3.24
TVSMOTOR,3.1
AUBANK,3.09
GODREJPROP,3.08
DLF,3.07
NBCC,3.05
DRREDDY,2.96
SBIN,2.92
NAUKRI,2.92
NYKAA,2.88
IDFCFIRSTB,2.82
KPITTECH,2.81
TIINDIA,2.81
PNB,2.8
CANBK,2.79
LICI,2.77
INOXWIND,2.74
BANKNIFTY,2.68
CHOLAFIN,2.67
LT,2.62
POWERGRID,2.58
BDL,2.5
SUZLON,2.31
HDFCLIFE,2.29
EXIDEIND,2.28
TORNTPOWER,2.24
MOTHERSON,2.23
APLAPOLLO,2.19
MUTHOOTFIN,2.15
ADANIENT,2.14
CGPOWER,2.13
BRITANNIA,2.03
BHARTIARTL,1.89
CDSL,1.87
TATACONSUM,1.81
ZYDUSLIFE,1.79
PGEL,1.77
PREMIERENE,1.75
IRFC,1.67
GAIL,1.66
GLENMARK,1.64
INDIGO,1.58
FORTIS,1.58
AMBER,1.56
KAYNES,1.53
LODHA,1.52
OFSS,1.5
BAJAJ-AUTO,1.5
ADANIPORTS,1.5
IOC,1.47
SBICARD,1.42
RECLTD,1.42
ONGC,1.41
ASHOKLEY,1.37
JIOFIN,1.35
SYNGENE,1.35
ABCAPITAL,1.3
CONCOR,1.28
BSE,1.26
MFSL,1.25
ADANIGREEN,1.25
TATAPOWER,1.23
HAL,1.21
JINDALSTEL,1.16
PAYTM,1.15
HAVELLS,1.12
LTIM,1.06
CIPLA,1.05
PNBHOUSING,1.03
IIFL,1.02
DIVISLAB,0.98
TITAN,0.97
UPL,0.85
TRENT,0.84
MAZDOCK,0.72
JSWENERGY,0.72
GMRAIRPORT,0.7
M&M,0.67
NESTLEIND,0.63
BPCL,0.6
HUDCO,0.56
PPLPHARMA,0.54
HINDALCO,0.49
PAGEIND,0.43
BOSCHLTD,0.41
GODREJCP,0.4
SBILIFE,0.39
MARICO,0.38
WIPRO,0.34
GRASIM,0.32
PETRONET,0.11
UNITDSPR,0.1
VBL,0.07
IEX,0.02
JSWSTEEL,0.02
RELIANCE,0.01
MANKIND,-0.05
EICHERMOT,-0.06
BAJFINANCE,-0.12
ASIANPAINT,-0.13
YESBANK,-0.15
RBLBANK,-0.24
PFC,-0.24
SOLARINDS,-0.27
PATANJALI,-0.29
SAMMAANCAP,-0.32
BHEL,-0.4
NMDC,-0.41
SHRIRAMFIN,-0.43
BEL,-0.49
DELHIVERY,-0.53
DABUR,-0.61
LUPIN,-0.61
ITC,-0.69
JUBLFOOD,-0.71
BANDHANBNK,-0.79
TMPV,-0.88
AMBUJACEM,-0.91
SIEMENS,-1.01
INDHOTEL,-1.03
AUROPHARMA,-1.07
SAIL,-1.11
BAJAJFINSV,-1.24
IDEA,-1.27
ALKEM,-1.33
CROMPTON,-1.34
BANKBARODA,-1.55
LICHSGFIN,-1.66
PERSISTENT,-1.68
NIFTYNXT50,-2.09
SHREECEM,-2.15
NUVAMA,-2.18
TECHM,-2.23
CUMMINSIND,-2.34
ETERNAL,-2.71
BIOCON,-2.72
INDUSTOWER,-2.95
COFORGE,-3.01
MAXHEALTH,-3.37
DMART,-3.57
INDUSINDBK,-4.83
HCLTECH,-5.84
ICICIGI,-6.66
