Symbol,Min_Max,%chng
SONACOMS,0.94,-0.69
ASHOKLEY,0.70,-0.69
BAJAJ-AUTO,0.17,-0.69
EXIDEIND,-0.19,-0.69
TMPV,-0.21,-0.69
M&M,-0.41,-0.69
EICHERMOT,-0.46,-0.69
UNOMINDA,-0.70,-0.69
BHARATFORG,-0.88,-0.69
MOTHERSON,-1.17,-0.69
BOSCHLTD,-1.19,-0.69
HEROMOTOCO,-1.21,-0.69
TIINDIA,-1.54,-0.69
MARUTI,-1.69,-0.69
TVSMOTOR,-1.88,-0.69
