Symbol,Min_Max,%chng
LICHSGFIN,2.96,-0.47
AXISBANK,2.93,-0.47
JIOFIN,0.95,-0.47
PFC,0.93,-0.47
RECLTD,0.84,-0.47
MUTHOOTFIN,0.30,-0.47
SBIN,0.15,-0.47
SHRIRAMFIN,0.08,-0.47
BSE,0.07,-0.47
BAJAJFINSV,-0.43,-0.47
BAJFINANCE,-0.44,-0.47
CHOLAFIN,-0.50,-0.47
HDFCLIFE,-0.61,-0.47
SBILIFE,-0.72,-0.47
SBICARD,-1.15,-0.47
HDFCBANK,-1.32,-0.47
ICICIGI,-1.35,-0.47
ICICIBANK,-1.42,-0.47
KOTAKBANK,-1.48,-0.47
ICICIPRULI,-2.12,-0.47
