Symbol,Min_Max,%chng
INFY,0.62,-1.08
HCLTECH,0.29,-1.08
PERSISTENT,-0.90,-1.08
WIPRO,-1.23,-1.08
COFORGE,-1.35,-1.08
LTIM,-1.37,-1.08
TECHM,-1.40,-1.08
TCS,-2.15,-1.08
OFSS,-2.17,-1.08
MPHASIS,-2.82,-1.08
