Symbol,Min_Max,%chng
GSPL,2.87,0.54
OIL,2.12,0.54
ONGC,1.72,0.54
IOC,1.19,0.54
GUJGASLTD,1.17,0.54
BPCL,0.54,0.54
RELIANCE,0.41,0.54
IGL,0.20,0.54
CASTROLIND,0.02,0.54
GAIL,-0.10,0.54
ATGL,-0.19,0.54
PETRONET,-0.33,0.54
AEGISLOG,-0.48,0.54
MGL,-1.43,0.54
HINDPETRO,-1.97,0.54
