Symbol,Min_Max,%chng
VEDL,6.09,2.7
HINDCOPPER,5.48,2.7
NATIONALUM,4.57,2.7
HINDZINC,3.99,2.7
TATASTEEL,3.71,2.7
SAIL,2.90,2.7
JINDALSTEL,2.89,2.7
HINDALCO,2.09,2.7
APLAPOLLO,1.93,2.7
NMDC,1.92,2.7
JSL,1.35,2.7
JSWSTEEL,0.65,2.7
LLOYDSME,-0.06,2.7
ADANIENT,-0.30,2.7
WELCORP,-0.33,2.7
