Symbol,Min_Max,%chng
SOBHA,1.12,-0.92
DLF,-0.37,-0.92
GODREJPROP,-0.37,-0.92
OBEROIRLTY,-0.63,-0.92
LODHA,-1.39,-0.92
PRESTIGE,-1.49,-0.92
PHOENIXLTD,-1.51,-0.92
BRIGADE,-1.57,-0.92
SIGNATURE,-2.28,-0.92
ANANTRAJ,-2.74,-0.92
