Symbol,Min_Max,%chng
UNIONBANK,7.71,2.13
PSB,4.36,2.13
BANKINDIA,3.54,2.13
PNB,3.36,2.13
INDIANB,2.95,2.13
IOB,2.21,2.13
CANBK,2.15,2.13
BANKBARODA,2.00,2.13
CENTRALBK,1.99,2.13
UCOBANK,1.80,2.13
MAHABANK,1.06,2.13
SBIN,0.15,2.13
