Symbol,%chng
HINDZINC,1.61
VEDL,1.54
INDUSTOWER,1.02
GLENMARK,0.84
TATATECH,0.68
BAJAJHLDNG,0.65
ICICIPRULI,0.52
HDFCAMC,0.51
NYKAA,0.51
HINDALCO,0.5
SUNPHARMA,0.49
MCX,0.48
ADANIENSOL,0.48
KPITTECH,0.48
MANKIND,0.46
NATIONALUM,0.45
LAURUSLABS,0.44
BLUESTARCO,0.42
OIL,0.42
ALKEM,0.42
ITC,0.39
COLPAL,0.39
HINDUNILVR,0.39
TVSMOTOR,0.39
IIFL,0.38
LICHSGFIN,0.34
LT,0.32
NTPC,0.3
IEX,0.3
CANBK,0.29
SUPREMEIND,0.29
INDIANB,0.28
IDEA,0.28
INDUSINDBK,0.27
PAYTM,0.27
MUTHOOTFIN,0.25
ULTRACEMCO,0.25
ANGELONE,0.24
BANKBARODA,0.23
BAJAJ-AUTO,0.23
DIXON,0.2
NESTLEIND,0.17
PREMIERENE,0.16
PRESTIGE,0.15
JSWSTEEL,0.15
BHEL,0.15
SBIN,0.15
BANKINDIA,0.14
CAMS,0.14
INDHOTEL,0.13
JINDALSTEL,0.12
SHRIRAMFIN,0.1
ONGC,0.09
COFORGE,0.09
SIEMENS,0.08
MPHASIS,0.08
UPL,0.07
LTIM,0.07
OFSS,0.06
TITAN,0.06
YESBANK,0.04
KAYNES,0.04
M&M,0.04
CONCOR,0.03
ADANIPORTS,0.03
PNB,0.02
KFINTECH,0.01
SAMMAANCAP,0.01
UNIONBANK,0.01
IRCTC,0.0
TATASTEEL,0.0
POLICYBZR,0.0
FORTIS,0.0
TIINDIA,0.0
IRFC,0.0
ZYDUSLIFE,0.0
UNOMINDA,0.0
HCLTECH,0.0
TATACONSUM,0.0
IDFCFIRSTB,0.0
TORNTPHARM,0.0
HAL,0.0
SYNGENE,0.0
JUBLFOOD,0.0
SAIL,0.0
AMBUJACEM,0.0
PFC,-0.01
APLAPOLLO,-0.01
GRASIM,-0.01
ABCAPITAL,-0.01
BOSCHLTD,-0.01
DRREDDY,-0.02
DALBHARAT,-0.02
NMDC,-0.02
AMBER,-0.02
HUDCO,-0.02
PPLPHARMA,-0.04
BSE,-0.04
RECLTD,-0.04
DLF,-0.06
POWERINDIA,-0.06
CDSL,-0.06
WAAREEENER,-0.07
CROMPTON,-0.08
ASIANPAINT,-0.08
WIPRO,-0.08
ABB,-0.11
VOLTAS,-0.12
360ONE,-0.12
KOTAKBANK,-0.12
TECHM,-0.12
ADANIENT,-0.12
DMART,-0.13
ADANIGREEN,-0.13
PAGEIND,-0.14
PETRONET,-0.14
VBL,-0.16
GAIL,-0.16
BDL,-0.17
BPCL,-0.17
INOXWIND,-0.18
OBEROIRLTY,-0.19
EICHERMOT,-0.19
GODREJPROP,-0.2
CUMMINSIND,-0.2
PNBHOUSING,-0.21
LICI,-0.21
BAJFINANCE,-0.21
RVNL,-0.21
COALINDIA,-0.21
TMPV,-0.21
MARUTI,-0.22
AUROPHARMA,-0.23
JSWENERGY,-0.23
ICICIGI,-0.24
TCS,-0.24
HEROMOTOCO,-0.25
IOC,-0.25
MAZDOCK,-0.26
ASHOKLEY,-0.26
SOLARINDS,-0.28
PHOENIXLTD,-0.28
CGPOWER,-0.28
EXIDEIND,-0.29
CIPLA,-0.31
FEDERALBNK,-0.32
HINDPETRO,-0.33
RBLBANK,-0.33
PATANJALI,-0.33
MANAPPURAM,-0.34
PIIND,-0.37
BHARATFORG,-0.37
BAJAJFINSV,-0.38
MARICO,-0.38
SONACOMS,-0.39
TRENT,-0.41
SUZLON,-0.41
BRITANNIA,-0.41
KALYANKJIL,-0.43
KEI,-0.48
MOTHERSON,-0.48
DIVISLAB,-0.49
NUVAMA,-0.49
LUPIN,-0.5
BIOCON,-0.5
PERSISTENT,-0.51
BANDHANBNK,-0.54
AXISBANK,-0.55
TATAPOWER,-0.56
BHARTIARTL,-0.58
NBCC,-0.58
DELHIVERY,-0.58
SBILIFE,-0.59
RELIANCE,-0.61
SBICARD,-0.62
INDIGO,-0.62
PGEL,-0.63
SWIGGY,-0.64
CHOLAFIN,-0.65
BEL,-0.65
POWERGRID,-0.66
INFY,-0.69
ETERNAL,-0.7
IREDA,-0.71
UNITDSPR,-0.71
APOLLOHOSP,-0.73
GMRAIRPORT,-0.74
DABUR,-0.76
SHREECEM,-0.77
HDFCBANK,-0.78
ICICIBANK,-0.79
HAVELLS,-0.82
AUBANK,-0.82
ASTRAL,-0.83
GODREJCP,-0.84
NAUKRI,-0.86
HDFCLIFE,-0.87
LTF,-0.88
MAXHEALTH,-0.89
NHPC,-0.9
MFSL,-0.92
JIOFIN,-0.93
PIDILITIND,-1.12
SRF,-1.2
TORNTPOWER,-1.6
TATAELXSI,-1.61
LODHA,-1.86
POLYCAB,-3.0
