Symbol,Min_Max,%chng
HFCL,2.60,-0.7
IDEA,2.59,-0.7
INDUSTOWER,2.58,-0.7
TATACOMM,0.83,-0.7
KPITTECH,0.60,-0.7
CYIENT,-0.16,-0.7
AFFLE,-0.27,-0.7
PERSISTENT,-0.90,-0.7
ZENSARTECH,-1.02,-0.7
COFORGE,-1.35,-0.7
SONATSOFTW,-1.35,-0.7
BSOFT,-1.43,-0.7
INTELLECT,-1.66,-0.7
LTTS,-1.80,-0.7
TATATECH,-1.92,-0.7
OFSS,-2.17,-0.7
BHARTIHEXA,-2.45,-0.7
MPHASIS,-2.82,-0.7
HEXT,-2.96,-0.7
TATAELXSI,-5.49,-0.7
