Symbol,Min_Max,%chng
BLUESTARCO,0.81,-0.57
CROMPTON,0.59,-0.57
CERA,0.50,-0.57
HAVELLS,0.41,-0.57
KAJARIACER,0.28,-0.57
AMBER,-0.09,-0.57
BATAINDIA,-0.37,-0.57
CENTURYPLY,-0.45,-0.57
TITAN,-0.57,-0.57
PGEL,-0.81,-0.57
WHIRLPOOL,-0.94,-0.57
DIXON,-1.16,-0.57
VOLTAS,-1.53,-0.57
KALYANKJIL,-2.94,-0.57
VGUARD,-3.23,-0.57
