Symbol,Min_Max,%chng
UNITDSPR,1.39,-0.61
ITC,0.04,-0.61
PATANJALI,0.02,-0.61
VBL,-0.04,-0.61
BRITANNIA,-0.19,-0.61
COLPAL,-0.42,-0.61
NESTLEIND,-0.89,-0.61
UBL,-0.90,-0.61
MARICO,-0.93,-0.61
RADICO,-0.95,-0.61
GODREJCP,-1.24,-0.61
HINDUNILVR,-1.65,-0.61
DABUR,-1.67,-0.61
EMAMILTD,-1.67,-0.61
TATACONSUM,-1.72,-0.61
