,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,CENTURYPLY,EQ,N,849.9,812.6,46204237.44,56016,6.1,0.74,833,29-Dec-2025 16:00:27,824.84
1,VGUARD,EQ,N,328.8,324.75,27637218.6,84621,0.95,0.29,328.65,29-Dec-2025 16:00:27,326.6
2,WHIRLPOOL,EQ,N,916.2,899,268733153.92,295493,2.2,0.24,911,29-Dec-2025 16:00:27,909.44
3,TITAN,EQ,N,4031.7,3978,4979126930.58,1242846,-7,-0.18,3985,29-Dec-2025 16:00:27,4006.23
4,VOLTAS,EQ,N,1399.3,1376,587338496.64,423594,-4.1,-0.30,1377,29-Dec-2025 16:00:27,1386.56
5,HAVELLS,EQ,N,1428,1410.5,333092933.9,235094,-6.2,-0.44,1412,29-Dec-2025 16:00:27,1416.85
6,CROMPTON,EQ,N,258,253.8,315330234.5,1235378,-1.45,-0.56,255.4,29-Dec-2025 16:00:27,255.25
7,CERA,EQ,N,5202.5,5124,68098129.56,13229,-41,-0.79,5140,29-Dec-2025 16:00:27,5147.64
8,BATAINDIA,EQ,N,950.2,935.8,213410166.57,227049,-7.7,-0.81,942.95,29-Dec-2025 16:00:27,939.93
9,KAJARIACER,EQ,N,992.3,948.2,388836930.25,401173,-9.3,-0.95,965.2,29-Dec-2025 16:00:27,969.25
10,KALYANKJIL,EQ,N,496.8,484.1,719865114.08,1471876,-5.15,-1.05,486,29-Dec-2025 16:00:27,489.08
11,PGEL,EQ,N,583.9,567.25,691210397.68,1204808,-7.95,-1.37,573.1,29-Dec-2025 16:00:27,573.71
12,BLUESTARCO,EQ,N,1778.7,1728.3,195714265.04,111998,-31.9,-1.81,1732,29-Dec-2025 16:00:27,1747.48
13,AMBER,EQ,N,6680,6480,1098010829.78,167603,-146,-2.19,6506,29-Dec-2025 16:00:27,6551.26
14,DIXON,EQ,N,12460,11821,15866131628.16,1312587,-448,-3.63,11880,29-Dec-2025 16:00:27,12087.68
