,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,IRFC,EQ,135.0,137.17,125.75,126.35,133.64,-5.45,80360842,104581.5997788,N,24-Oct-2025,Interim Dividend - Rs 1.05 Per Share,-5.45
1,RVNL,EQ,394.95,400.7,365.9,366.9,387.95,-5.43,38027612,144177.8881368,N,21-Aug-2025,Dividend - Rs 1.72 Per Share,-5.43
2,DIXON,EQ,12344.0,12460.0,11821.0,11880.0,12328.0,-3.63,1312587,158661.3162816,N,16-Sep-2025,Dividend - Rs 8 Per Share,-3.63
3,ANGELONE,EQ,2494.2,2498.7,2403.0,2405.3,2495.8,-3.63,774828,18866.286972,N,30-May-2025,Dividend - Rs 26 Per Share,-3.63
4,HINDZINC,EQ,655.0,656.35,614.15,618.15,636.85,-2.94,27992946,177430.4889264,N,17-Jun-2025,Interim Dividend - Rs 10 Per Share,-2.94
5,ADANIPORTS,EQ,1487.1,1487.1,1451.0,1453.4,1487.1,-2.27,1568472,22927.6100016,N,13-Jun-2025,Dividend - Rs 7 Per Share,-2.27
6,NHPC,EQ,78.36,78.36,76.5,76.61,78.36,-2.23,7882505,6086.0821104999995,N,14-Aug-2025,Dividend - Rs 0.51 Per Share,-2.23
7,AMBER,EQ,6635.0,6680.0,6480.0,6506.0,6652.0,-2.19,167603,10980.1082978,N,02-Aug-2024,Annual General Meeting,-2.19
8,FORTIS,EQ,903.0,903.0,882.0,884.0,902.4,-2.04,992064,8821.7307072,N,25-Jul-2025,Dividend - Re 1 Per Share,-2.04
9,NMDC,EQ,83.5,84.15,80.33,81.0,82.61,-1.95,50793078,41599.530882,N,14-Aug-2025,Dividend - Re 1 Per Share,-1.95
10,MFSL,EQ,1664.8,1679.0,1633.3,1639.9,1672.0,-1.92,727473,12082.6718043,N,16-Aug-2024,Annual General Meeting,-1.92
11,NATIONALUM,EQ,310.0,314.0,299.55,301.0,306.85,-1.91,18589007,56882.36142,N,14-Nov-2025,Interim Dividend - Rs 4 Per Share,-1.91
12,NUVAMA,EQ,1480.0,1481.0,1432.0,1465.0,1493.5,-1.91,1024359,14956.4608872,N,26-Dec-2025,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,-1.91
13,JSWENERGY,EQ,479.0,479.35,470.0,470.4,479.4,-1.88,796387,3771.2109998,N,06-Jun-2025,Dividend - Rs 2 Per Share,-1.88
14,MPHASIS,EQ,2850.6,2874.7,2791.0,2798.0,2850.6,-1.85,331924,9394.8100884,N,09-Jul-2025,Dividend - Rs 57 Per Share,-1.85
15,HCLTECH,EQ,1659.7,1660.8,1625.4,1630.6,1660.9,-1.82,1516288,24906.3950592,N,17-Oct-2025,Interim Dividend - Rs 12 Per Share,-1.82
16,MUTHOOTFIN,EQ,3812.0,3826.9,3725.6,3728.0,3797.0,-1.82,228650,8601.813,N,25-Apr-2025,Interim Dividend - Rs 26 Per Share,-1.82
17,BLUESTARCO,EQ,1763.1,1778.7,1728.3,1732.0,1763.9,-1.81,111998,1957.1426503999999,N,18-Jul-2025,Dividend - Rs 9 Per Share,-1.81
18,POWERGRID,EQ,265.95,266.45,260.0,260.8,265.45,-1.75,7270521,19008.0501024,N,10-Nov-2025,Interim Dividend - Rs 4.50 Per Share,-1.75
19,IREDA,EQ,141.99,142.75,138.1,138.65,140.99,-1.66,7619648,10685.7943552,N,-,-,-1.66
