,Symbol,metadata.identifier,metadata.series,metadata.purpose,metadata.lastPrice,metadata.change,metadata.pChange,metadata.previousClose,metadata.finalQuantity,metadata.totalTurnover,metadata.marketCap,metadata.yearHigh,metadata.yearLow,metadata.iep,detail.preOpenMarket.preopen,detail.preOpenMarket.ato.totalBuyQuantity,detail.preOpenMarket.ato.totalSellQuantity,detail.preOpenMarket.IEP,detail.preOpenMarket.totalTradedVolume,detail.preOpenMarket.finalPrice,detail.preOpenMarket.finalQuantity,detail.preOpenMarket.lastUpdateTime,detail.preOpenMarket.totalSellQuantity,detail.preOpenMarket.totalBuyQuantity,detail.preOpenMarket.atoBuyQty,detail.preOpenMarket.atoSellQty,detail.preOpenMarket.Change,%chng,detail.preOpenMarket.prevClose
0,NBCC,NBCCEQN,EQ,,125.85,3.79,3.11,122.06,469645,59104823,126279568620.0,130.7,70.8,125.85,"[{'price': 125.7, 'buyQty': 1426, 'sellQty': 0}, {'price': 125.72, 'buyQty': 13, 'sellQty': 0}, {'price': 125.73, 'buyQty': 100, 'sellQty': 0}, {'price': 125.75, 'buyQty': 40, 'sellQty': 0}, {'price': 125.8, 'buyQty': 200, 'sellQty': 0}, {'price': 125.85, 'buyQty': 0, 'sellQty': 9026, 'iep': True}, {'price': 125.86, 'buyQty': 0, 'sellQty': 1500}, {'price': 125.87, 'buyQty': 0, 'sellQty': 11917}, {'price': 125.88, 'buyQty': 0, 'sellQty': 100037}, {'price': 125.89, 'buyQty': 0, 'sellQty': 200}]",0,0,125.85,469645,125.85,469645,29-Dec-2025 09:07:52,807013,1092104,0,0,3.79,3.11,122.06
1,HINDZINC,HINDZINCEQN,EQ,,655.0,18.15,2.85,636.85,250823,164289065,275418863589.09,656.35,378.15,655.0,"[{'price': 654.1, 'buyQty': 2100, 'sellQty': 0}, {'price': 654.5, 'buyQty': 2100, 'sellQty': 0}, {'price': 654.65, 'buyQty': 300, 'sellQty': 0}, {'price': 654.85, 'buyQty': 5, 'sellQty': 0}, {'price': 655, 'buyQty': 8289, 'sellQty': 0, 'iep': True}, {'price': 655.1, 'buyQty': 0, 'sellQty': 200}, {'price': 655.2, 'buyQty': 0, 'sellQty': 100}, {'price': 655.4, 'buyQty': 0, 'sellQty': 100}, {'price': 655.5, 'buyQty': 0, 'sellQty': 50}, {'price': 655.55, 'buyQty': 0, 'sellQty': 3}]",0,0,655.0,250823,655.0,250823,29-Dec-2025 09:07:52,214474,321711,0,0,18.15,2.85,636.85
2,COFORGE,COFORGEEQN,EQ,,1711.0,37.7,2.25,1673.3,82696,141492856,558882955139.26,2005.36,1194.01,1711.0,"[{'price': 1707.5, 'buyQty': 25, 'sellQty': 0}, {'price': 1708, 'buyQty': 2, 'sellQty': 0}, {'price': 1710, 'buyQty': 3655, 'sellQty': 0}, {'price': 1710.1, 'buyQty': 250, 'sellQty': 0}, {'price': 1711, 'buyQty': 2406, 'sellQty': 0, 'iep': True}, {'price': 1711.3, 'buyQty': 0, 'sellQty': 50}, {'price': 1712, 'buyQty': 0, 'sellQty': 15}, {'price': 1714, 'buyQty': 0, 'sellQty': 133}, {'price': 1714.7, 'buyQty': 0, 'sellQty': 1}, {'price': 1715, 'buyQty': 0, 'sellQty': 325}]",0,0,1711.0,82696,1711.0,82696,29-Dec-2025 09:07:52,104636,115381,0,0,37.7,2.25,1673.3
3,RVNL,RVNLEQN,EQ,,394.95,7.0,1.8,387.95,289361,114283126,219210780612.14,501.8,301.2,394.95,"[{'price': 393.2, 'buyQty': 500, 'sellQty': 0}, {'price': 393.7, 'buyQty': 30, 'sellQty': 0}, {'price': 393.8, 'buyQty': 15, 'sellQty': 0}, {'price': 394, 'buyQty': 14037, 'sellQty': 0}, {'price': 394.3, 'buyQty': 1000, 'sellQty': 0}, {'price': 394.95, 'buyQty': 0, 'sellQty': 3838, 'iep': True}, {'price': 395, 'buyQty': 0, 'sellQty': 13313}, {'price': 395.1, 'buyQty': 0, 'sellQty': 19}, {'price': 395.2, 'buyQty': 0, 'sellQty': 1201}, {'price': 395.3, 'buyQty': 0, 'sellQty': 100}]",0,0,394.95,289361,394.95,289361,29-Dec-2025 09:07:52,352503,743241,0,0,7.0,1.8,387.95
4,HINDALCO,HINDALCOEQN,EQ,,886.0,13.1,1.5,872.9,46971,41616306,1260888920684.22,887.45,546.45,886.0,"[{'price': 884, 'buyQty': 502, 'sellQty': 0}, {'price': 885, 'buyQty': 2525, 'sellQty': 0}, {'price': 885.05, 'buyQty': 100, 'sellQty': 0}, {'price': 885.7, 'buyQty': 1, 'sellQty': 0}, {'price': 886, 'buyQty': 2140, 'sellQty': 0, 'iep': True}, {'price': 886.1, 'buyQty': 0, 'sellQty': 160}, {'price': 886.5, 'buyQty': 0, 'sellQty': 1}, {'price': 886.8, 'buyQty': 0, 'sellQty': 53}, {'price': 886.9, 'buyQty': 0, 'sellQty': 20}, {'price': 887, 'buyQty': 0, 'sellQty': 14}]",0,0,886.0,46971,886.0,46971,29-Dec-2025 09:07:52,41502,80283,0,0,13.1,1.5,872.9
5,MAZDOCK,MAZDOCKEQN,EQ,,2579.0,37.6,1.48,2541.4,11494,29643026,193176982398.71,3775.0,1918.05,2579.0,"[{'price': 2569, 'buyQty': 560, 'sellQty': 0}, {'price': 2570, 'buyQty': 327, 'sellQty': 0}, {'price': 2575, 'buyQty': 570, 'sellQty': 0}, {'price': 2576, 'buyQty': 100, 'sellQty': 0}, {'price': 2577, 'buyQty': 20, 'sellQty': 0}, {'price': 2579, 'buyQty': 0, 'sellQty': 51, 'iep': True}, {'price': 2580, 'buyQty': 0, 'sellQty': 72}, {'price': 2581.4, 'buyQty': 0, 'sellQty': 40}, {'price': 2582, 'buyQty': 0, 'sellQty': 100}, {'price': 2583, 'buyQty': 0, 'sellQty': 71}]",0,0,2579.0,11494,2579.0,11494,29-Dec-2025 09:07:52,20407,29593,0,0,37.6,1.48,2541.4
6,BDL,BDLEQN,EQ,,1498.0,20.1,1.36,1477.9,14564,21816872,136210691784.38,2096.6,907.0,1498.0,"[{'price': 1495.4, 'buyQty': 190, 'sellQty': 0}, {'price': 1496, 'buyQty': 103, 'sellQty': 0}, {'price': 1497, 'buyQty': 100, 'sellQty': 0}, {'price': 1497.1, 'buyQty': 25, 'sellQty': 0}, {'price': 1498, 'buyQty': 847, 'sellQty': 0, 'iep': True}, {'price': 1498.8, 'buyQty': 0, 'sellQty': 10}, {'price': 1498.9, 'buyQty': 0, 'sellQty': 328}, {'price': 1499, 'buyQty': 0, 'sellQty': 1273}, {'price': 1499.7, 'buyQty': 0, 'sellQty': 1}, {'price': 1499.8, 'buyQty': 0, 'sellQty': 70}]",0,0,1498.0,14564,1498.0,14564,29-Dec-2025 09:07:52,39079,38027,0,0,20.1,1.36,1477.9
7,VEDL,VEDLEQN,EQ,,609.0,8.05,1.34,600.95,107257,65319513,1016711910383.16,616.0,363.0,609.0,"[{'price': 608.1, 'buyQty': 50, 'sellQty': 0}, {'price': 608.5, 'buyQty': 663, 'sellQty': 0}, {'price': 608.55, 'buyQty': 250, 'sellQty': 0}, {'price': 608.6, 'buyQty': 5000, 'sellQty': 0}, {'price': 609, 'buyQty': 17703, 'sellQty': 0, 'iep': True}, {'price': 609.2, 'buyQty': 0, 'sellQty': 50}, {'price': 609.3, 'buyQty': 0, 'sellQty': 85}, {'price': 609.4, 'buyQty': 0, 'sellQty': 250}, {'price': 609.5, 'buyQty': 0, 'sellQty': 533}, {'price': 609.6, 'buyQty': 0, 'sellQty': 18}]",0,0,609.0,107257,609.0,107257,29-Dec-2025 09:07:52,378632,576392,0,0,8.05,1.34,600.95
8,NMDC,NMDCEQN,EQ,,83.5,0.89,1.08,82.61,170848,14265808,284489908271.28,84.15,59.53,83.5,"[{'price': 83.28, 'buyQty': 300, 'sellQty': 0}, {'price': 83.3, 'buyQty': 600, 'sellQty': 0}, {'price': 83.4, 'buyQty': 100, 'sellQty': 0}, {'price': 83.43, 'buyQty': 45, 'sellQty': 0}, {'price': 83.44, 'buyQty': 98, 'sellQty': 0}, {'price': 83.5, 'buyQty': 0, 'sellQty': 32595, 'iep': True}, {'price': 83.55, 'buyQty': 0, 'sellQty': 50}, {'price': 83.6, 'buyQty': 0, 'sellQty': 10144}, {'price': 83.61, 'buyQty': 0, 'sellQty': 1281}, {'price': 83.65, 'buyQty': 0, 'sellQty': 670}]",0,0,83.5,170848,83.5,170848,29-Dec-2025 09:07:52,932127,644560,0,0,0.89,1.08,82.61
9,NATIONALUM,NATIONALUMEQN,EQ,,310.0,3.15,1.03,306.85,146671,45468010,273288006470.84,314.0,137.75,310.0,"[{'price': 309.55, 'buyQty': 200, 'sellQty': 0}, {'price': 309.6, 'buyQty': 45, 'sellQty': 0}, {'price': 309.85, 'buyQty': 30, 'sellQty': 0}, {'price': 309.9, 'buyQty': 1796, 'sellQty': 0}, {'price': 310, 'buyQty': 30714, 'sellQty': 0, 'iep': True}, {'price': 310.2, 'buyQty': 0, 'sellQty': 236}, {'price': 310.25, 'buyQty': 0, 'sellQty': 1}, {'price': 310.5, 'buyQty': 0, 'sellQty': 102}, {'price': 310.6, 'buyQty': 0, 'sellQty': 450}, {'price': 310.7, 'buyQty': 0, 'sellQty': 1050}]",0,0,310.0,146671,310.0,146671,29-Dec-2025 09:07:52,220339,260924,0,0,3.15,1.03,306.85
