,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,NAZARA,EQ,N,258.85,237.25,5492505237.3,21876390,14.6,6.15,252,29-Dec-2025 16:00:27,251.07
1,SAREGAMA,EQ,N,361.85,344.5,519515946.18,1469926,10.85,3.10,361,29-Dec-2025 16:00:27,353.43
2,PVRINOX,EQ,N,1026.8,995,369680597.12,367264,12.5,1.25,1013.4,29-Dec-2025 16:00:27,1006.58
3,TIPSMUSIC,EQ,N,534.65,520.4,107013300.16,202156,4.6,0.87,533,29-Dec-2025 16:00:27,529.36
4,DBCORP,EQ,N,265.4,258.35,12003787.76,45988,0.75,0.29,261,29-Dec-2025 16:00:27,261.02
5,ZEEL,EQ,N,91.88,90.3,387793349.58,4260529,-0.41,-0.45,90.8,29-Dec-2025 16:00:27,91.02
6,SUNTV,EQ,N,585,556.7,232233124.83,404933,-4.1,-0.72,568,29-Dec-2025 16:00:27,573.51
7,HATHWAY,EQ,N,12.65,12.32,15496134.8,1245670,-0.14,-1.11,12.45,29-Dec-2025 16:00:27,12.44
8,NETWORK18,EQ,N,44.1,42.61,92400056.1,2135430,-0.94,-2.14,43,29-Dec-2025 16:00:27,43.27
9,PFOCUS,EQ,N,247.77,235.9,1213583541.66,5001993,-7.38,-3.01,237.5,29-Dec-2025 16:00:27,242.62
