,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,LALPATHLAB,EQ,N,1439,1397.1,949225983.7,671315,28.4,2.02,1432.9,29-Dec-2025 16:00:27,1413.98
1,ONESOURCE,EQ,N,1808.9,1701.1,219728159.75,125455,17,0.98,1758,29-Dec-2025 16:00:27,1751.45
2,AJANTPHARM,EQ,N,2698.3,2666.4,158963484.23,59261,12.4,0.46,2694,29-Dec-2025 16:00:27,2682.43
3,GLAXO,EQ,N,2487.5,2445,126068046.84,51186,10.7,0.43,2475,29-Dec-2025 16:00:27,2462.94
4,NEULANDLAB,EQ,N,15172,14901,555982916.8,36964,22,0.15,15000,29-Dec-2025 16:00:27,15041.2
5,ABBOTINDIA,EQ,N,28975,28290,601899881.17,20873,10,0.03,28915,29-Dec-2025 16:00:27,28836.29
6,GLENMARK,EQ,N,2028.5,2000.4,538496048.64,266984,-0.7,-0.03,2009.9,29-Dec-2025 16:00:27,2016.96
7,IPCALAB,EQ,N,1449.2,1404,208778420.2,146230,-0.8,-0.06,1439,29-Dec-2025 16:00:27,1427.74
8,NH,EQ,N,1876.5,1847.2,215828462.55,116005,-2.5,-0.13,1857,29-Dec-2025 16:00:27,1860.51
9,LAURUSLABS,EQ,N,1089,1076.3,1646268826.94,1522054,-2.6,-0.24,1082.4,29-Dec-2025 16:00:27,1081.61
10,SYNGENE,EQ,N,659.45,651.3,325109202,495480,-1.7,-0.26,652.95,29-Dec-2025 16:00:27,656.15
11,AUROPHARMA,EQ,N,1214.1,1192.3,1607543531.28,1340558,-6.8,-0.56,1199.4,29-Dec-2025 16:00:27,1199.16
12,MANKIND,EQ,N,2200.6,2173,643693389,294610,-13,-0.59,2180,29-Dec-2025 16:00:27,2184.9
13,PPLPHARMA,EQ,N,175.2,171.6,344714620.06,1991534,-1.11,-0.64,173.11,29-Dec-2025 16:00:27,173.09
14,GLAND,EQ,N,1661.8,1629.6,96580886.22,58617,-11.5,-0.70,1642,29-Dec-2025 16:00:27,1647.66
15,WOCKPHARMA,EQ,N,1457.1,1418.2,497187204.25,345689,-10.3,-0.72,1424,29-Dec-2025 16:00:27,1438.25
16,POLYMED,EQ,N,1764.9,1738,132392154.48,75606,-13.4,-0.76,1743.4,29-Dec-2025 16:00:27,1751.08
17,COHANCE,EQ,N,541.05,524,371622812.85,696771,-4.25,-0.79,533.1,29-Dec-2025 16:00:27,533.35
18,ASTERDM,EQ,N,620.2,605.3,301737379.3,493430,-5,-0.81,612.95,29-Dec-2025 16:00:27,611.51
19,ALKEM,EQ,N,5573,5481,215859462.84,39102,-54,-0.98,5481,29-Dec-2025 16:00:27,5520.42
20,JBCHEPHARM,EQ,N,1822.2,1788.6,168714863.19,93829,-18.6,-1.02,1800,29-Dec-2025 16:00:27,1798.11
21,RAINBOW,EQ,N,1357.8,1327.2,52036243.85,38977,-14.9,-1.11,1330.1,29-Dec-2025 16:00:27,1335.05
22,BIOCON,EQ,N,399.2,388,1848989511.06,4725731,-4.55,-1.15,390.9,29-Dec-2025 16:00:27,391.26
23,NATCOPHARM,EQ,N,910,893.45,310632897.73,345497,-12,-1.32,896.5,29-Dec-2025 16:00:27,899.09
24,LUPIN,EQ,N,2114,2078.1,1336871278.4,639376,-30.4,-1.44,2082,29-Dec-2025 16:00:27,2090.9
25,MEDANTA,EQ,N,1173.7,1150.1,88634240.12,76556,-21,-1.79,1154,29-Dec-2025 16:00:27,1157.77
26,KIMS,EQ,N,631.15,611.8,226509549.37,366301,-11.5,-1.84,614.75,29-Dec-2025 16:00:27,618.37
27,PFIZER,EQ,N,5062,4922.8,72413343.2,14542,-93.3,-1.85,4959,29-Dec-2025 16:00:27,4979.6
28,FORTIS,EQ,N,903,882,882173070.72,992064,-18.4,-2.04,884,29-Dec-2025 16:00:27,889.23
29,GRANULES,EQ,N,619.15,598.45,544672552.35,899319,-14.75,-2.39,602.6,29-Dec-2025 16:00:27,605.65
