,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,RVNL,EQ,346.7,392.8,345.85,387.25,345.7,12.02,102998642,393732.90877339995,N,21-Aug-2025,Dividend - Rs 1.72 Per Share,12.02
1,IRFC,EQ,122.14,134.59,121.86,133.6,121.49,9.97,163985127,214771.3208319,N,24-Oct-2025,Interim Dividend - Rs 1.05 Per Share,9.97
2,NBCC,EQ,116.51,122.5,116.16,122.3,116.16,5.29,45284006,54675.90884439999,N,19-Nov-2025,Interim Dividend - Re 0.21 Per Share,5.29
3,TITAGARH,EQ,852.95,906.0,845.95,899.0,854.6,5.2,5868339,52443.5851413,N,08-Sep-2025,Dividend - Re 1 Per Share,5.2
4,IRCTC,EQ,679.65,712.55,678.8,706.5,679.65,3.95,7180874,50409.73548,N,21-Nov-2025,Interim Dividend - Rs 5 Per Share,3.95
5,NATIONALUM,EQ,298.0,309.2,296.5,305.6,295.3,3.49,12990101,39504.196151100004,N,14-Nov-2025,Interim Dividend - Rs 4 Per Share,3.49
6,HUDCO,EQ,215.77,222.44,215.5,221.75,216.23,2.55,5995250,13226.72055,N,19-Nov-2025,Interim Dividend - Re 1 Per Share,2.55
7,DALBHARAT,EQ,2114.2,2169.0,2110.0,2162.0,2109.4,2.49,726199,15638.8407048,N,24-Oct-2025,Interim Dividend - Rs 4 Per Share,2.49
8,TITAN,EQ,3908.9,4006.9,3900.0,3994.0,3909.3,2.17,1113050,44299.39,N,08-Jul-2025,Dividend - Rs 11 Per Share,2.17
9,CONCOR,EQ,509.05,523.0,507.85,519.55,508.6,2.15,2498657,12970.528487,N,20-Nov-2025,Interim Dividend - Rs  2.60 Per Share,2.15
10,MCX,EQ,10887.0,11110.0,10808.0,11050.0,10825.0,2.08,408344,44877.699784799996,N,02-Jan-2026,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2.08
11,IREDA,EQ,137.76,143.3,137.21,140.86,138.1,2.0,22038445,31235.0880985,N,-,-,2.0
12,HINDZINC,EQ,645.0,646.5,634.0,637.1,624.85,1.96,13459241,85984.36112850001,N,17-Jun-2025,Interim Dividend - Rs 10 Per Share,1.96
13,ADANIENSOL,EQ,996.1,1020.4,991.1,1014.7,996.55,1.82,894166,9065.2337412,N,14-Jun-2024,Annual General Meeting,1.82
14,APLAPOLLO,EQ,1858.6,1891.0,1851.4,1888.0,1858.6,1.58,353780,6644.554448,N,22-Aug-2025,Dividend - Rs 5.75 Per Share,1.58
15,TORNTPOWER,EQ,1278.1,1308.0,1277.4,1299.0,1280.8,1.42,259777,3370.6585304,N,06-Jun-2025,Dividend - Rs 5 Per Share,1.42
16,NMDC,EQ,81.7,83.25,81.37,82.54,81.43,1.36,26105816,21560.793434400002,N,14-Aug-2025,Dividend - Re 1 Per Share,1.36
17,SHREECEM,EQ,26140.0,26490.0,26070.0,26465.0,26145.0,1.22,46123,12172.8928552,N,03-Nov-2025,Interim Dividend - Rs 80 Per Share,1.22
18,VBL,EQ,476.0,483.5,475.1,483.4,477.65,1.2,5793445,27776.6720525,N,01-Aug-2025,Interim Dividend - Re 0.50 Per Share,1.2
19,MARICO,EQ,735.05,746.5,732.7,743.5,734.75,1.19,996756,7383.171043200001,N,01-Aug-2025,Dividend - Rs 7 Per Share,1.19
