Symbol,%chng
HDFCBANK,-0.81
IEX,-7.26
IDEA,-1.74
ICICIBANK,-2.09
POWERINDIA,-4.03
ITC,-0.78
BSE,-0.59
BHARTIARTL,-1.7
MANAPPURAM,-5.33
CGPOWER,-2.95
BAJFINANCE,-1.08
KAYNES,-1.61
AXISBANK,-0.96
SHRIRAMFIN,-1.57
DIXON,-0.89
INDIGO,-1.31
MCX,-2.11
NMDC,-1.05
MARUTI,-0.98
WAAREEENER,-2.5
HAL,-0.4
M&M,-1.21
TATASTEEL,-0.9
BDL,-0.89
SUZLON,-3.2
TITAN,-1.04
GODREJPROP,-4.92
EICHERMOT,-0.54
NTPC,-2.29
ADANIENT,-2.59
RVNL,-2.64
JIOFIN,-2.04
ADANIPORTS,-2.1
HINDPETRO,-0.5
ULTRACEMCO,-1.24
COALINDIA,-1.26
TATAELXSI,-0.64
HEROMOTOCO,-1.04
CDSL,-1.89
HDFCAMC,-2.13
RECLTD,-2.1
TMPV,-1.2
SOLARINDS,-1.91
LODHA,-2.4
HINDUNILVR,-0.73
SUNPHARMA,-1.35
TIINDIA,-2.29
MAXHEALTH,-1.23
CHOLAFIN,-1.82
DLF,-3.09
PAYTM,-0.76
HDFCLIFE,-1.07
BAJAJ-AUTO,-1.86
POLYCAB,-0.78
BAJAJFINSV,-0.99
APOLLOHOSP,-1.49
ADANIGREEN,-4.44
IREDA,-2.89
PERSISTENT,-0.48
TATAPOWER,-2.65
TVSMOTOR,-0.68
SAIL,-1.0
LUPIN,-0.37
VBL,-2.58
PFC,-1.76
HAVELLS,-1.23
ANGELONE,-2.96
PREMIERENE,-1.57
IRFC,-2.41
INDHOTEL,-1.94
UPL,-3.02
LAURUSLABS,-1.61
MUTHOOTFIN,-0.75
IRCTC,-2.36
LTF,-2.28
NESTLEIND,-0.6
GRASIM,-0.68
PRESTIGE,-1.67
NBCC,-2.34
SAMMAANCAP,-1.52
OBEROIRLTY,-1.34
ABCAPITAL,-1.35
PIDILITIND,-1.15
POLICYBZR,-0.36
RBLBANK,-1.31
MOTHERSON,-1.87
INOXWIND,-3.58
BOSCHLTD,-1.73
AMBER,-2.91
TORNTPHARM,-1.77
FORTIS,-1.6
360ONE,-3.32
KALYANKJIL,-1.14
JUBLFOOD,-0.67
DELHIVERY,-3.21
ICICIGI,-0.89
GODREJCP,-1.08
AUROPHARMA,-0.92
BHARATFORG,-0.76
PNBHOUSING,-0.77
BANKINDIA,-0.37
UNITDSPR,-1.57
CROMPTON,-2.29
GLENMARK,-3.62
APLAPOLLO,-1.08
SBILIFE,-0.38
ADANIENSOL,-3.69
LICI,-1.05
CAMS,-2.48
MANKIND,-2.65
GMRAIRPORT,-2.35
MARICO,-0.49
BRITANNIA,-0.64
PATANJALI,-2.39
NYKAA,-1.05
PGEL,-1.87
ZYDUSLIFE,-1.54
HUDCO,-1.17
BAJAJHLDNG,-1.59
KEI,-1.8
AMBUJACEM,-1.85
TATACONSUM,-1.55
SUPREMEIND,-1.84
CONCOR,-1.07
JSWENERGY,-1.94
SYNGENE,-1.14
TATATECH,-1.42
BANDHANBNK,-0.54
PAGEIND,-1.34
NAUKRI,-1.05
SBICARD,-0.71
SRF,-0.7
MFSL,-0.9
UNOMINDA,-1.83
PIIND,-1.1
TORNTPOWER,-2.91
PPLPHARMA,-2.54
EXIDEIND,-1.93
ASTRAL,-2.44
NUVAMA,-1.52
DALBHARAT,-0.95
BLUESTARCO,-1.39
