Symbol,%chng in OI
POWERINDIA,44.9
MANAPPURAM,43.28
FINNIFTY,20.32
BHEL,19.34
IREDA,16.65
DMART,16.51
KFINTECH,15.93
BIOCON,14.18
NIFTY,13.82
CGPOWER,13.05
NIFTYNXT50,12.88
SONACOMS,9.6
IEX,9.55
SWIGGY,8.88
ONGC,7.71
GODREJPROP,7.56
INOXWIND,7.4
IRCTC,6.54
MIDCPNIFTY,6.3
PREMIERENE,6.13
HAVELLS,5.94
ANGELONE,5.79
ADANIENT,5.61
UNIONBANK,5.55
LODHA,5.38
ZYDUSLIFE,5.25
PAGEIND,5.19
WAAREEENER,4.9
ASHOKLEY,4.86
MUTHOOTFIN,4.86
SUZLON,4.83
HINDZINC,4.81
IDEA,4.58
BHARTIARTL,4.56
OBEROIRLTY,4.48
BDL,4.41
HDFCAMC,4.2
JIOFIN,3.85
MAZDOCK,3.73
HDFCBANK,3.68
KAYNES,3.68
NBCC,3.58
PRESTIGE,3.55
TATAPOWER,3.53
LTF,3.5
INDUSTOWER,3.4
RVNL,3.39
CROMPTON,3.27
TMPV,3.22
MCX,3.15
NATIONALUM,3.14
ADANIENSOL,3.11
DLF,3.01
ICICIGI,2.97
NMDC,2.89
POWERGRID,2.87
PPLPHARMA,2.84
BANKNIFTY,2.83
ICICIBANK,2.8
EXIDEIND,2.76
BHARATFORG,2.73
AUBANK,2.68
OIL,2.63
BRITANNIA,2.62
AMBUJACEM,2.62
GMRAIRPORT,2.52
ADANIGREEN,2.51
INDHOTEL,2.45
AMBER,2.44
PHOENIXLTD,2.37
DRREDDY,2.33
HAL,2.29
APOLLOHOSP,2.25
MARUTI,2.22
ETERNAL,2.16
SUNPHARMA,2.09
JUBLFOOD,2.08
BAJAJFINSV,2.08
LAURUSLABS,1.78
AXISBANK,1.74
ICICIPRULI,1.71
APLAPOLLO,1.62
RBLBANK,1.59
MANKIND,1.58
UNOMINDA,1.58
ADANIPORTS,1.56
BLUESTARCO,1.55
LICI,1.55
PIIND,1.5
INDIGO,1.45
ITC,1.39
HINDPETRO,1.37
IRFC,1.33
RELIANCE,1.31
360ONE,1.28
WIPRO,1.27
OFSS,1.26
MOTHERSON,1.21
BPCL,1.19
MFSL,1.17
GAIL,1.17
BAJAJHLDNG,1.15
SBICARD,1.15
UNITDSPR,1.12
LICHSGFIN,1.12
GRASIM,1.1
HDFCLIFE,1.09
INFY,1.08
CAMS,1.06
IOC,1.06
SYNGENE,1.02
ABCAPITAL,1.02
NUVAMA,0.99
AUROPHARMA,0.98
PGEL,0.98
NESTLEIND,0.96
ALKEM,0.93
VEDL,0.86
JSWENERGY,0.82
LUPIN,0.79
JINDALSTEL,0.77
TATASTEEL,0.75
M&M,0.74
SBIN,0.7
HINDALCO,0.7
POLICYBZR,0.68
SRF,0.64
CIPLA,0.61
PFC,0.6
MARICO,0.58
PAYTM,0.56
NHPC,0.54
PNB,0.54
SHREECEM,0.51
HEROMOTOCO,0.46
CHOLAFIN,0.46
KOTAKBANK,0.43
TCS,0.42
BEL,0.4
GLENMARK,0.37
RECLTD,0.36
LT,0.34
HCLTECH,0.33
HUDCO,0.29
CDSL,0.22
POLYCAB,0.13
BANKBARODA,0.12
TRENT,0.12
NAUKRI,0.12
CUMMINSIND,0.12
SBILIFE,0.04
BOSCHLTD,0.04
TATACONSUM,0.0
DIVISLAB,-0.04
KEI,-0.05
TIINDIA,-0.07
FEDERALBNK,-0.1
NTPC,-0.11
IIFL,-0.11
INDUSINDBK,-0.12
KALYANKJIL,-0.14
IDFCFIRSTB,-0.24
CANBK,-0.28
EICHERMOT,-0.28
HINDUNILVR,-0.3
BANDHANBNK,-0.38
DELHIVERY,-0.4
JSWSTEEL,-0.41
ASTRAL,-0.41
LTIM,-0.49
DALBHARAT,-0.52
FORTIS,-0.53
COALINDIA,-0.55
KPITTECH,-0.56
ABB,-0.61
YESBANK,-0.62
VOLTAS,-0.64
BANKINDIA,-0.68
PERSISTENT,-0.76
ASIANPAINT,-0.79
SHRIRAMFIN,-0.81
BSE,-0.86
BAJFINANCE,-0.93
GODREJCP,-0.98
MAXHEALTH,-1.04
SOLARINDS,-1.05
TVSMOTOR,-1.06
TECHM,-1.19
ULTRACEMCO,-1.26
PATANJALI,-1.28
PETRONET,-1.35
SUPREMEIND,-1.35
SAMMAANCAP,-1.38
COLPAL,-1.51
VBL,-1.59
CONCOR,-1.69
SAIL,-1.72
NYKAA,-1.82
PIDILITIND,-1.85
TORNTPHARM,-1.95
TITAN,-2.06
TATAELXSI,-2.26
INDIANB,-2.49
TORNTPOWER,-2.55
TATATECH,-2.57
DIXON,-2.58
UPL,-2.79
DABUR,-3.2
PNBHOUSING,-3.22
BAJAJ-AUTO,-3.4
MPHASIS,-3.41
COFORGE,-3.82
SIEMENS,-4.14
