Symbol,%chng
NATCOPHARM,0.62
NEULANDLAB,0.39
POLYMED,0.37
PFIZER,0.33
DRREDDY,0.30
CIPLA,0.18
GRANULES,0.05
KIMS,-0.02
NH,-0.03
ASTERDM,-0.09
AGARWALEYE,-0.18
APOLLOHOSP,-0.33
DIVISLAB,-0.37
FORTIS,-0.38
MAXHEALTH,-0.50
ZYDUSLIFE,-0.56
BIOCON,-0.64
JUBLPHARMA,-0.64
LAURUSLABS,-0.64
IPCALAB,-0.65
CAPLIPOINT,-0.68
JBCHEPHARM,-0.69
SUNPHARMA,-0.71
AUROPHARMA,-0.73
INDGN,-0.74
ABBOTINDIA,-0.74
TORNTPHARM,-0.75
GLENMARK,-0.75
MEDANTA,-0.80
GLAND,-0.83
RAINBOW,-0.86
ALKEM,-0.88
AJANTPHARM,-0.92
GLAXO,-0.95
WOCKPHARMA,-1.01
ONESOURCE,-1.01
ERIS,-1.08
LUPIN,-1.12
EMCURE,-1.14
CONCORDBIO,-1.17
METROPOLIS,-1.24
APLLTD,-1.26
PPLPHARMA,-1.29
ASTRAZEN,-1.30
SYNGENE,-1.34
VIJAYA,-1.70
LALPATHLAB,-1.78
MANKIND,-2.01
SAILIFE,-2.56
COHANCE,-2.69
