Symbol,%chng in OI
POWERINDIA,20.52
NIFTY,18.72
FINNIFTY,10.94
BHEL,10.88
CGPOWER,7.86
GODREJPROP,6.59
HINDZINC,5.72
INDUSTOWER,4.92
BANKNIFTY,4.73
ABB,3.65
SWIGGY,3.58
WAAREEENER,3.56
MIDCPNIFTY,3.33
LODHA,3.22
IEX,3.11
OIL,2.89
ZYDUSLIFE,2.68
EICHERMOT,2.68
OBEROIRLTY,2.6
PRESTIGE,2.59
ADANIENT,2.32
POLYCAB,2.21
BDL,2.0
ANGELONE,1.99
BHARATFORG,1.89
INDHOTEL,1.87
SUZLON,1.85
TMPV,1.73
ALKEM,1.72
KAYNES,1.67
TIINDIA,1.64
PAGEIND,1.62
ONGC,1.57
MCX,1.57
JIOFIN,1.55
SONACOMS,1.53
MUTHOOTFIN,1.5
PREMIERENE,1.46
UNITDSPR,1.46
MANKIND,1.43
INDIGO,1.39
IRCTC,1.36
DLF,1.36
360ONE,1.33
NATIONALUM,1.33
HDFCBANK,1.29
SYNGENE,1.27
BIOCON,1.22
PPLPHARMA,1.18
EXIDEIND,1.16
IREDA,1.16
SRF,1.16
LUPIN,1.14
PETRONET,1.11
TITAN,1.11
PERSISTENT,1.1
BPCL,1.09
BSE,1.08
SUPREMEIND,1.07
CHOLAFIN,1.06
TATAPOWER,1.06
MARUTI,1.05
INOXWIND,1.03
LT,1.02
VEDL,1.02
LICI,0.99
DMART,0.99
NHPC,0.95
APOLLOHOSP,0.95
MAZDOCK,0.94
NTPC,0.92
SHRIRAMFIN,0.9
JUBLFOOD,0.89
WIPRO,0.88
SBIN,0.86
BAJAJFINSV,0.85
BOSCHLTD,0.85
NAUKRI,0.85
NIFTYNXT50,0.84
APLAPOLLO,0.84
AMBER,0.84
BANKBARODA,0.83
SBILIFE,0.82
DELHIVERY,0.81
LAURUSLABS,0.8
ASHOKLEY,0.8
HINDPETRO,0.8
MFSL,0.8
ITC,0.75
ADANIPORTS,0.73
GRASIM,0.73
SHREECEM,0.72
ADANIGREEN,0.72
GAIL,0.71
ADANIENSOL,0.7
HAL,0.68
HEROMOTOCO,0.67
OFSS,0.67
POLICYBZR,0.67
IIFL,0.65
TRENT,0.64
VOLTAS,0.64
IOC,0.63
NESTLEIND,0.63
ETERNAL,0.62
AXISBANK,0.6
MAXHEALTH,0.59
HCLTECH,0.58
NYKAA,0.58
PGEL,0.58
BHARTIARTL,0.58
CIPLA,0.58
AUROPHARMA,0.56
AMBUJACEM,0.56
CDSL,0.55
CAMS,0.53
DIXON,0.53
KALYANKJIL,0.52
DRREDDY,0.52
MANAPPURAM,0.52
ULTRACEMCO,0.51
LICHSGFIN,0.5
PAYTM,0.49
ASIANPAINT,0.47
JINDALSTEL,0.47
ICICIGI,0.46
NBCC,0.46
GLENMARK,0.46
BEL,0.45
BAJAJ-AUTO,0.44
HDFCLIFE,0.43
HINDUNILVR,0.41
TATACONSUM,0.4
RVNL,0.38
JSWENERGY,0.38
RELIANCE,0.38
KOTAKBANK,0.37
HINDALCO,0.36
DIVISLAB,0.35
BRITANNIA,0.34
M&M,0.32
UNOMINDA,0.32
FEDERALBNK,0.32
GODREJCP,0.3
TORNTPOWER,0.3
SOLARINDS,0.3
MOTHERSON,0.29
INDIANB,0.29
COFORGE,0.29
LTF,0.29
MARICO,0.28
ABCAPITAL,0.27
GMRAIRPORT,0.2
PNB,0.19
SBICARD,0.17
DABUR,0.17
JSWSTEEL,0.17
PFC,0.16
TVSMOTOR,0.16
INDUSINDBK,0.16
NUVAMA,0.15
TECHM,0.13
NMDC,0.12
KEI,0.12
COALINDIA,0.11
AUBANK,0.11
LTIM,0.11
BANDHANBNK,0.11
MPHASIS,0.11
INFY,0.09
IDFCFIRSTB,0.09
BLUESTARCO,0.09
KPITTECH,0.09
ICICIPRULI,0.07
CANBK,0.07
PATANJALI,0.05
RBLBANK,0.03
IDEA,0.03
CONCOR,0.01
TATASTEEL,-0.01
HDFCAMC,-0.02
SAIL,-0.03
TATATECH,-0.05
HAVELLS,-0.05
ASTRAL,-0.06
SAMMAANCAP,-0.08
PNBHOUSING,-0.08
TCS,-0.15
SUNPHARMA,-0.16
HUDCO,-0.17
KFINTECH,-0.18
PIDILITIND,-0.25
CROMPTON,-0.25
VBL,-0.26
UNIONBANK,-0.26
CUMMINSIND,-0.28
BANKINDIA,-0.29
PHOENIXLTD,-0.29
POWERGRID,-0.31
FORTIS,-0.32
YESBANK,-0.33
DALBHARAT,-0.33
PIIND,-0.33
BAJFINANCE,-0.47
RECLTD,-0.51
TATAELXSI,-0.55
UPL,-0.57
IRFC,-0.61
TORNTPHARM,-0.7
ICICIBANK,-1.03
COLPAL,-1.14
SIEMENS,-1.24
BAJAJHLDNG,-1.94
