Symbol,%chng
BAJFINANCE,0.93
ICICIPRULI,0.65
SBIN,0.44
MUTHOOTFIN,0.13
LICHSGFIN,0.08
BAJAJFINSV,-0.09
AXISBANK,-0.21
SBILIFE,-0.26
KOTAKBANK,-0.27
BSE,-0.35
HDFCBANK,-0.46
ICICIGI,-0.48
JIOFIN,-0.56
HDFCLIFE,-0.58
SBICARD,-0.73
CHOLAFIN,-0.90
RECLTD,-0.98
PFC,-1.09
SHRIRAMFIN,-1.09
ICICIBANK,-1.41
