,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,IDEA,EQ,11.2,11.29,10.84,11.28,10.76,4.83,575402200,63927.18442,N,20-Aug-2024,Annual General Meeting,4.83
1,INDUSTOWER,EQ,421.05,437.0,421.05,435.55,418.75,4.01,2396200,10286.16774,N,09-Aug-2024,Buy Back,4.01
2,ADANIENSOL,EQ,1029.0,1058.0,1026.3,1051.4,1027.35,2.34,713962,7483.3927029999995,N,14-Jun-2024,Annual General Meeting,2.34
3,JSWENERGY,EQ,484.0,492.6,483.0,492.6,482.45,2.1,468779,2290.3604382,N,06-Jun-2025,Dividend - Rs 2 Per Share,2.1
4,ADANIGREEN,EQ,1019.7,1045.0,1015.5,1034.7,1015.1,1.93,946732,9797.8241412,N,14-Jun-2024,Annual General Meeting,1.93
5,ASHOKLEY,EQ,179.19,182.99,178.81,182.35,179.19,1.76,4267063,7754.5335899,N,18-Nov-2025,Interim Dividend - Re 1 Per Share,1.76
6,ADANIENT,EQ,2249.0,2287.4,2241.0,2277.9,2239.7,1.71,409848,9302.115132,N,17-Nov-2025,Rights 3:25 @ Premium Rs 1799/-,1.71
7,VOLTAS,EQ,1361.2,1383.1,1361.2,1382.3,1361.2,1.55,65036,894.310036,N,20-Jun-2025,Dividend - Rs 7 Per Share,1.55
8,SUPREMEIND,EQ,3367.0,3407.6,3360.6,3404.9,3353.8,1.52,31847,1077.9763642,N,03-Nov-2025,Interim Dividend - Rs 11 Per Share,1.52
9,ETERNAL,EQ,278.6,283.0,278.55,282.25,278.05,1.51,2763681,7781.9729598,N,-,-,1.51
10,BANKBARODA,EQ,296.5,299.8,295.65,299.7,295.9,1.28,962391,2866.0966371,N,06-Jun-2025,Dividend - Rs 8.35 Per Share,1.28
11,RECLTD,EQ,360.0,365.0,359.95,360.9,356.8,1.15,3254086,11809.078094,N,27-Oct-2025,Interim Dividend - Rs 4.60 Per Share,1.15
12,NTPC,EQ,329.8,333.8,329.6,333.25,329.55,1.12,786910,2613.721565,N,07-Nov-2025,Interim Dividend - Rs 2.75 Per Share,1.12
13,M&M,EQ,3725.0,3774.0,3721.1,3750.5,3709.2,1.11,515989,19380.9080323,N,04-Jul-2025,Dividend - Rs 25.30 Per Share,1.11
14,APLAPOLLO,EQ,1925.6,1941.7,1914.0,1935.0,1914.0,1.1,119402,2310.8943678,N,22-Aug-2025,Dividend - Rs 5.75 Per Share,1.1
15,MOTHERSON,EQ,120.4,121.3,119.84,121.25,119.94,1.09,1144516,1380.6296508,N,18-Jul-2025,Bonus 1:2,1.09
16,SWIGGY,EQ,389.0,391.2,386.75,390.45,386.25,1.09,1898103,7372.6116726,N,-,-,1.09
17,NHPC,EQ,79.06,80.23,79.06,80.06,79.22,1.06,1516022,1208.4211362,N,14-Aug-2025,Dividend - Rs 0.51 Per Share,1.06
18,ADANIPORTS,EQ,1472.8,1490.9,1470.4,1485.0,1469.8,1.03,275329,4084.781044,N,13-Jun-2025,Dividend - Rs 7 Per Share,1.03
19,WIPRO,EQ,264.5,268.05,263.75,265.95,263.28,1.01,1143254,3043.7994495999997,N,28-Jul-2025,Interim Dividend - Rs 5 Per Share,1.01
