,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,ZEEL,EQ,N,92.5,90,310967029.4,3390395,1.39,1.55,91.35,01-Jan-2026 10:00:21,91.72
1,SUNTV,EQ,N,602,589.5,181046758.5,302850,6.4,1.09,593.95,01-Jan-2026 10:00:21,597.81
2,NETWORK18,EQ,N,44.25,43.39,28382904.72,646241,0.31,0.71,43.7,01-Jan-2026 10:00:20,43.92
3,HATHWAY,EQ,N,12.58,12.41,3414804.66,272966,0.08,0.64,12.51,01-Jan-2026 10:00:18,12.51
4,NAZARA,EQ,N,276,272,60833581.86,222069,1.35,0.49,274.9,01-Jan-2026 10:00:19,273.94
5,PVRINOX,EQ,N,1020.8,1012,20851489.17,20483,3.8,0.37,1019,01-Jan-2026 10:00:20,1017.99
6,SAREGAMA,EQ,N,355.3,350,23710091.25,67215,0.75,0.21,351.75,01-Jan-2026 10:00:20,352.75
7,DBCORP,EQ,N,263.75,261.5,941636.1,3585,0.3,0.11,263,01-Jan-2026 10:00:09,262.66
8,TIPSMUSIC,EQ,N,558.75,550,6643338.75,11997,-2.25,-0.41,550,01-Jan-2026 10:00:22,553.75
9,PFOCUS,EQ,N,235.5,232.01,62962127.8,269230,-1.97,-0.84,233.6,01-Jan-2026 10:00:20,233.86
