,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,ITC,EQ,402.7,402.7,379.0,381.15,403.0,-5.42,69076691,272763.1297517,N,28-May-2025,Dividend - Rs 7.85 Per Share,-5.42
1,ALKEM,EQ,5477.0,5519.5,5410.0,5410.0,5506.5,-1.75,7749,421.1550504,N,08-Aug-2025,Dividend - Rs 8 Per Share,-1.75
2,DRREDDY,EQ,1270.0,1270.0,1250.6,1253.5,1271.4,-1.41,159965,2010.0402075,N,10-Jul-2025,Dividend - Rs 8 Per Share,-1.41
3,NUVAMA,EQ,1485.0,1485.0,1457.8,1460.9,1480.5,-1.32,34622,507.07727420000003,N,26-Dec-2025,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,-1.32
4,RBLBANK,EQ,313.95,316.5,311.75,312.3,315.8,-1.11,508246,1595.0284218000002,N,08-Sep-2025,Dividend - Re 1 Per Share,-1.11
5,KAYNES,EQ,4023.5,4030.5,3966.0,3968.5,4013.0,-1.11,225823,9015.1928945,N,08-Sep-2023,Annual General Meeting,-1.11
6,PAGEIND,EQ,36285.0,36285.0,35525.0,35655.0,36045.0,-1.08,1578,563.6393502000001,N,19-Nov-2025,Interim Dividend - Rs 125 Per Share,-1.08
7,SYNGENE,EQ,650.05,652.15,642.8,644.0,651.0,-1.08,40640,262.123936,N,27-Jun-2025,Dividend - Rs 1.25 Per Share,-1.08
8,MANKIND,EQ,2202.0,2202.0,2170.7,2174.0,2196.5,-1.02,15522,338.4991194,N,08-Aug-2025,Interim Dividend - Re 1  Per Share,-1.02
9,MAZDOCK,EQ,2500.0,2504.0,2464.1,2464.9,2490.2,-1.02,174933,4341.662127,N,04-Nov-2025,Interim Dividend - Rs 6 Per Share,-1.02
10,BDL,EQ,1475.0,1475.0,1451.7,1451.7,1466.5,-1.01,125787,1836.1002603,N,19-Sep-2025,Dividend - Re 0.65 Per Share,-1.01
11,AUROPHARMA,EQ,1190.0,1190.0,1171.0,1171.3,1183.0,-0.99,104236,1227.11831,N,08-Aug-2025,Interim Dividend - Rs 4 Per Share,-0.99
12,HDFCAMC,EQ,2674.8,2682.0,2646.5,2646.6,2672.2,-0.96,23200,616.5168,N,26-Nov-2025,Bonus 1:1,-0.96
13,LUPIN,EQ,2114.0,2114.0,2088.6,2089.7,2109.5,-0.94,29895,626.7755804999999,N,25-Jul-2025,Dividend - Rs 12 Per Share,-0.94
14,MCX,EQ,11160.0,11160.0,10973.0,11034.0,11136.0,-0.92,76684,8477.0021064,N,02-Jan-2026,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,-0.92
15,SOLARINDS,EQ,12335.0,12348.0,12127.0,12145.0,12252.0,-0.87,16248,1983.214632,N,08-Jul-2025,Annual General Meeting/Dividend - Rs 10 Per Share,-0.87
16,SAMMAANCAP,EQ,146.19,146.48,143.6,144.4,145.64,-0.85,1482162,2144.5401978,N,20-Sep-2024,Dividend - Rs 2 Per Share,-0.85
17,DELHIVERY,EQ,403.05,404.1,400.25,400.4,403.85,-0.85,96030,385.819731,N,20-Sep-2023,Annual General Meeting,-0.85
18,UNITDSPR,EQ,1447.5,1451.5,1431.7,1432.0,1443.7,-0.81,42048,605.3902848,N,01-Aug-2025,Dividend - Rs 8 Per Share,-0.81
19,ICICIGI,EQ,1962.1,1967.1,1946.5,1946.5,1962.1,-0.8,13705,267.864225,N,23-Oct-2025,Interim Dividend - Rs 6.50 Per Share,-0.8
