,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,OFSS,EQ,N,7800.5,7726.5,695382956.76,89564,-23.5,-0.30,7758.5,26-Dec-2025 16:00:28,7764.09
1,INFY,EQ,N,1668.8,1651.7,3326541363.99,2006491,-6.4,-0.38,1657,26-Dec-2025 16:00:28,1657.89
2,WIPRO,EQ,N,268.88,265.74,774410797.44,2899112,-1.81,-0.68,266.25,26-Dec-2025 16:00:28,267.12
3,HCLTECH,EQ,N,1676.4,1650.5,1529779933.5,921138,-13.5,-0.81,1661.2,26-Dec-2025 16:00:28,1660.75
4,PERSISTENT,EQ,N,6399.5,6275,1815999134.16,287268,-52.5,-0.83,6300,26-Dec-2025 16:00:28,6321.62
5,TECHM,EQ,N,1633.7,1608,745429241.52,461192,-19,-1.16,1612.5,26-Dec-2025 16:00:28,1616.31
6,TCS,EQ,N,3320,3271.8,3868753565.6,1176664,-42.2,-1.27,3276.8,26-Dec-2025 16:00:28,3287.9
7,MPHASIS,EQ,N,2913,2843.8,435243828.06,151986,-44.9,-1.55,2847,26-Dec-2025 16:00:28,2863.71
8,LTIM,EQ,N,6174.5,6020,691118490.2,113668,-142.5,-2.31,6020.5,26-Dec-2025 16:00:28,6080.15
9,COFORGE,EQ,N,1744.7,1658.9,7183187326.08,4261704,-63.7,-3.67,1674,26-Dec-2025 16:00:28,1685.52
