,Symbol,metadata.identifier,metadata.series,metadata.purpose,metadata.lastPrice,metadata.change,metadata.pChange,metadata.previousClose,metadata.finalQuantity,metadata.totalTurnover,metadata.marketCap,metadata.yearHigh,metadata.yearLow,metadata.iep,detail.preOpenMarket.preopen,detail.preOpenMarket.ato.totalBuyQuantity,detail.preOpenMarket.ato.totalSellQuantity,detail.preOpenMarket.IEP,detail.preOpenMarket.totalTradedVolume,detail.preOpenMarket.finalPrice,detail.preOpenMarket.finalQuantity,detail.preOpenMarket.lastUpdateTime,detail.preOpenMarket.totalSellQuantity,detail.preOpenMarket.totalBuyQuantity,detail.preOpenMarket.atoBuyQty,detail.preOpenMarket.atoSellQty,detail.preOpenMarket.Change,%chng,detail.preOpenMarket.prevClose
0,HINDZINC,HINDZINCEQN,EQ,,645.0,20.15,3.22,624.85,197167,127172715,270382558831.89,646.5,378.15,645.0,"[{'price': 643.05, 'buyQty': 50, 'sellQty': 0}, {'price': 644, 'buyQty': 165, 'sellQty': 0}, {'price': 644.05, 'buyQty': 50, 'sellQty': 0}, {'price': 644.85, 'buyQty': 5, 'sellQty': 0}, {'price': 645, 'buyQty': 142059, 'sellQty': 0, 'iep': True}, {'price': 645.1, 'buyQty': 0, 'sellQty': 5}, {'price': 645.2, 'buyQty': 0, 'sellQty': 31}, {'price': 645.45, 'buyQty': 0, 'sellQty': 102}, {'price': 645.5, 'buyQty': 0, 'sellQty': 551}, {'price': 645.65, 'buyQty': 0, 'sellQty': 5}]",0,0,645.0,197167,645.0,197167,26-Dec-2025 09:07:10,118979,602863,0,0,20.15,3.22,624.85
1,VEDL,VEDLEQN,EQ,,603.7,5.55,0.93,598.15,103383,62412317,1011044714210.47,607.9,363.0,603.7,"[{'price': 602.3, 'buyQty': 5, 'sellQty': 0}, {'price': 602.95, 'buyQty': 9, 'sellQty': 0}, {'price': 603, 'buyQty': 321, 'sellQty': 0}, {'price': 603.1, 'buyQty': 2034, 'sellQty': 0}, {'price': 603.15, 'buyQty': 11, 'sellQty': 0}, {'price': 603.7, 'buyQty': 0, 'sellQty': 15030, 'iep': True}, {'price': 603.8, 'buyQty': 0, 'sellQty': 4600}, {'price': 603.85, 'buyQty': 0, 'sellQty': 4}, {'price': 603.9, 'buyQty': 0, 'sellQty': 1080}, {'price': 603.95, 'buyQty': 0, 'sellQty': 5405}]",0,0,603.7,103383,603.7,103383,26-Dec-2025 09:07:10,305813,679808,0,0,5.55,0.93,598.15
2,NATIONALUM,NATIONALUMEQN,EQ,,298.0,2.7,0.91,295.3,72559,21622582,264255909398.34,309.2,137.75,298.0,"[{'price': 296.75, 'buyQty': 557, 'sellQty': 0}, {'price': 297, 'buyQty': 1761, 'sellQty': 0}, {'price': 297.2, 'buyQty': 100, 'sellQty': 0}, {'price': 297.25, 'buyQty': 50, 'sellQty': 0}, {'price': 298, 'buyQty': 50811, 'sellQty': 0, 'iep': True}, {'price': 298.1, 'buyQty': 0, 'sellQty': 100}, {'price': 298.3, 'buyQty': 0, 'sellQty': 4001}, {'price': 298.4, 'buyQty': 0, 'sellQty': 129}, {'price': 298.45, 'buyQty': 0, 'sellQty': 50}, {'price': 298.5, 'buyQty': 0, 'sellQty': 36}]",0,0,298.0,72559,298.0,72559,26-Dec-2025 09:07:09,269191,166250,0,0,2.7,0.91,295.3
3,SBICARD,SBICARDEQN,EQ,,874.9,7.3,0.84,867.6,1662,1454083,258874905898.63,1027.25,663.05,874.9,"[{'price': 865.5, 'buyQty': 25, 'sellQty': 0}, {'price': 867, 'buyQty': 1, 'sellQty': 0}, {'price': 867.6, 'buyQty': 248, 'sellQty': 0}, {'price': 873, 'buyQty': 20, 'sellQty': 0}, {'price': 874.65, 'buyQty': 156, 'sellQty': 0}, {'price': 874.9, 'buyQty': 0, 'sellQty': 108, 'iep': True}, {'price': 875, 'buyQty': 0, 'sellQty': 8}, {'price': 879, 'buyQty': 0, 'sellQty': 38}, {'price': 879.5, 'buyQty': 0, 'sellQty': 48}, {'price': 879.9, 'buyQty': 0, 'sellQty': 500}]",0,0,874.9,1662,874.9,1662,26-Dec-2025 09:07:10,21008,9341,0,0,7.3,0.84,867.6
4,BEL,BELEQN,EQ,,403.0,3.0,0.75,400.0,87771,35371713,1427097750688.3,436.0,240.25,403.0,"[{'price': 402.4, 'buyQty': 183, 'sellQty': 0}, {'price': 402.45, 'buyQty': 30, 'sellQty': 0}, {'price': 402.5, 'buyQty': 270, 'sellQty': 0}, {'price': 402.6, 'buyQty': 100, 'sellQty': 0}, {'price': 403, 'buyQty': 10618, 'sellQty': 0, 'iep': True}, {'price': 403.05, 'buyQty': 0, 'sellQty': 1}, {'price': 403.2, 'buyQty': 0, 'sellQty': 185}, {'price': 403.25, 'buyQty': 0, 'sellQty': 10}, {'price': 403.4, 'buyQty': 0, 'sellQty': 54}, {'price': 403.45, 'buyQty': 0, 'sellQty': 156}]",0,0,403.0,87771,403.0,87771,26-Dec-2025 09:07:09,505803,420165,0,0,3.0,0.75,400.0
5,IIFL,IIFLEQN,EQ,,605.8,3.65,0.61,602.15,14461,8760473,139655804672.97,607.55,279.8,605.8,"[{'price': 605, 'buyQty': 5112, 'sellQty': 0}, {'price': 605.05, 'buyQty': 5, 'sellQty': 0}, {'price': 605.1, 'buyQty': 1360, 'sellQty': 0}, {'price': 605.15, 'buyQty': 1014, 'sellQty': 0}, {'price': 605.45, 'buyQty': 400, 'sellQty': 0}, {'price': 605.8, 'buyQty': 0, 'sellQty': 106, 'iep': True}, {'price': 605.9, 'buyQty': 0, 'sellQty': 579}, {'price': 605.95, 'buyQty': 0, 'sellQty': 3069}, {'price': 606, 'buyQty': 0, 'sellQty': 411}, {'price': 606.6, 'buyQty': 0, 'sellQty': 61}]",0,0,605.8,14461,605.8,14461,26-Dec-2025 09:07:22,31361,42054,0,0,3.65,0.61,602.15
6,BDL,BDLEQN,EQ,,1490.0,8.8,0.59,1481.2,9131,13605190,135907388624.53,2096.6,907.0,1490.0,"[{'price': 1487, 'buyQty': 27, 'sellQty': 0}, {'price': 1488, 'buyQty': 106, 'sellQty': 0}, {'price': 1488.6, 'buyQty': 255, 'sellQty': 0}, {'price': 1489, 'buyQty': 125, 'sellQty': 0}, {'price': 1490, 'buyQty': 7001, 'sellQty': 0, 'iep': True}, {'price': 1490.3, 'buyQty': 0, 'sellQty': 861}, {'price': 1490.5, 'buyQty': 0, 'sellQty': 25}, {'price': 1491, 'buyQty': 0, 'sellQty': 100}, {'price': 1491.6, 'buyQty': 0, 'sellQty': 78}, {'price': 1491.7, 'buyQty': 0, 'sellQty': 710}]",0,0,1490.0,9131,1490.0,9131,26-Dec-2025 09:07:10,48802,37266,0,0,8.8,0.59,1481.2
7,MANKIND,MANKINDEQN,EQ,,2206.0,12.7,0.58,2193.3,1075,2371450,247635864533.93,2998.4,2090.0,2206.0,"[{'price': 2194, 'buyQty': 21, 'sellQty': 0}, {'price': 2195, 'buyQty': 15, 'sellQty': 0}, {'price': 2196, 'buyQty': 181, 'sellQty': 0}, {'price': 2200, 'buyQty': 100, 'sellQty': 0}, {'price': 2204.2, 'buyQty': 1, 'sellQty': 0}, {'price': 2206, 'buyQty': 0, 'sellQty': 278, 'iep': True}, {'price': 2206.9, 'buyQty': 0, 'sellQty': 50}, {'price': 2207.1, 'buyQty': 0, 'sellQty': 10}, {'price': 2207.7, 'buyQty': 0, 'sellQty': 353}, {'price': 2209, 'buyQty': 0, 'sellQty': 1}]",0,0,2206.0,1075,2206.0,1075,26-Dec-2025 09:07:13,5609,3395,0,0,12.7,0.58,2193.3
8,MCX,MCXEQN,EQ,,10887.0,62.0,0.57,10825.0,1242,13521654,551008809186.64,11110.0,4408.15,10887.0,"[{'price': 10852, 'buyQty': 3, 'sellQty': 0}, {'price': 10857, 'buyQty': 1, 'sellQty': 0}, {'price': 10860, 'buyQty': 10, 'sellQty': 0}, {'price': 10870, 'buyQty': 560, 'sellQty': 0}, {'price': 10879, 'buyQty': 3, 'sellQty': 0}, {'price': 10887, 'buyQty': 0, 'sellQty': 166, 'iep': True}, {'price': 10888, 'buyQty': 0, 'sellQty': 86}, {'price': 10890, 'buyQty': 0, 'sellQty': 154}, {'price': 10891, 'buyQty': 0, 'sellQty': 89}, {'price': 10895, 'buyQty': 0, 'sellQty': 20}]",0,0,10887.0,1242,10887.0,1242,26-Dec-2025 09:07:10,5054,4957,0,0,62.0,0.57,10825.0
9,DIXON,DIXONEQN,EQ,,12700.0,71.0,0.56,12629.0,912,11582400,518541654881.45,18700.0,12130.0,12700.0,"[{'price': 12679, 'buyQty': 3, 'sellQty': 0}, {'price': 12689, 'buyQty': 6, 'sellQty': 0}, {'price': 12690, 'buyQty': 3, 'sellQty': 0}, {'price': 12692, 'buyQty': 63, 'sellQty': 0}, {'price': 12699, 'buyQty': 5, 'sellQty': 0}, {'price': 12700, 'buyQty': 0, 'sellQty': 952, 'iep': True}, {'price': 12712, 'buyQty': 0, 'sellQty': 1}, {'price': 12720, 'buyQty': 0, 'sellQty': 1}, {'price': 12725, 'buyQty': 0, 'sellQty': 8}, {'price': 12729, 'buyQty': 0, 'sellQty': 100}]",0,0,12700.0,912,12700.0,912,26-Dec-2025 09:07:10,6514,10187,0,0,71.0,0.56,12629.0
