,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
0,NUVAMA,17911,1380,16531,1197.9,42127,29355.38577,22359380910,31595.96987,2240.5841,1488
1,RVNL,77399,56588,20811,36.78,473638,315690.0278,225335925310,362609.68966,46919.66185,387
2,NIFTYNXT50,4121,3142,979,31.16,5982,23146.18964,8049990519,23360.84483,214.65519,68961
3,IRFC,46362,37394,8968,23.98,314863,155904.10192,162352204177,183590.1587,27686.05677,133
4,IRCTC,57842,47245,10597,22.43,258519,181431.27651,144612453886,199428.15287,17996.87636,706
5,FINNIFTY,38417,31935,6482,20.3,334764,9122.11446,598708073608,20164.93305,11042.81858,27430
6,NIFTY,7023935,5956807,1067128,17.91,62295920,2617172.19508,121087663380895,4993422.03653,2376249.84145,26042
7,MIDCPNIFTY,235455,204784,30671,14.98,1485755,301286.69401,2848414560296,386485.82198,85199.12796,13722
8,COFORGE,107631,93635,13996,14.95,261024,242719.55437,145828974202,263375.4714,20655.91702,1674
9,NBCC,27692,24489,3203,13.08,75273,126277.6528,47395316475,133632.67255,7355.01975,122
10,NATIONALUM,39913,35364,4549,12.86,99671,155929.41675,99109739700,167418.43875,11489.022,305
11,SBICARD,37934,33631,4303,12.79,37356,141588.89744,11972905792,142558.91536,970.01792,865
12,TITAN,106198,95749,10449,10.91,383279,242213.66095,244761853864,256803.9446,14590.28364,3994
13,SOLARINDS,38453,35174,3279,9.32,82719,78456.52515,66229965210,83151.23975,4694.7146,12480
14,IEX,40245,36969,3276,8.86,61833,77230.07287,24403104450,80297.64862,3067.57575,135
15,MCX,77354,71402,5952,8.34,369566,292456.68251,484198734697,325014.65448,32557.97197,11050
16,LTF,33518,30963,2555,8.25,32800,132186.16023,22798837866,134112.3974,1926.23716,301
17,MAZDOCK,64368,59967,4401,7.34,421815,116064.6109,185731306079,134164.72169,18100.11079,2549
18,NYKAA,30726,28824,1902,6.6,28562,75617.18406,16148621906,77582.77812,1965.59406,259
19,BDL,48811,45871,2940,6.41,200407,69429.76589,93489571741,76983.6983,7553.93241,1482
20,BANKNIFTY,1451849,1366519,85330,6.24,7697876,630946.47887,15848412773508,984248.29895,353301.82008,59011
21,TATATECH,28720,27284,1436,5.26,16247,54741.58416,3208376056,55105.74472,364.16056,653
22,TITAGARH,14522,13813,709,5.13,139034,39524.62743,88899591828,49305.94072,9781.31328,899
23,DIXON,200237,190889,9348,4.9,570897,261835.90956,340598931048,294137.47005,32301.56048,12280
24,CONCOR,53905,51411,2494,4.85,76978,140185.989,37151983200,144923.696,4737.707,519
25,IREDA,33904,32458,1446,4.45,79862,87751.16538,31229950999,92020.70287,4269.53749,140
26,ASTRAL,35010,33725,1285,3.81,28510,99149.05724,7200006740,100037.35964,888.3024,1388
27,EICHERMOT,56426,54643,1783,3.26,71887,156996.36934,65655873680,160894.34364,3897.9743,7330
28,PAGEIND,30628,29688,940,3.17,31901,77269.43749,9797633560,77594.9481,325.5106,36515
29,JUBLFOOD,37030,35928,1102,3.07,30140,112154.8975,10272567900,113488.2015,1333.304,560
30,HINDUNILVR,77631,75492,2139,2.83,65883,194367.83919,26191618362,195942.34281,1574.50362,2288
31,INDUSINDBK,99326,96828,2498,2.58,98042,215362.08043,37450758548,218744.08591,3382.00548,848
32,JINDALSTEL,37797,36918,879,2.38,30683,74352.04387,11870026787,75210.49925,858.45537,985
33,UNOMINDA,16170,15830,340,2.15,18873,53627.08681,7958441700,53932.30381,305.217,1270
34,DALBHARAT,18128,17779,349,1.96,48065,52639.30668,28543841118,54963.84786,2324.54118,2162
35,BEL,172627,169915,2712,1.6,241677,238007.44725,117705016273,247266.90373,9259.45648,398
36,HINDZINC,115384,113582,1802,1.59,277054,227103.15033,196523945301,253587.90084,26484.75051,637
37,POWERINDIA,20861,20552,309,1.5,29756,29653.68677,25390898363,30465.6704,811.98363,18410
38,BAJAJFINSV,110752,109296,1456,1.33,92744,225865.78845,24824122452,227710.51297,1844.72452,2020
39,JIOFIN,121588,120080,1508,1.26,78957,210103.27867,35723684659,214038.65776,3935.37909,297
40,POWERGRID,74098,73206,892,1.22,37202,112254.39476,7898746443,113040.61419,786.21943,265
41,CDSL,52030,51466,564,1.1,47123,109562.92154,23294626772,111568.65426,2005.73272,1479
42,ITC,171823,170045,1778,1.05,79174,229028.06048,28888326768,230842.08816,1814.02768,404
43,LUPIN,31490,31165,325,1.04,21509,85125.55549,10936013941,85689.09491,563.53941,2100
44,EXIDEIND,30136,29840,296,0.99,15282,60073.10334,4212065574,60497.20908,424.10574,365
45,SAIL,57871,57328,543,0.95,34981,140970.6391,7811316011,141849.54521,878.90611,132
46,COLPAL,53110,52647,463,0.88,37171,101617.48001,7610102856,102325.05857,707.57856,2084
47,SUPREMEIND,25740,25560,180,0.7,18552,54689.403,5513173561,55001.77611,312.37311,3272
48,RBLBANK,36572,36352,220,0.61,21508,144675.2885,6465539488,145272.51838,597.22988,303
49,GODREJPROP,53993,53690,303,0.56,36450,105341.78971,9903377596,106354.95068,1013.16096,2000
50,SRF,33921,33761,160,0.47,48122,67685.83852,23524505670,69487.39522,1801.5567,3099
51,SUNPHARMA,81805,81480,325,0.4,84830,134977.48722,38093359993,137298.16716,2320.67993,1720
52,BHEL,53973,53769,204,0.38,78650,134915.09666,46105002116,139538.38657,4623.28991,280
53,YESBANK,59215,59032,183,0.31,25213,109610.44476,6375558157,110706.67933,1096.23457,21
54,APLAPOLLO,31307,31214,93,0.3,23138,66481.50957,8644731627,67065.35584,583.84627,1888
55,HAL,146073,145649,424,0.29,169876,172351.15449,98394711616,179954.79565,7603.64116,4412
56,HINDALCO,152417,151987,430,0.28,125917,256430.65672,51776728255,261202.02927,4771.37255,873
57,ADANIENSOL,36062,36028,34,0.09,36598,114697.053,13769793807,115671.85107,974.79807,1014
58,NMDC,86099,86043,56,0.07,79595,145584.95917,30358219162,149847.5133,4262.55412,82
59,CAMS,23314,23303,11,0.05,15077,42936.67575,4394425687,43445.95762,509.28187,748
60,CUMMINSIND,25199,25201,-2,-0.01,29268,115703.00628,14254159076,116498.49704,795.49076,4350
61,BOSCHLTD,14843,14845,-2,-0.01,21500,62303.78439,13380891878,62683.07818,379.29378,35825
62,VEDL,197715,197935,-220,-0.11,233594,502614.98006,112075610386,513967.29142,11352.31136,601
63,MFSL,26719,26778,-59,-0.22,20174,108123.41584,2782851296,108247.5288,124.11296,1670
64,DMART,60231,60380,-149,-0.25,41321,117364.35156,12191081340,118193.58996,829.2384,3790
65,PNBHOUSING,41575,41687,-112,-0.27,52375,108606.53687,21883372556,109987.24743,1380.71056,942
66,UPL,43146,43266,-120,-0.28,28968,183964.64244,12316471671,185117.70666,1153.06421,772
67,IDEA,155169,155664,-495,-0.32,71920,378981.02765,25100398947,385712.77187,6731.74422,11
68,ICICIBANK,262100,262968,-868,-0.33,144592,603832.25259,78077680555,608087.78814,4255.53555,1351
69,TRENT,163635,164177,-542,-0.33,336283,197428.2411,127206158664,205531.52774,8103.28664,4280
70,FEDERALBNK,30855,30967,-112,-0.36,28633,160211.866,21840055500,161864.546,1652.68,261
71,SUZLON,70668,70975,-307,-0.43,44541,74707.60562,12808950992,76098.2478,1390.64217,53
72,DABUR,34217,34376,-159,-0.46,19928,50316.802,7358082587,50828.56537,511.76337,488
73,ONGC,85532,85939,-407,-0.47,44028,122215.50045,11267345632,123060.53677,845.03632,234
74,ICICIPRULI,26230,26363,-133,-0.5,17427,75456.53598,2984654062,75661.40535,204.86937,650
75,BAJFINANCE,181880,182881,-1001,-0.55,148901,424225.85797,71487863730,430066.04527,5840.1873,998
76,LODHA,43229,43473,-244,-0.56,26378,80069.75239,5004449995,80374.31235,304.55995,1074
77,ALKEM,16281,16379,-98,-0.6,12090,47532.11723,3679985810,47686.66283,154.5456,5537
78,HUDCO,34242,34451,-209,-0.61,49526,77156.42772,23320969797,79655.67819,2499.25047,221
79,RELIANCE,345338,347500,-2162,-0.62,238919,563422.6361,130848789200,569955.7281,6533.092,1560
80,HDFCBANK,520926,524476,-3550,-0.68,337993,834028.81985,102391901045,839460.25031,5431.43045,992
81,ADANIPORTS,81857,82427,-570,-0.69,61303,175266.78117,26542057889,176863.62006,1596.83889,1487
