,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,SONATSOFTW,EQ,N,370.85,356.55,344010233.8,936745,7.8,2.17,367,26-Dec-2025 16:00:28,367.24
1,BHARTIHEXA,EQ,N,1832,1791.2,111042824.04,60971,13.5,0.74,1830,26-Dec-2025 16:00:28,1821.24
2,TATACOMM,EQ,N,1804.4,1770.1,170554812,95640,8.6,0.49,1780,26-Dec-2025 16:00:28,1783.3
3,AFFLE,EQ,N,1786.2,1748,213865869.87,120863,3.5,0.20,1784.1,26-Dec-2025 16:00:28,1769.49
4,HEXT,EQ,N,754.2,737,314466828.39,421837,0,0.00,748.4,26-Dec-2025 16:00:28,745.47
5,BSOFT,EQ,N,457.5,447.15,363448535.92,806248,-0.85,-0.19,448.55,26-Dec-2025 16:00:28,450.79
6,OFSS,EQ,N,7800.5,7726.5,695382956.76,89564,-23.5,-0.30,7758.5,26-Dec-2025 16:00:28,7764.09
7,CYIENT,EQ,N,1128.5,1115,793339851.3,706982,-3.6,-0.32,1118,26-Dec-2025 16:00:28,1122.15
8,TATATECH,EQ,N,662.05,652.45,225813479.94,343359,-3.85,-0.59,653.75,26-Dec-2025 16:00:28,657.66
9,KPITTECH,EQ,N,1236.2,1205,346001236.35,283503,-8,-0.66,1209.3,26-Dec-2025 16:00:28,1220.45
10,IDEA,EQ,N,12.09,11.89,6192660868,516916600,-0.08,-0.67,11.94,26-Dec-2025 16:00:28,11.98
11,INDUSTOWER,EQ,N,427.55,419.05,1060451797.23,2510361,-3.4,-0.80,420.5,26-Dec-2025 16:00:28,422.43
12,PERSISTENT,EQ,N,6399.5,6275,1815999134.16,287268,-52.5,-0.83,6300,26-Dec-2025 16:00:28,6321.62
13,TATAELXSI,EQ,N,5425,5335,454618539.42,84561,-47.5,-0.88,5340,26-Dec-2025 16:00:28,5376.22
14,MPHASIS,EQ,N,2913,2843.8,435243828.06,151986,-44.9,-1.55,2847,26-Dec-2025 16:00:28,2863.71
15,INTELLECT,EQ,N,1018,989.1,110838349.24,110804,-19.7,-1.95,990.5,26-Dec-2025 16:00:28,1000.31
16,ZENSARTECH,EQ,N,741.5,720.65,94226031.03,129323,-15.7,-2.12,724,26-Dec-2025 16:00:28,728.61
17,LTTS,EQ,N,4643,4509,200748062.07,43929,-98.1,-2.13,4510,26-Dec-2025 16:00:28,4569.83
18,HFCL,EQ,N,64.94,60.72,3715997994.24,59247417,-2.2,-3.42,62.04,26-Dec-2025 16:00:28,62.72
19,COFORGE,EQ,N,1744.7,1658.9,7183187326.08,4261704,-63.7,-3.67,1674,26-Dec-2025 16:00:28,1685.52
