Symbol,%chng
IDEA,8.09
INDUSTOWER,3.88
HFCL,1.70
MPHASIS,1.03
SONATSOFTW,0.60
TATATECH,0.16
PERSISTENT,0.05
OFSS,-0.03
BSOFT,-0.18
COFORGE,-0.35
KPITTECH,-0.43
TATAELXSI,-0.49
ZENSARTECH,-0.52
CYIENT,-0.81
HEXT,-0.86
BHARTIHEXA,-0.86
TATACOMM,-1.03
AFFLE,-1.13
LTTS,-1.39
INTELLECT,-2.38
