Symbol,%chng
IDEA,4.09
PFC,0.98
RECLTD,0.9
IREDA,0.79
HUDCO,0.71
SWIGGY,0.71
ASTRAL,0.68
DALBHARAT,0.68
SOLARINDS,0.68
360ONE,0.67
PAGEIND,0.67
PATANJALI,0.66
POLICYBZR,0.66
BHARATFORG,0.65
KEI,0.65
BPCL,0.63
APLAPOLLO,0.61
ZYDUSLIFE,0.6
AUROPHARMA,0.59
MARICO,0.59
BDL,0.58
PREMIERENE,0.58
INDUSTOWER,0.55
IRFC,0.55
RVNL,0.55
SONACOMS,0.53
NAUKRI,0.52
PIIND,0.52
COLPAL,0.5
CONCOR,0.5
MANAPPURAM,0.49
KPITTECH,0.47
TVSMOTOR,0.46
WIPRO,0.46
ADANIGREEN,0.45
PGEL,0.45
BHARTIARTL,0.44
NBCC,0.44
M&M,0.43
ADANIENT,0.42
BLUESTARCO,0.42
COFORGE,0.42
INDHOTEL,0.42
INDIGO,0.42
DLF,0.41
TMPV,0.41
HAVELLS,0.4
KOTAKBANK,0.4
MAZDOCK,0.39
NESTLEIND,0.39
SUPREMEIND,0.39
MOTHERSON,0.38
NATIONALUM,0.38
OBEROIRLTY,0.38
SAMMAANCAP,0.38
BHEL,0.37
ANGELONE,0.34
MFSL,0.34
BSE,0.33
DMART,0.33
PRESTIGE,0.33
CGPOWER,0.32
IOC,0.32
JSWENERGY,0.32
KALYANKJIL,0.32
PPLPHARMA,0.31
TATATECH,0.31
CAMS,0.3
MAXHEALTH,0.3
NUVAMA,0.3
TITAN,0.3
APOLLOHOSP,0.29
CHOLAFIN,0.29
TATASTEEL,0.29
UNIONBANK,0.29
AMBER,0.28
DABUR,0.28
GODREJPROP,0.28
PETRONET,0.28
SIEMENS,0.28
YESBANK,0.28
TCS,0.27
UPL,0.27
HINDUNILVR,0.26
KAYNES,0.26
PNBHOUSING,0.26
TORNTPHARM,0.26
UNITDSPR,0.26
ABB,0.25
BAJAJFINSV,0.25
MANKIND,0.25
BAJAJ-AUTO,0.24
ASIANPAINT,0.23
GODREJCP,0.23
HDFCBANK,0.23
EXIDEIND,0.22
MCX,0.22
ONGC,0.22
FEDERALBNK,0.21
IEX,0.21
LUPIN,0.21
PERSISTENT,0.21
RELIANCE,0.21
ADANIPORTS,0.2
BANKBARODA,0.2
ETERNAL,0.2
BAJAJHLDNG,0.19
TATAELXSI,0.18
BANKINDIA,0.17
ADANIENSOL,0.16
HINDALCO,0.16
ICICIPRULI,0.16
LT,0.16
OFSS,0.16
BANDHANBNK,0.15
JIOFIN,0.15
BAJFINANCE,0.14
GRASIM,0.14
HINDPETRO,0.14
INDUSINDBK,0.14
FORTIS,0.11
TATAPOWER,0.11
AMBUJACEM,0.1
CUMMINSIND,0.1
HDFCAMC,0.1
PIDILITIND,0.1
PNB,0.1
SBIN,0.1
DIVISLAB,0.09
INDIANB,0.09
INOXWIND,0.09
KFINTECH,0.09
SHREECEM,0.09
SRF,0.09
BEL,0.08
DIXON,0.08
IIFL,0.08
NTPC,0.08
SUZLON,0.08
ICICIBANK,0.07
SAIL,0.07
ULTRACEMCO,0.07
CANBK,0.06
EICHERMOT,0.06
WAAREEENER,0.06
AXISBANK,0.05
CIPLA,0.05
VBL,0.04
CROMPTON,0.02
HDFCLIFE,0.02
LICHSGFIN,0.02
MARUTI,0.02
SUNPHARMA,0.02
CDSL,0.01
GMRAIRPORT,0.01
IDFCFIRSTB,0.01
LICI,0.01
TECHM,0.01
ABCAPITAL,0.0
ASHOKLEY,0.0
AUBANK,0.0
BOSCHLTD,0.0
BRITANNIA,0.0
COALINDIA,0.0
HAL,0.0
HEROMOTOCO,0.0
ICICIGI,0.0
INFY,0.0
JINDALSTEL,0.0
JUBLFOOD,0.0
LAURUSLABS,0.0
LTF,0.0
LTIM,0.0
NMDC,0.0
PAYTM,0.0
PHOENIXLTD,0.0
SBICARD,0.0
SBILIFE,0.0
SHRIRAMFIN,0.0
TATACONSUM,0.0
TIINDIA,0.0
TRENT,0.0
VOLTAS,0.0
HCLTECH,-0.02
OIL,-0.02
LODHA,-0.03
POLYCAB,-0.05
GLENMARK,-0.06
NYKAA,-0.06
ITC,-0.07
MPHASIS,-0.08
GAIL,-0.09
DRREDDY,-0.11
JSWSTEEL,-0.11
POWERINDIA,-0.14
SYNGENE,-0.15
IRCTC,-0.16
POWERGRID,-0.19
DELHIVERY,-0.2
NHPC,-0.2
UNOMINDA,-0.21
BIOCON,-0.23
VEDL,-0.23
MUTHOOTFIN,-0.27
HINDZINC,-0.31
TORNTPOWER,-0.4
ALKEM,-0.54
RBLBANK,-0.59
