Symbol,%chng
ITC,-9.69
BAJFINANCE,-1.13
ICICIBANK,-0.39
KAYNES,-1.78
MCX,-1.09
BPCL,-0.78
BEL,-0.44
DMART,-1.8
CGPOWER,-1.37
COFORGE,-0.35
UNITDSPR,-2.65
ONGC,-1.03
IREDA,-0.54
TATACONSUM,-1.57
SOLARINDS,-0.44
INDIANB,-0.45
DIVISLAB,-0.73
HDFCAMC,-0.83
ASIANPAINT,-0.49
PAGEIND,-0.97
SAMMAANCAP,-0.93
BRITANNIA,-0.53
POLICYBZR,-1.23
YESBANK,-0.56
DRREDDY,-1.53
BANDHANBNK,-1.11
BIOCON,-1.43
HUDCO,-0.65
JUBLFOOD,-0.91
HAVELLS,-0.38
CROMPTON,-1.15
ICICIGI,-0.41
INOXWIND,-0.38
LICHSGFIN,-0.66
PPLPHARMA,-1.31
IEX,-0.37
KFINTECH,-0.46
DABUR,-0.8
CIPLA,-0.62
NUVAMA,-1.07
KPITTECH,-0.43
DELHIVERY,-0.89
SONACOMS,-0.94
CAMS,-0.63
ALKEM,-0.75
TATAELXSI,-0.49
SRF,-0.46
MANKIND,-1.45
PIDILITIND,-0.97
360ONE,-0.84
