Symbol,%chng in OI
ITC,105.31
SWIGGY,85.34
BAJAJHLDNG,28.59
FINNIFTY,22.58
NIFTY,18.6
WAAREEENER,18.58
APLAPOLLO,16.19
PREMIERENE,16.09
ASHOKLEY,15.82
MIDCPNIFTY,13.01
DRREDDY,12.84
UNITDSPR,11.89
BAJAJ-AUTO,10.63
BANKBARODA,9.63
ADANIENSOL,9.4
ONGC,9.28
KAYNES,8.83
DMART,8.65
BANKNIFTY,8.11
KEI,7.77
CANBK,7.43
ADANIGREEN,7.36
BLUESTARCO,7.29
ABCAPITAL,6.99
SUPREMEIND,6.96
SHRIRAMFIN,6.94
BAJFINANCE,6.83
BRITANNIA,6.69
UNOMINDA,6.64
IOC,6.61
TVSMOTOR,6.53
KPITTECH,6.48
CGPOWER,6.12
SAMMAANCAP,6.03
IREDA,5.92
INDUSINDBK,5.89
BOSCHLTD,5.85
BPCL,5.8
MCX,5.5
BHEL,5.47
TATACONSUM,5.46
SBILIFE,5.46
POLICYBZR,5.44
NTPC,5.35
MOTHERSON,5.33
LT,5.23
FEDERALBNK,5.1
PNBHOUSING,5.07
MARUTI,5.01
HINDUNILVR,5.01
IDEA,5.01
FORTIS,4.98
HCLTECH,4.98
DABUR,4.97
PAGEIND,4.92
TIINDIA,4.87
TORNTPOWER,4.81
JUBLFOOD,4.57
SUZLON,4.57
TMPV,4.55
LTIM,4.42
JSWENERGY,4.41
DIVISLAB,4.39
MARICO,4.27
UNIONBANK,4.27
PFC,4.25
HDFCLIFE,4.11
ICICIGI,4.08
ALKEM,4.07
RELIANCE,4.07
ASIANPAINT,3.89
IEX,3.79
KFINTECH,3.77
TCS,3.75
ANGELONE,3.61
SBICARD,3.55
SYNGENE,3.53
EICHERMOT,3.51
RECLTD,3.5
CUMMINSIND,3.46
HAVELLS,3.43
MANKIND,3.42
BSE,3.36
BIOCON,3.31
OFSS,3.24
BHARATFORG,3.23
INDHOTEL,3.23
WIPRO,3.2
PAYTM,3.16
LAURUSLABS,3.12
ZYDUSLIFE,3.1
POWERGRID,3.09
TECHM,3.09
PNB,3.06
M&M,2.98
ICICIBANK,2.96
PIIND,2.92
NAUKRI,2.91
BANDHANBNK,2.89
PPLPHARMA,2.84
SBIN,2.83
PERSISTENT,2.72
NIFTYNXT50,2.71
NUVAMA,2.68
TITAN,2.65
DELHIVERY,2.65
AMBER,2.64
POLYCAB,2.63
CIPLA,2.6
TATATECH,2.59
NHPC,2.58
ADANIENT,2.56
BAJAJFINSV,2.5
AUROPHARMA,2.5
HDFCAMC,2.5
AUBANK,2.47
KOTAKBANK,2.44
CDSL,2.42
INDIGO,2.42
SRF,2.38
GMRAIRPORT,2.36
EXIDEIND,2.35
ICICIPRULI,2.34
SUNPHARMA,2.32
NBCC,2.31
PRESTIGE,2.3
APOLLOHOSP,2.28
MAZDOCK,2.28
BHARTIARTL,2.27
COALINDIA,2.26
ADANIPORTS,2.25
INDUSTOWER,2.24
DALBHARAT,2.21
GAIL,2.2
AXISBANK,2.18
VEDL,2.17
DIXON,2.11
GODREJPROP,2.1
TATAELXSI,2.07
OBEROIRLTY,2.05
HAL,2.05
360ONE,2.04
SOLARINDS,1.98
PIDILITIND,1.98
INFY,1.94
SONACOMS,1.93
ULTRACEMCO,1.9
AMBUJACEM,1.88
SAIL,1.86
GRASIM,1.85
IIFL,1.84
CHOLAFIN,1.82
OIL,1.77
COLPAL,1.75
UPL,1.69
LICHSGFIN,1.68
INOXWIND,1.64
NMDC,1.59
DLF,1.57
COFORGE,1.54
CAMS,1.52
LUPIN,1.41
YESBANK,1.41
LICI,1.41
BEL,1.37
RBLBANK,1.36
TATAPOWER,1.33
JIOFIN,1.33
HDFCBANK,1.29
TATASTEEL,1.27
ABB,1.27
LTF,1.22
NESTLEIND,1.17
TORNTPHARM,1.16
BANKINDIA,1.15
CONCOR,1.15
LODHA,1.14
KALYANKJIL,1.11
VOLTAS,1.07
ASTRAL,1.04
GLENMARK,1.0
SHREECEM,0.99
PGEL,0.98
HINDPETRO,0.97
CROMPTON,0.96
BDL,0.94
MANAPPURAM,0.89
HEROMOTOCO,0.88
PHOENIXLTD,0.85
ETERNAL,0.8
IRCTC,0.76
MFSL,0.74
MAXHEALTH,0.73
JINDALSTEL,0.56
MUTHOOTFIN,0.54
IDFCFIRSTB,0.44
INDIANB,0.41
JSWSTEEL,0.35
IRFC,0.34
POWERINDIA,0.2
PETRONET,0.16
PATANJALI,0.15
TRENT,0.08
HINDALCO,0.06
RVNL,0.03
GODREJCP,0.03
MPHASIS,-0.06
HINDZINC,-0.21
HUDCO,-0.3
SIEMENS,-0.42
VBL,-0.5
NYKAA,-1.1
NATIONALUM,-1.39
