Symbol,%chng
BANKINDIA,2.61
MAHABANK,2.55
BANKBARODA,1.86
PSB,0.79
CENTRALBK,0.53
IOB,0.25
SBIN,0.24
PNB,0.15
UCOBANK,0.10
UNIONBANK,-0.04
CANBK,-0.34
INDIANB,-0.45
