Symbol,%chng
IDEA,2.07
COALINDIA,7.15
HDFCBANK,0.92
ICICIBANK,1.28
RELIANCE,1.1
DIXON,0.6
RECLTD,3.75
NTPC,4.56
MCX,0.96
PFC,3.51
SBIN,2.12
BOSCHLTD,8.45
NATIONALUM,4.75
MARUTI,1.57
HEROMOTOCO,1.53
BAJFINANCE,1.79
BSE,1.56
VEDL,2.31
INDUSINDBK,1.31
M&M,1.06
INDUSTOWER,1.59
KAYNES,0.87
TATAPOWER,2.83
HINDALCO,3.53
ASHOKLEY,1.63
CANBK,0.84
BEL,1.41
TATASTEEL,0.5
IREDA,5.47
INFY,0.75
BHEL,2.83
LT,0.59
HINDZINC,2.51
TRENT,2.39
TVSMOTOR,2.11
TCS,0.57
POWERGRID,1.63
IRFC,2.11
SUZLON,3.47
JIOFIN,2.08
CHOLAFIN,3.24
BANKBARODA,1.68
SAMMAANCAP,2.98
PAYTM,3.62
PGEL,4.11
DLF,1.0
JSWENERGY,1.6
DABUR,5.09
INDIANB,3.45
NHPC,5.2
HAL,0.46
TMPV,0.76
RVNL,1.04
YESBANK,3.82
ANGELONE,1.32
TORNTPOWER,5.55
BDL,0.78
GAIL,2.15
NMDC,0.96
MAZDOCK,0.74
HINDUNILVR,1.1
UNOMINDA,2.76
WIPRO,0.62
VBL,0.36
JINDALSTEL,1.09
RBLBANK,1.74
GRASIM,0.47
ADANIPORTS,0.6
CROMPTON,1.1
UNIONBANK,2.23
SUNPHARMA,0.51
FORTIS,1.68
PNB,1.4
PATANJALI,0.92
ADANIENT,0.8
IOC,0.48
ADANIGREEN,1.22
VOLTAS,3.27
HUDCO,1.72
IIFL,3.86
CDSL,1.41
LODHA,1.28
POWERINDIA,1.75
POLYCAB,1.79
BHARATFORG,1.0
CGPOWER,2.08
CIPLA,0.61
ADANIENSOL,0.79
ONGC,1.71
ASIANPAINT,0.71
BANKINDIA,1.54
INOXWIND,3.91
INDHOTEL,1.27
LTF,0.58
PNBHOUSING,1.26
CUMMINSIND,0.44
BANDHANBNK,0.53
HDFCLIFE,0.41
IRCTC,1.33
BLUESTARCO,1.74
JSWSTEEL,0.56
AMBER,0.58
NBCC,0.49
MAXHEALTH,1.11
SHREECEM,0.97
SBILIFE,1.07
HDFCAMC,0.41
PPLPHARMA,4.96
SOLARINDS,1.33
KALYANKJIL,2.33
SUPREMEIND,1.39
GLENMARK,2.31
AMBUJACEM,1.14
PETRONET,0.92
PHOENIXLTD,1.3
OBEROIRLTY,2.07
DIVISLAB,0.76
TATAELXSI,3.14
ASTRAL,1.39
GODREJPROP,2.71
AUROPHARMA,1.84
SBICARD,1.93
IEX,0.82
SONACOMS,2.53
CAMS,2.98
BIOCON,1.47
LICHSGFIN,1.84
CONCOR,1.5
LICI,0.96
KPITTECH,0.4
DALBHARAT,0.65
NAUKRI,1.73
OFSS,0.68
360ONE,1.72
PIDILITIND,0.52
EXIDEIND,1.35
ICICIGI,0.77
TATATECH,1.95
NUVAMA,0.77
HAVELLS,1.65
PRESTIGE,0.99
KFINTECH,0.77
PIIND,0.93
ABB,0.82
DELHIVERY,0.91
MANKIND,1.73
ICICIPRULI,0.59
TORNTPHARM,0.6
ALKEM,2.22
SYNGENE,0.89
