,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
0,FINNIFTY,70792,44952,25840,57.48,3907949,21511.0552,6947304988793,83920.51564,62409.46043,27382
1,SOLARINDS,49343,38713,10630,27.46,81172,171114.35072,44403599528,175452.346,4337.99528,12290
2,MAXHEALTH,67812,55621,12191,21.92,51939,158666.32698,13158720818,160516.90016,1850.57318,1046
3,UPL,51348,42598,8750,20.54,49173,207458.13068,32166053404,212750.01272,5291.88204,787
4,NYKAA,36474,30263,6211,20.52,37526,165105.23812,14611995343,167228.00406,2122.76593,263
5,NTPC,119382,101063,18319,18.13,59015,165828.6666,12582121710,167927.5962,2098.9296,325
6,EXIDEIND,34940,29717,5223,17.58,22467,79457.07546,6982820118,80922.98664,1465.91118,357
7,INDHOTEL,45973,39270,6703,17.07,31613,113483.4729,12141931240,115096.6853,1613.2124,732
8,HDFCLIFE,57303,49005,8298,16.93,32192,153760.03093,11276853962,155383.91055,1623.87962,746
9,SRF,38066,32566,5500,16.89,32607,92285.7119,10786911244,93479.12434,1193.41244,3067
10,YESBANK,69472,59579,9893,16.6,40303,170075.73341,10340430603,172239.27644,2163.54303,21
11,SAIL,73246,62897,10349,16.45,100654,268406.98759,39866573590,276397.30249,7990.3149,141
12,SAMMAANCAP,53100,45606,7494,16.43,32713,160460.76596,4288163347,161697.11443,1236.34847,141
13,DIVISLAB,58290,50122,8168,16.3,45214,147882.65772,14353839733,148971.95505,1089.29733,6480
14,TATAPOWER,97512,84463,13049,15.45,59377,147674.47381,18559895281,151888.79412,4214.32031,374
15,RECLTD,138694,120279,18415,15.31,85898,213819.73208,20367762320,217901.79903,4082.06695,351
16,ICICIBANK,297129,258176,38953,15.09,150643,773839.11822,66152283092,782180.32914,8341.21092,1347
17,BANKNIFTY,1748392,1519482,228910,15.07,68895303,1132247.82053,142090838171083,2359112.19637,1226864.37583,59171
18,BANKINDIA,22329,19471,2858,14.68,18715,82033.75648,5677558848,82918.49696,884.74048,142
19,BAJAJFINSV,127034,110778,16256,14.67,75219,192589.97567,19117038372,195523.7594,2933.78372,2040
20,LTF,39973,34911,5062,14.5,30045,127544.11138,13870159319,130144.24698,2600.13559,304
21,PFC,133287,116427,16860,14.48,82267,182200.80983,20417341035,187590.83018,5390.02035,349
22,PERSISTENT,44038,38591,5447,14.11,35287,104458.90203,11720077975,105493.28178,1034.37975,6235
23,POWERGRID,88987,78250,10737,13.72,39441,101633.63701,9858604385,103724.33336,2090.69635,259
24,SUZLON,78186,68767,9419,13.7,54061,130003.77141,11815454006,132202.87772,2199.10631,52
25,BHARATFORG,31334,27583,3751,13.6,31668,87787.14675,14663745370,90102.80045,2315.6537,1456
26,TCS,266982,235278,31704,13.48,164216,324090.7073,62669287569,329701.02299,5610.31569,3255
27,CUMMINSIND,28526,25145,3381,13.45,28865,106045.55228,15096840414,107440.05642,1394.50414,4369
28,DLF,112710,99498,13212,13.28,71451,190255.0296,22403331951,195341.51661,5086.48701,682
29,RBLBANK,39930,35325,4605,13.04,31528,137221.35179,17474882214,139363.68018,2142.32839,309
30,TORNTPOWER,13072,11661,1411,12.1,7301,18665.82813,1847243130,18891.54943,225.7213,1264
31,UNITDSPR,54792,48893,5899,12.07,27030,97610.49452,5761681688,98201.7914,591.29688,1430
32,HCLTECH,90508,80781,9727,12.04,52499,131852.5034,17057309468,133684.15809,1831.65468,1621
33,GMRAIRPORT,63410,56613,6797,12.01,34343,115018.49074,13475649989,117303.20988,2284.71914,102
34,GODREJPROP,58288,52062,6226,11.96,33566,97661.99781,8958065630,99437.68411,1775.6863,1977
35,BANDHANBNK,59314,53153,6161,11.59,32620,93728.76228,8245295100,95713.25328,1984.491,145
36,BEL,194841,174644,20197,11.56,183232,340071.74187,71221794504,351270.76941,11199.02754,395
37,ITC,189750,170115,19635,11.54,83944,257108.59968,28971035024,260279.42992,3170.83024,401
38,LICHSGFIN,61703,55325,6378,11.53,33975,121479.6333,6426669290,122698.7762,1219.1429,535
39,CIPLA,66716,59922,6794,11.34,37576,77016.35362,13567599967,78510.4533,1494.09967,1488
40,MFSL,29235,26266,2969,11.3,15700,62916.72232,4140683224,63226.35456,309.63224,1642
41,JUBLFOOD,40984,36828,4156,11.28,36887,124265.01762,13972756075,126624.70337,2359.68575,557
42,KOTAKBANK,154993,139629,15364,11.0,81227,353765.04892,35166929136,357134.10028,3369.05136,2155
43,NIFTYNXT50,4855,4374,481,11.0,25232,20517.41188,41245031188,20874.24876,356.83688,68667
44,HDFCBANK,564866,509595,55271,10.85,300263,820278.45416,82694555674,828110.9359,7832.48174,995
45,GLENMARK,59168,53390,5778,10.82,31708,119237.28753,12285407895,120791.91648,1554.62895,2026
46,CONCOR,59214,53460,5754,10.76,39854,133632.15662,13014346650,136124.31062,2492.154,518
47,DABUR,38094,34464,3630,10.53,28431,64226.62075,11475156900,65690.00225,1463.3815,495
48,AMBUJACEM,83495,75559,7936,10.5,41940,124169.35576,12400096684,126561.84261,2392.48684,549
49,INOXWIND,47700,43236,4464,10.32,30049,73735.4824,5741720489,75250.00239,1514.51999,121
50,CROMPTON,57164,51841,5323,10.27,27951,63712.0908,6686527986,65139.00066,1426.90986,252
51,BAJFINANCE,195917,177706,18211,10.25,85966,278022.22785,37615717350,283902.60135,5880.3735,991
52,BIOCON,39449,35818,3631,10.14,20631,116959.51425,8736108825,118244.6025,1285.08825,391
53,CAMS,27234,24767,2467,9.96,16455,37118.52667,5698360462,37765.5813,647.05462,735
54,INDUSINDBK,107781,98150,9631,9.81,65011,209387.63468,17830881691,211784.84159,2397.20691,841
55,ETERNAL,189952,173267,16685,9.63,107595,320220.41313,42073932748,327943.80436,7723.39123,276
56,IDEA,168860,154045,14815,9.62,97695,479485.14146,38949984615,490875.80487,11390.6634,12
57,IDFCFIRSTB,66292,60514,5778,9.55,35166,157019.65447,12136930543,158853.6874,1834.03293,84
58,NIFTY,8628259,7879822,748437,9.5,255015736,3356494.583,493456896969020,7751790.6682,4395296.0852,25938
59,PNBHOUSING,41751,38139,3612,9.47,37395,70752.90475,16302770126,72797.31602,2044.41126,948
60,INDIANB,26176,23937,2239,9.35,35894,83562.6698,20975322530,86913.7951,3351.1253,807
61,IEX,42503,38870,3633,9.35,22976,46642.76362,7250716012,48496.73625,1853.97262,132
62,SUNPHARMA,88403,81082,7321,9.03,34720,113306.41353,9750239502,114286.36856,979.95502,1720
63,ASHOKLEY,64227,58943,5284,8.96,58954,195017.19,33024537400,200688.614,5671.424,179
64,MPHASIS,33335,30601,2734,8.93,18983,66027.60444,8143833079,66695.54773,667.94329,2800
65,ICICIPRULI,28247,25933,2314,8.92,12694,35714.51159,4164184110,36387.31644,672.80485,655
66,MOTHERSON,51424,47232,4192,8.88,20283,80041.06489,7116874033,81040.58073,999.51583,119
67,JIOFIN,129605,119087,10518,8.83,61988,217163.88916,21992695853,220941.84269,3777.95353,293
68,EICHERMOT,62944,57848,5096,8.81,75890,196245.62067,48818664913,201121.8448,4876.22413,7132
69,TMPV,258403,237614,20789,8.75,166571,186824.6748,30761893664,191467.93144,4643.25664,360
70,RELIANCE,366080,336895,29185,8.66,224757,575456.95575,118110101665,586783.6224,11326.66665,1541
71,LUPIN,34189,31478,2711,8.61,31350,168006.57264,11127681011,168981.77276,975.20011,2080
72,ASIANPAINT,105948,97630,8318,8.52,64745,171436.1295,28221321290,174384.8924,2948.7629,2753
73,PIDILITIND,21113,19464,1649,8.47,10206,44150.9514,3064298960,44441.141,290.1896,1455
74,LAURUSLABS,39663,36614,3049,8.33,28161,119155.39292,14320808593,121918.57385,2763.18093,1091
75,JSWENERGY,72717,67146,5571,8.3,31220,88782.8944,6217855930,90117.6537,1334.7593,469
76,GRASIM,87167,80501,6666,8.28,39962,175371.05237,10787482672,176055.1791,684.12672,2840
77,BHEL,56157,51906,4251,8.19,41305,110997.08156,20092500540,114722.37446,3725.2929,283
78,PETRONET,49094,45432,3662,8.06,25814,39952.7463,9625853269,41159.60649,1206.86019,279
79,LT,137257,127172,10085,7.93,83283,216515.39644,37762845926,219903.5557,3388.15926,4056
