,Symbol,metadata.identifier,metadata.series,metadata.purpose,metadata.lastPrice,metadata.change,metadata.pChange,metadata.previousClose,metadata.finalQuantity,metadata.totalTurnover,metadata.marketCap,metadata.yearHigh,metadata.yearLow,metadata.iep,detail.preOpenMarket.preopen,detail.preOpenMarket.ato.totalBuyQuantity,detail.preOpenMarket.ato.totalSellQuantity,detail.preOpenMarket.IEP,detail.preOpenMarket.totalTradedVolume,detail.preOpenMarket.finalPrice,detail.preOpenMarket.finalQuantity,detail.preOpenMarket.lastUpdateTime,detail.preOpenMarket.totalSellQuantity,detail.preOpenMarket.totalBuyQuantity,detail.preOpenMarket.atoBuyQty,detail.preOpenMarket.atoSellQty,detail.preOpenMarket.Change,%chng,detail.preOpenMarket.prevClose
0,PETRONET,PETRONETEQN,EQ,,282.0,3.55,1.27,278.45,46135,13010070,207934342698.81,349.5,263.5,282.0,"[{'price': 280.15, 'buyQty': 120, 'sellQty': 0}, {'price': 280.2, 'buyQty': 10, 'sellQty': 0}, {'price': 281, 'buyQty': 3, 'sellQty': 0}, {'price': 281.6, 'buyQty': 50, 'sellQty': 0}, {'price': 282, 'buyQty': 61, 'sellQty': 0, 'iep': True}, {'price': 282.1, 'buyQty': 0, 'sellQty': 25}, {'price': 282.2, 'buyQty': 0, 'sellQty': 30}, {'price': 282.4, 'buyQty': 0, 'sellQty': 50}, {'price': 282.5, 'buyQty': 0, 'sellQty': 100}, {'price': 282.6, 'buyQty': 0, 'sellQty': 30}]",0,0,282.0,46135,282.0,46135,30-Dec-2025 09:07:44,53578,111650,0,0,3.55,1.27,278.45
1,PNBHOUSING,PNBHOUSINGEQN,EQ,,940.0,7.2,0.77,932.8,3014,2833160,175147352239.63,1141.9,746.7,940.0,"[{'price': 937.8, 'buyQty': 18, 'sellQty': 0}, {'price': 938, 'buyQty': 545, 'sellQty': 0}, {'price': 938.05, 'buyQty': 50, 'sellQty': 0}, {'price': 939, 'buyQty': 40, 'sellQty': 0}, {'price': 940, 'buyQty': 400, 'sellQty': 0, 'iep': True}, {'price': 941, 'buyQty': 0, 'sellQty': 25}, {'price': 942, 'buyQty': 0, 'sellQty': 550}, {'price': 943, 'buyQty': 0, 'sellQty': 60}, {'price': 944, 'buyQty': 0, 'sellQty': 126}, {'price': 945, 'buyQty': 0, 'sellQty': 211}]",0,0,940.0,3014,940.0,3014,30-Dec-2025 09:07:47,20734,17096,0,0,7.2,0.77,932.8
2,BEL,BELEQN,EQ,,395.8,2.55,0.65,393.25,133160,52704728,1405667175030.36,436.0,240.25,395.8,"[{'price': 395.5, 'buyQty': 3100, 'sellQty': 0}, {'price': 395.55, 'buyQty': 50, 'sellQty': 0}, {'price': 395.6, 'buyQty': 240, 'sellQty': 0}, {'price': 395.65, 'buyQty': 75, 'sellQty': 0}, {'price': 395.7, 'buyQty': 50, 'sellQty': 0}, {'price': 395.8, 'buyQty': 0, 'sellQty': 1993, 'iep': True}, {'price': 395.9, 'buyQty': 0, 'sellQty': 805}, {'price': 396, 'buyQty': 0, 'sellQty': 12658}, {'price': 396.1, 'buyQty': 0, 'sellQty': 1010}, {'price': 396.25, 'buyQty': 0, 'sellQty': 251}]",0,0,395.8,133160,395.8,133160,30-Dec-2025 09:07:44,591547,463360,0,0,2.55,0.65,393.25
3,RVNL,RVNLEQN,EQ,,369.9,2.3,0.63,367.6,114848,42482275,207691247015.09,501.8,301.2,369.9,"[{'price': 369.25, 'buyQty': 1, 'sellQty': 0}, {'price': 369.4, 'buyQty': 6319, 'sellQty': 0}, {'price': 369.5, 'buyQty': 5, 'sellQty': 0}, {'price': 369.6, 'buyQty': 104, 'sellQty': 0}, {'price': 369.7, 'buyQty': 410, 'sellQty': 0}, {'price': 369.9, 'buyQty': 0, 'sellQty': 12874, 'iep': True}, {'price': 369.95, 'buyQty': 0, 'sellQty': 249}, {'price': 370, 'buyQty': 0, 'sellQty': 7641}, {'price': 370.05, 'buyQty': 0, 'sellQty': 1}, {'price': 370.2, 'buyQty': 0, 'sellQty': 100}]",0,0,369.9,114848,369.9,114848,30-Dec-2025 09:07:45,512375,255749,0,0,2.3,0.63,367.6
4,SHRIRAMFIN,SHRIRAMFINEQN,EQ,,960.95,5.45,0.57,955.5,27490,26416515,1331594412121.42,984.6,493.35,960.95,"[{'price': 960, 'buyQty': 1399, 'sellQty': 0}, {'price': 960.25, 'buyQty': 2296, 'sellQty': 0}, {'price': 960.5, 'buyQty': 10, 'sellQty': 0}, {'price': 960.95, 'buyQty': 1217, 'sellQty': 0, 'iep': True}, {'price': 961, 'buyQty': 11314, 'sellQty': 0}, {'price': 962, 'buyQty': 0, 'sellQty': 1620}, {'price': 962.7, 'buyQty': 0, 'sellQty': 20}, {'price': 963, 'buyQty': 0, 'sellQty': 220}, {'price': 963.4, 'buyQty': 0, 'sellQty': 15}, {'price': 963.6, 'buyQty': 0, 'sellQty': 50}]",0,0,960.95,27490,960.95,27490,30-Dec-2025 09:07:44,63007,41027,0,0,5.45,0.57,955.5
5,OIL,OILEQN,EQ,,408.2,1.9,0.47,406.3,2734,1116018,220685539685.8,494.55,325.0,408.2,"[{'price': 406.1, 'buyQty': 2000, 'sellQty': 0}, {'price': 406.3, 'buyQty': 18, 'sellQty': 0}, {'price': 406.35, 'buyQty': 123, 'sellQty': 0}, {'price': 406.5, 'buyQty': 350, 'sellQty': 0}, {'price': 408, 'buyQty': 52, 'sellQty': 0}, {'price': 408.2, 'buyQty': 0, 'sellQty': 1486, 'iep': True}, {'price': 408.5, 'buyQty': 0, 'sellQty': 400}, {'price': 408.9, 'buyQty': 0, 'sellQty': 1}, {'price': 409, 'buyQty': 0, 'sellQty': 1335}, {'price': 409.5, 'buyQty': 0, 'sellQty': 1}]",0,0,408.2,2734,408.2,2734,30-Dec-2025 09:07:48,78909,24045,0,0,1.9,0.47,406.3
6,PAGEIND,PAGEINDEQN,EQ,,36475.0,170.0,0.47,36305.0,12,437700,228221880920.15,50590.0,35310.0,36475.0,"[{'price': 36120, 'buyQty': 2, 'sellQty': 0}, {'price': 36150, 'buyQty': 3, 'sellQty': 0}, {'price': 36175, 'buyQty': 1, 'sellQty': 0}, {'price': 36220, 'buyQty': 1, 'sellQty': 0}, {'price': 36225, 'buyQty': 3, 'sellQty': 0}, {'price': 36475, 'buyQty': 0, 'sellQty': 21, 'iep': True}, {'price': 36480, 'buyQty': 0, 'sellQty': 20}, {'price': 36495, 'buyQty': 0, 'sellQty': 7}, {'price': 36500, 'buyQty': 0, 'sellQty': 7}, {'price': 36550, 'buyQty': 0, 'sellQty': 1}]",0,0,36475.0,12,36475.0,12,30-Dec-2025 09:07:48,278,200,0,0,170.0,0.47,36305.0
7,LUPIN,LUPINEQN,EQ,,2091.7,9.6,0.46,2082.1,2941,6151689,502330192271.34,2402.9,1795.2,2091.7,"[{'price': 2085, 'buyQty': 166, 'sellQty': 0}, {'price': 2085.4, 'buyQty': 3, 'sellQty': 0}, {'price': 2087, 'buyQty': 40, 'sellQty': 0}, {'price': 2089, 'buyQty': 20, 'sellQty': 0}, {'price': 2090, 'buyQty': 45, 'sellQty': 0}, {'price': 2091.7, 'buyQty': 0, 'sellQty': 344, 'iep': True}, {'price': 2092, 'buyQty': 0, 'sellQty': 40}, {'price': 2093, 'buyQty': 0, 'sellQty': 20}, {'price': 2094, 'buyQty': 0, 'sellQty': 900}, {'price': 2095, 'buyQty': 0, 'sellQty': 200}]",0,0,2091.7,2941,2091.7,2941,30-Dec-2025 09:07:48,18404,5884,0,0,9.6,0.46,2082.1
8,MAXHEALTH,MAXHEALTHEQN,EQ,,1069.0,4.9,0.46,1064.1,6073,6492037,787646822556.3,1314.3,940.05,1069.0,"[{'price': 1064, 'buyQty': 27, 'sellQty': 0}, {'price': 1064.1, 'buyQty': 153, 'sellQty': 0}, {'price': 1065, 'buyQty': 70, 'sellQty': 0}, {'price': 1065.2, 'buyQty': 10, 'sellQty': 0}, {'price': 1066.6, 'buyQty': 30, 'sellQty': 0}, {'price': 1069, 'buyQty': 0, 'sellQty': 1948, 'iep': True}, {'price': 1069.7, 'buyQty': 0, 'sellQty': 22}, {'price': 1070, 'buyQty': 0, 'sellQty': 3645}, {'price': 1070.1, 'buyQty': 0, 'sellQty': 488}, {'price': 1071, 'buyQty': 0, 'sellQty': 100}]",0,0,1069.0,6073,1069.0,6073,30-Dec-2025 09:07:48,22274,5716,0,0,4.9,0.46,1064.1
9,TATACONSUM,TATACONSUMEQN,EQ,,1200.7,5.5,0.46,1195.2,5042,6053929,775743209748.82,1202.8,893.1,1200.7,"[{'price': 1197.8, 'buyQty': 1, 'sellQty': 0}, {'price': 1198, 'buyQty': 860, 'sellQty': 0}, {'price': 1198.7, 'buyQty': 88, 'sellQty': 0}, {'price': 1199, 'buyQty': 60, 'sellQty': 0}, {'price': 1200, 'buyQty': 881, 'sellQty': 0}, {'price': 1200.7, 'buyQty': 0, 'sellQty': 118, 'iep': True}, {'price': 1200.9, 'buyQty': 0, 'sellQty': 1}, {'price': 1201, 'buyQty': 0, 'sellQty': 114}, {'price': 1201.2, 'buyQty': 0, 'sellQty': 64}, {'price': 1202, 'buyQty': 0, 'sellQty': 59}]",0,0,1200.7,5042,1200.7,5042,30-Dec-2025 09:07:58,28037,12808,0,0,5.5,0.46,1195.2
