Symbol,%chng in OI
PREMIERENE,184.18
WAAREEENER,100.98
PGEL,26.98
FINNIFTY,26.7
360ONE,25.14
KFINTECH,24.88
CUMMINSIND,24.84
SWIGGY,23.84
ONGC,20.18
NESTLEIND,17.85
DELHIVERY,17.14
BOSCHLTD,16.69
DMART,14.46
SAMMAANCAP,14.43
MARUTI,13.85
JUBLFOOD,13.68
POLYCAB,12.96
HCLTECH,12.92
HDFCBANK,12.91
BLUESTARCO,12.76
TIINDIA,12.75
VOLTAS,12.58
IRCTC,12.35
MUTHOOTFIN,12.28
BAJAJHLDNG,11.65
OIL,11.57
KPITTECH,11.49
LTIM,11.13
AXISBANK,11.08
ABCAPITAL,10.9
FORTIS,10.05
EICHERMOT,9.96
SBIN,9.73
LUPIN,9.66
TATAELXSI,9.64
POLICYBZR,9.38
BANKINDIA,9.32
NTPC,9.11
MFSL,8.66
AMBER,8.51
BRITANNIA,8.31
GODREJPROP,8.29
SBILIFE,8.21
BHEL,8.11
NIFTY,7.79
SRF,7.76
LICI,7.71
NHPC,7.68
SHREECEM,7.63
HINDUNILVR,7.62
COLPAL,7.48
PPLPHARMA,7.36
DABUR,7.1
LODHA,7.08
UNOMINDA,6.91
FEDERALBNK,6.86
HINDPETRO,6.84
ITC,6.79
BANDHANBNK,6.69
MANAPPURAM,6.61
INFY,6.6
WIPRO,6.52
HUDCO,6.51
YESBANK,6.4
EXIDEIND,6.34
KALYANKJIL,6.31
TCS,6.26
MOTHERSON,6.24
IEX,6.21
TATASTEEL,6.13
HDFCLIFE,6.02
RELIANCE,6.01
KAYNES,5.97
TORNTPOWER,5.9
HDFCAMC,5.85
OFSS,5.67
INDHOTEL,5.65
PRESTIGE,5.63
SUPREMEIND,5.56
CROMPTON,5.37
PAGEIND,5.33
ICICIBANK,5.32
SIEMENS,5.28
TECHM,5.22
MANKIND,5.12
PHOENIXLTD,5.07
COALINDIA,5.06
RECLTD,4.98
NUVAMA,4.93
POWERINDIA,4.9
DLF,4.87
CGPOWER,4.81
ZYDUSLIFE,4.7
NIFTYNXT50,4.69
CDSL,4.52
IOC,4.52
COFORGE,4.51
NAUKRI,4.5
TITAN,4.45
HAVELLS,4.43
NATIONALUM,4.41
DIXON,4.36
NYKAA,4.19
KEI,4.15
PERSISTENT,4.14
BPCL,4.14
AUBANK,4.06
IREDA,3.99
BAJFINANCE,3.96
PIIND,3.96
RVNL,3.89
BEL,3.88
BSE,3.88
SUZLON,3.77
BANKNIFTY,3.76
ANGELONE,3.76
BANKBARODA,3.76
POWERGRID,3.73
DRREDDY,3.71
MAZDOCK,3.68
BDL,3.54
MCX,3.52
RBLBANK,3.35
PATANJALI,3.34
HINDALCO,3.25
TATAPOWER,3.2
BIOCON,3.19
IDFCFIRSTB,3.15
PFC,3.12
MARICO,3.08
JIOFIN,3.06
UNITDSPR,3.03
SYNGENE,3.03
INOXWIND,2.98
MIDCPNIFTY,2.97
TVSMOTOR,2.97
VEDL,2.9
ULTRACEMCO,2.88
CAMS,2.87
ASTRAL,2.87
INDUSINDBK,2.78
HAL,2.77
ABB,2.72
APOLLOHOSP,2.66
SBICARD,2.63
HINDZINC,2.6
GODREJCP,2.6
PIDILITIND,2.57
CONCOR,2.56
GMRAIRPORT,2.52
ADANIPORTS,2.5
GAIL,2.45
VBL,2.42
DALBHARAT,2.42
PNB,2.37
KOTAKBANK,2.35
IRFC,2.32
JINDALSTEL,2.31
ASHOKLEY,2.3
LAURUSLABS,2.21
MAXHEALTH,2.19
UNIONBANK,2.13
ICICIGI,2.13
LICHSGFIN,2.13
CHOLAFIN,2.12
INDUSTOWER,2.08
TRENT,2.0
PETRONET,1.97
OBEROIRLTY,1.93
ASIANPAINT,1.87
PNBHOUSING,1.67
ETERNAL,1.63
BHARATFORG,1.63
NMDC,1.58
LT,1.58
SONACOMS,1.53
MPHASIS,1.51
DIVISLAB,1.47
INDIGO,1.43
CIPLA,1.32
ADANIENSOL,1.31
TORNTPHARM,1.31
GRASIM,1.3
ICICIPRULI,1.3
BAJAJFINSV,1.27
M&M,1.25
SUNPHARMA,1.23
CANBK,1.21
IDEA,1.12
SOLARINDS,1.09
BAJAJ-AUTO,1.01
TMPV,0.98
ADANIENT,0.91
AMBUJACEM,0.89
UPL,0.83
BHARTIARTL,0.71
AUROPHARMA,0.62
JSWSTEEL,0.54
LTF,0.51
TATATECH,0.47
PAYTM,0.45
ALKEM,0.08
JSWENERGY,-0.01
ADANIGREEN,-0.02
GLENMARK,-0.1
TATACONSUM,-0.16
IIFL,-0.38
SHRIRAMFIN,-1.03
APLAPOLLO,-1.14
NBCC,-1.22
INDIANB,-1.47
SAIL,-1.72
HEROMOTOCO,-4.5
