Symbol,%chng
HDFCBANK,-2.31
RELIANCE,-0.96
IDEA,-3.31
BAJFINANCE,-1.29
INFY,-2.21
POLYCAB,-0.53
TCS,-1.16
WAAREEENER,-5.34
NTPC,-0.45
ETERNAL,-0.79
DIXON,-0.9
HCLTECH,-2.15
ONGC,-1.41
LT,-0.35
SHRIRAMFIN,-0.78
PREMIERENE,-6.96
HINDPETRO,-0.98
MCX,-0.81
ASHOKLEY,-0.55
SWIGGY,-2.43
CANBK,-0.46
RBLBANK,-1.33
COFORGE,-0.5
INDUSTOWER,-1.82
APOLLOHOSP,-0.6
GRASIM,-0.42
VBL,-1.1
PFC,-0.48
NMDC,-0.75
INDUSINDBK,-0.51
RVNL,-1.34
SUZLON,-1.16
CUMMINSIND,-4.04
JIOFIN,-0.55
DMART,-2.12
IRFC,-0.72
BPCL,-1.01
PERSISTENT,-1.61
BOSCHLTD,-0.88
WIPRO,-2.23
IREDA,-1.62
LICI,-1.7
FEDERALBNK,-1.18
IOC,-1.25
MAXHEALTH,-1.08
TATAPOWER,-1.3
NBCC,-2.46
DRREDDY,-0.72
IRCTC,-2.86
TECHM,-0.82
JUBLFOOD,-2.35
POLICYBZR,-0.59
CGPOWER,-0.48
GAIL,-1.36
TIINDIA,-2.61
CHOLAFIN,-0.43
IDFCFIRSTB,-1.35
INDHOTEL,-0.62
LUPIN,-1.1
MANAPPURAM,-1.24
ADANIGREEN,-0.96
OIL,-2.02
PAGEIND,-0.45
HUDCO,-2.21
DIVISLAB,-0.69
INDIANB,-0.59
NAUKRI,-1.91
ADANIENSOL,-1.31
OFSS,-0.68
AUROPHARMA,-0.66
GLENMARK,-1.23
KPITTECH,-1.51
CONCOR,-0.53
BIOCON,-0.37
INOXWIND,-1.86
DALBHARAT,-0.43
ABB,-0.77
MPHASIS,-0.43
TATATECH,-0.83
CAMS,-0.93
LICHSGFIN,-1.04
PETRONET,-1.07
MANKIND,-0.39
SONACOMS,-1.2
SYNGENE,-0.55
ALKEM,-0.41
