Symbol,%chng
IDEA,1.9
HDFCBANK,0.79
RECLTD,4.13
ICICIBANK,0.93
MCX,1.05
PFC,3.73
COALINDIA,4.76
HEROMOTOCO,1.6
RELIANCE,0.86
BSE,1.29
INDUSTOWER,1.58
BOSCHLTD,7.55
NATIONALUM,3.72
SBIN,0.61
M&M,1.16
TATAPOWER,2.29
NTPC,3.51
MARUTI,1.68
BAJFINANCE,1.77
DIXON,0.45
INDUSINDBK,1.48
ASHOKLEY,2.28
BEL,0.85
IREDA,4.95
VEDL,1.63
TVSMOTOR,1.77
HINDALCO,2.26
ETERNAL,0.55
TRENT,3.02
INFY,0.63
JIOFIN,1.86
PGEL,4.64
IRFC,2.18
TATASTEEL,0.83
DLF,1.17
HINDZINC,1.72
JSWENERGY,2.29
TCS,0.44
POWERGRID,1.01
BANKBARODA,0.78
SUZLON,3.11
TMPV,0.93
INDIANB,2.91
RVNL,1.07
YESBANK,2.89
JINDALSTEL,0.49
BHEL,1.12
WIPRO,1.27
GAIL,1.94
SAMMAANCAP,3.08
MAZDOCK,0.76
DABUR,4.23
IDFCFIRSTB,0.83
NMDC,0.86
CHOLAFIN,2.37
TORNTPOWER,4.68
VBL,0.69
VOLTAS,4.43
HINDUNILVR,0.97
IIFL,4.31
PAYTM,1.92
FORTIS,1.65
ADANIPORTS,0.5
CDSL,1.11
ADANIENSOL,1.7
POLYCAB,1.35
PNBHOUSING,1.33
UNIONBANK,1.73
UNOMINDA,1.8
BANKINDIA,1.39
ADANIGREEN,1.02
RBLBANK,1.3
ADANIENT,0.52
ONGC,1.1
LTF,0.68
PNB,0.89
POWERINDIA,1.51
INOXWIND,3.34
BHARATFORG,1.19
CIPLA,0.61
MUTHOOTFIN,0.95
LODHA,0.37
ASIANPAINT,0.41
CROMPTON,1.77
PAGEIND,0.87
AMBER,0.46
NHPC,2.26
GRASIM,0.47
CGPOWER,0.64
KALYANKJIL,2.46
IRCTC,1.2
JSWSTEEL,0.47
MANAPPURAM,0.4
MAXHEALTH,0.98
TECHM,0.63
SBILIFE,1.45
BANDHANBNK,0.71
INDHOTEL,1.09
SUPREMEIND,1.13
GMRAIRPORT,0.4
LAURUSLABS,0.41
BLUESTARCO,2.86
OBEROIRLTY,1.79
PPLPHARMA,3.92
PERSISTENT,0.58
HDFCLIFE,0.95
ASTRAL,0.85
IEX,0.67
LICHSGFIN,1.75
GODREJPROP,2.14
KEI,0.41
PHOENIXLTD,1.12
AUBANK,0.68
AUROPHARMA,1.41
SBICARD,1.8
SOLARINDS,0.76
TATAELXSI,1.56
CAMS,2.52
JUBLFOOD,0.39
DIVISLAB,0.4
PREMIERENE,0.42
AMBUJACEM,0.5
SONACOMS,3.47
NAUKRI,1.72
GLENMARK,0.96
HAVELLS,1.57
ICICIGI,1.67
EXIDEIND,1.06
SHREECEM,0.41
360ONE,2.25
DELHIVERY,0.59
PRESTIGE,0.8
OFSS,0.4
BIOCON,1.2
TATATECH,1.46
CONCOR,0.77
KFINTECH,0.4
NUVAMA,1.12
PIDILITIND,0.73
ICICIPRULI,0.7
MANKIND,1.49
TORNTPHARM,0.44
ALKEM,1.77
