Symbol,%chng
IDEA,8.09
DIXON,0.64
INDUSTOWER,3.88
INFY,0.87
M&M,1.23
LT,1.29
RECLTD,3.28
ASHOKLEY,3.24
SHRIRAMFIN,2.39
TCS,0.59
TATASTEEL,0.92
INDIGO,0.98
ETERNAL,1.98
INDUSINDBK,3.03
APLAPOLLO,2.93
PNBHOUSING,3.47
NTPC,1.99
SAIL,0.63
JSWENERGY,3.99
KOTAKBANK,0.72
ADANIENSOL,2.1
BAJAJ-AUTO,2.59
RVNL,1.37
PFC,2.34
BANKBARODA,1.86
ADANIGREEN,1.06
ADANIENT,0.66
BHEL,1.51
TVSMOTOR,2.01
HINDALCO,0.86
HEROMOTOCO,1.14
UPL,1.41
IRFC,1.17
SWIGGY,1.1
TRENT,0.37
MOTHERSON,2.18
ADANIPORTS,0.58
NMDC,1.0
JINDALSTEL,1.27
JSWSTEEL,0.45
SUPREMEIND,3.76
CUMMINSIND,0.82
GRASIM,0.8
HCLTECH,0.54
ABCAPITAL,1.2
BDL,1.3
MANAPPURAM,1.93
PRESTIGE,0.64
POWERGRID,1.11
EICHERMOT,0.5
ANGELONE,1.15
BANKINDIA,2.61
DLF,0.62
LAURUSLABS,0.47
POLYCAB,0.74
WIPRO,1.52
TECHM,1.01
GMRAIRPORT,0.95
AMBUJACEM,0.42
ULTRACEMCO,1.01
ASTRAL,3.42
FORTIS,2.06
GODREJCP,1.42
MUTHOOTFIN,0.53
OIL,0.75
KEI,1.23
COLPAL,0.88
TATAPOWER,0.54
AUBANK,0.36
CHOLAFIN,1.26
POWERINDIA,1.04
IIFL,1.39
APOLLOHOSP,1.04
GODREJPROP,0.64
AMBER,1.14
NHPC,0.53
MARICO,1.2
MFSL,0.35
AUROPHARMA,1.18
SBILIFE,0.54
PETRONET,1.34
PREMIERENE,0.52
LODHA,1.14
TIINDIA,0.53
VOLTAS,1.75
PHOENIXLTD,0.63
BLUESTARCO,2.85
PGEL,0.82
NAUKRI,0.52
LTIM,0.9
PATANJALI,1.04
DALBHARAT,0.43
TORNTPOWER,1.61
MPHASIS,1.03
ICICIPRULI,0.76
SHREECEM,0.75
BOSCHLTD,0.36
SIEMENS,1.03
OBEROIRLTY,1.76
