Symbol,%chng in OI
BOSCHLTD,129.26
WAAREEENER,122.31
FINNIFTY,42.25
ITC,38.32
NIFTY,32.19
SWIGGY,20.18
HEROMOTOCO,20.12
BAJAJHLDNG,19.57
PGEL,18.61
TORNTPOWER,16.36
BANKNIFTY,14.11
MIDCPNIFTY,12.87
UNOMINDA,12.72
DABUR,12.52
BAJAJ-AUTO,12.51
DRREDDY,11.99
SBILIFE,11.9
INDIANB,11.89
PREMIERENE,11.32
TVSMOTOR,9.93
MARUTI,9.74
IREDA,9.39
NTPC,9.27
OBEROIRLTY,9.2
TATACONSUM,9.14
BHEL,8.12
FORTIS,7.19
PFC,7.07
VOLTAS,6.97
POLYCAB,6.88
CANBK,6.19
SAMMAANCAP,5.76
SBIN,5.75
KPITTECH,5.69
BPCL,5.69
BRITANNIA,5.6
KAYNES,5.49
ASIANPAINT,5.4
POWERINDIA,5.36
HCLTECH,5.32
SIEMENS,5.29
COFORGE,5.16
DLF,5.13
UNITDSPR,5.08
LTIM,5.06
CGPOWER,4.86
POWERGRID,4.83
KEI,4.59
JUBLFOOD,4.47
360ONE,4.41
MANKIND,4.39
DIVISLAB,4.24
INDUSTOWER,4.22
ASHOKLEY,4.17
INDHOTEL,4.05
RECLTD,4.03
APOLLOHOSP,4.03
MANAPPURAM,3.94
MOTHERSON,3.92
INDUSINDBK,3.91
TATAPOWER,3.87
ONGC,3.68
BANKINDIA,3.64
TRENT,3.58
AXISBANK,3.51
TATAELXSI,3.47
TIINDIA,3.44
SUPREMEIND,3.44
DMART,3.38
PPLPHARMA,3.37
INFY,3.36
HINDALCO,3.3
M&M,3.27
IOC,3.23
LICI,3.23
BHARTIARTL,3.2
DIXON,3.19
CONCOR,3.06
LODHA,3.04
COALINDIA,3.0
SHREECEM,2.89
BANDHANBNK,2.87
IDFCFIRSTB,2.8
EICHERMOT,2.78
BAJAJFINSV,2.76
COLPAL,2.67
SUNPHARMA,2.66
IEX,2.66
HAVELLS,2.66
YESBANK,2.65
PERSISTENT,2.62
ANGELONE,2.62
KOTAKBANK,2.59
SHRIRAMFIN,2.58
TITAN,2.57
MPHASIS,2.56
ADANIENSOL,2.5
APLAPOLLO,2.48
PIIND,2.36
NIFTYNXT50,2.35
PATANJALI,2.33
KALYANKJIL,2.3
ULTRACEMCO,2.28
BANKBARODA,2.24
POLICYBZR,2.24
TECHM,2.24
ICICIBANK,2.23
CUMMINSIND,2.22
SONACOMS,2.21
UPL,2.21
LUPIN,2.19
CDSL,2.17
NATIONALUM,2.16
PHOENIXLTD,2.12
HAL,2.06
HDFCBANK,2.05
SRF,2.04
PAGEIND,2.0
GODREJCP,1.97
TCS,1.95
RBLBANK,1.9
MCX,1.9
GRASIM,1.85
BLUESTARCO,1.84
HDFCAMC,1.8
PNB,1.78
VBL,1.78
MUTHOOTFIN,1.76
FEDERALBNK,1.76
ICICIPRULI,1.76
AMBER,1.73
TMPV,1.73
HINDZINC,1.71
CHOLAFIN,1.7
AUBANK,1.68
LAURUSLABS,1.68
CIPLA,1.64
TORNTPHARM,1.62
RELIANCE,1.62
BSE,1.59
LT,1.53
KFINTECH,1.52
IRCTC,1.5
PAYTM,1.5
LTF,1.41
TATATECH,1.39
BIOCON,1.36
JIOFIN,1.35
NESTLEIND,1.35
PIDILITIND,1.33
MARICO,1.32
DELHIVERY,1.29
HINDUNILVR,1.26
BAJFINANCE,1.26
ZYDUSLIFE,1.2
HINDPETRO,1.14
NAUKRI,1.12
UNIONBANK,1.11
PETRONET,1.1
HDFCLIFE,1.08
HUDCO,1.06
ADANIPORTS,1.04
DALBHARAT,1.01
ICICIGI,1.0
ALKEM,0.92
SBICARD,0.92
IRFC,0.88
ABB,0.86
IIFL,0.86
JINDALSTEL,0.85
BDL,0.84
ETERNAL,0.81
IDEA,0.77
VEDL,0.75
SYNGENE,0.73
AUROPHARMA,0.71
NHPC,0.66
MAXHEALTH,0.62
WIPRO,0.62
GAIL,0.58
AMBUJACEM,0.5
INDIGO,0.48
PRESTIGE,0.48
SUZLON,0.47
GMRAIRPORT,0.47
JSWSTEEL,0.45
CROMPTON,0.42
EXIDEIND,0.4
ASTRAL,0.4
SOLARINDS,0.4
MFSL,0.39
TATASTEEL,0.32
OFSS,0.28
GODREJPROP,0.26
JSWENERGY,0.08
NYKAA,-0.03
RVNL,-0.03
ADANIENT,-0.06
NUVAMA,-0.07
ADANIGREEN,-0.11
MAZDOCK,-0.11
GLENMARK,-0.14
NBCC,-0.15
OIL,-0.22
INOXWIND,-0.38
BHARATFORG,-0.39
LICHSGFIN,-0.48
BEL,-0.49
NMDC,-0.52
PNBHOUSING,-1.33
SAIL,-1.77
ABCAPITAL,-1.79
CAMS,-1.86
