Symbol,%chng
GUJGASLTD,3.40
GSPL,2.10
GAIL,1.89
MGL,1.74
ONGC,1.12
CASTROLIND,1.00
IGL,0.91
AEGISLOG,0.87
RELIANCE,0.86
OIL,0.21
PETRONET,0.19
IOC,-0.25
BPCL,-0.42
HINDPETRO,-0.64
ATGL,-0.77
