,Symbol,metadata.identifier,metadata.series,metadata.purpose,metadata.lastPrice,metadata.change,metadata.pChange,metadata.previousClose,metadata.finalQuantity,metadata.totalTurnover,metadata.marketCap,metadata.yearHigh,metadata.yearLow,metadata.iep,detail.preOpenMarket.preopen,detail.preOpenMarket.ato.totalBuyQuantity,detail.preOpenMarket.ato.totalSellQuantity,detail.preOpenMarket.IEP,detail.preOpenMarket.totalTradedVolume,detail.preOpenMarket.finalPrice,detail.preOpenMarket.finalQuantity,detail.preOpenMarket.lastUpdateTime,detail.preOpenMarket.totalSellQuantity,detail.preOpenMarket.totalBuyQuantity,detail.preOpenMarket.atoBuyQty,detail.preOpenMarket.atoSellQty,detail.preOpenMarket.Change,%chng,detail.preOpenMarket.prevClose
10,SAMMAANCAP,SAMMAANCAPEQN,EQ,,142.6,1.59,1.13,141.01,77496,11050929,109074698267.82,192.95,97.61,142.6,"[{'price': 142.05, 'buyQty': 1425, 'sellQty': 0}, {'price': 142.1, 'buyQty': 3, 'sellQty': 0}, {'price': 142.3, 'buyQty': 50000, 'sellQty': 0}, {'price': 142.5, 'buyQty': 100, 'sellQty': 0}, {'price': 142.55, 'buyQty': 25, 'sellQty': 0}, {'price': 142.6, 'buyQty': 0, 'sellQty': 569, 'iep': True}, {'price': 142.61, 'buyQty': 0, 'sellQty': 5}, {'price': 142.64, 'buyQty': 0, 'sellQty': 250}, {'price': 142.7, 'buyQty': 0, 'sellQty': 1600}, {'price': 142.74, 'buyQty': 0, 'sellQty': 10250}]",0,0,142.6,77496,142.6,77496,31-Dec-2025 09:07:49,962517,311786,0,0,1.59,1.13,141.01
11,COFORGE,COFORGEEQN,EQ,,1670.9,16.0,0.97,1654.9,4294,7174844,557017806609.77,2005.36,1194.01,1670.9,"[{'price': 1668.4, 'buyQty': 1176, 'sellQty': 0}, {'price': 1669, 'buyQty': 200, 'sellQty': 0}, {'price': 1670, 'buyQty': 446, 'sellQty': 0}, {'price': 1670.3, 'buyQty': 30, 'sellQty': 0}, {'price': 1670.9, 'buyQty': 547, 'sellQty': 0, 'iep': True}, {'price': 1671.2, 'buyQty': 0, 'sellQty': 1}, {'price': 1671.8, 'buyQty': 0, 'sellQty': 22}, {'price': 1672, 'buyQty': 0, 'sellQty': 10}, {'price': 1674, 'buyQty': 0, 'sellQty': 10}, {'price': 1674.9, 'buyQty': 0, 'sellQty': 20}]",0,0,1670.9,4294,1670.9,4294,31-Dec-2025 09:07:49,36479,24264,0,0,16.0,0.97,1654.9
12,IDEA,IDEAEQN,EQ,,12.16,0.1,0.83,12.06,2972963,36151230,333435111725.9,12.8,6.12,12.16,"[{'price': 12.12, 'buyQty': 434526, 'sellQty': 0}, {'price': 12.13, 'buyQty': 2496, 'sellQty': 0}, {'price': 12.14, 'buyQty': 11, 'sellQty': 0}, {'price': 12.15, 'buyQty': 766770, 'sellQty': 0}, {'price': 12.16, 'buyQty': 801076, 'sellQty': 0, 'iep': True}, {'price': 12.17, 'buyQty': 0, 'sellQty': 61877}, {'price': 12.18, 'buyQty': 0, 'sellQty': 362726}, {'price': 12.19, 'buyQty': 0, 'sellQty': 327795}, {'price': 12.2, 'buyQty': 0, 'sellQty': 697961}, {'price': 12.21, 'buyQty': 0, 'sellQty': 128976}]",0,0,12.16,2972963,12.16,2972963,31-Dec-2025 09:07:48,13371072,12769831,0,0,0.1,0.83,12.06
13,DIXON,DIXONEQN,EQ,,11856.0,89.0,0.76,11767.0,623,7386288,486296210330.82,18700.0,11646.0,11856.0,"[{'price': 11826, 'buyQty': 20, 'sellQty': 0}, {'price': 11830, 'buyQty': 100, 'sellQty': 0}, {'price': 11840, 'buyQty': 15, 'sellQty': 0}, {'price': 11850, 'buyQty': 19, 'sellQty': 0}, {'price': 11856, 'buyQty': 55, 'sellQty': 0, 'iep': True}, {'price': 11870, 'buyQty': 0, 'sellQty': 6}, {'price': 11875, 'buyQty': 0, 'sellQty': 1}, {'price': 11878, 'buyQty': 0, 'sellQty': 1}, {'price': 11880, 'buyQty': 0, 'sellQty': 45}, {'price': 11900, 'buyQty': 0, 'sellQty': 36}]",0,0,11856.0,623,11856.0,623,31-Dec-2025 09:07:49,7050,8962,0,0,89.0,0.76,11767.0
14,MAXHEALTH,MAXHEALTHEQN,EQ,,1048.7,7.9,0.76,1040.8,2374,2489613,776143753933.09,1314.3,940.05,1048.7,"[{'price': 1042.1, 'buyQty': 100, 'sellQty': 0}, {'price': 1045, 'buyQty': 40, 'sellQty': 0}, {'price': 1045.1, 'buyQty': 50, 'sellQty': 0}, {'price': 1046, 'buyQty': 39, 'sellQty': 0}, {'price': 1046.6, 'buyQty': 911, 'sellQty': 0}, {'price': 1048.7, 'buyQty': 0, 'sellQty': 987, 'iep': True}, {'price': 1049, 'buyQty': 0, 'sellQty': 75}, {'price': 1049.5, 'buyQty': 0, 'sellQty': 20}, {'price': 1049.7, 'buyQty': 0, 'sellQty': 252}, {'price': 1050, 'buyQty': 0, 'sellQty': 17}]",0,0,1048.7,2374,1048.7,2374,31-Dec-2025 09:07:48,16283,15160,0,0,7.9,0.76,1040.8
15,PAGEIND,PAGEINDEQN,EQ,,35835.0,270.0,0.76,35565.0,20,716700,225834374113.48,50590.0,35310.0,35835.0,"[{'price': 35565, 'buyQty': 4, 'sellQty': 0}, {'price': 35575, 'buyQty': 5, 'sellQty': 0}, {'price': 35585, 'buyQty': 5, 'sellQty': 0}, {'price': 35600, 'buyQty': 2, 'sellQty': 0}, {'price': 35700, 'buyQty': 5, 'sellQty': 0}, {'price': 35835, 'buyQty': 0, 'sellQty': 15, 'iep': True}, {'price': 35900, 'buyQty': 0, 'sellQty': 3}, {'price': 35980, 'buyQty': 0, 'sellQty': 11}, {'price': 35995, 'buyQty': 0, 'sellQty': 1}, {'price': 36000, 'buyQty': 0, 'sellQty': 6}]",0,0,35835.0,20,35835.0,20,31-Dec-2025 09:07:51,281,368,0,0,270.0,0.76,35565.0
16,PPLPHARMA,PPLPHARMAEQN,EQ,,172.6,1.3,0.76,171.3,3016,520561,106006496768.67,273.35,165.12,172.6,"[{'price': 171.8, 'buyQty': 2605, 'sellQty': 0}, {'price': 172, 'buyQty': 2332, 'sellQty': 0}, {'price': 172.05, 'buyQty': 50, 'sellQty': 0}, {'price': 172.15, 'buyQty': 209, 'sellQty': 0}, {'price': 172.2, 'buyQty': 25, 'sellQty': 0}, {'price': 172.6, 'buyQty': 0, 'sellQty': 4599, 'iep': True}, {'price': 172.75, 'buyQty': 0, 'sellQty': 100}, {'price': 172.76, 'buyQty': 0, 'sellQty': 100}, {'price': 172.9, 'buyQty': 0, 'sellQty': 50}, {'price': 173, 'buyQty': 0, 'sellQty': 450}]",0,0,172.6,3016,172.6,3016,31-Dec-2025 09:07:51,89818,42543,0,0,1.3,0.76,171.3
17,UPL,UPLEQN,EQ,,793.3,5.95,0.76,787.35,16109,12779269,439846330844.38,801.0,493.0,793.3,"[{'price': 791.3, 'buyQty': 177, 'sellQty': 0}, {'price': 791.7, 'buyQty': 5, 'sellQty': 0}, {'price': 792, 'buyQty': 128, 'sellQty': 0}, {'price': 792.7, 'buyQty': 5, 'sellQty': 0}, {'price': 793, 'buyQty': 3, 'sellQty': 0}, {'price': 793.3, 'buyQty': 0, 'sellQty': 871, 'iep': True}, {'price': 793.5, 'buyQty': 0, 'sellQty': 500}, {'price': 793.7, 'buyQty': 0, 'sellQty': 525}, {'price': 793.8, 'buyQty': 0, 'sellQty': 100}, {'price': 794, 'buyQty': 0, 'sellQty': 309}]",0,0,793.3,16109,793.3,16109,31-Dec-2025 09:07:49,59914,30849,0,0,5.95,0.76,787.35
18,PRESTIGE,PRESTIGEEQN,EQ,,1581.4,11.8,0.75,1569.6,128,202419,265108561960.58,1814.0,1048.05,1581.4,"[{'price': 1574.3, 'buyQty': 1, 'sellQty': 0}, {'price': 1575.9, 'buyQty': 3, 'sellQty': 0}, {'price': 1576, 'buyQty': 50, 'sellQty': 0}, {'price': 1577.4, 'buyQty': 2, 'sellQty': 0}, {'price': 1580, 'buyQty': 5, 'sellQty': 0}, {'price': 1581.4, 'buyQty': 0, 'sellQty': 3, 'iep': True}, {'price': 1583, 'buyQty': 0, 'sellQty': 200}, {'price': 1584.6, 'buyQty': 0, 'sellQty': 20}, {'price': 1584.7, 'buyQty': 0, 'sellQty': 200}, {'price': 1585, 'buyQty': 0, 'sellQty': 6}]",0,0,1581.4,128,1581.4,128,31-Dec-2025 09:07:51,13699,2761,0,0,11.8,0.75,1569.6
19,CAMS,CAMSEQN,EQ,,737.2,5.4,0.74,731.8,1663,1225963,176106960292.66,1057.57,606.21,737.2,"[{'price': 735, 'buyQty': 25, 'sellQty': 0}, {'price': 735.1, 'buyQty': 150, 'sellQty': 0}, {'price': 735.4, 'buyQty': 510, 'sellQty': 0}, {'price': 737.1, 'buyQty': 5377, 'sellQty': 0}, {'price': 737.2, 'buyQty': 4867, 'sellQty': 0, 'iep': True}, {'price': 737.4, 'buyQty': 0, 'sellQty': 4}, {'price': 737.9, 'buyQty': 0, 'sellQty': 8}, {'price': 738, 'buyQty': 0, 'sellQty': 400}, {'price': 738.4, 'buyQty': 0, 'sellQty': 16}, {'price': 738.9, 'buyQty': 0, 'sellQty': 96}]",0,0,737.2,1663,737.2,1663,31-Dec-2025 09:08:01,27606,31568,0,0,5.4,0.74,731.8
20,SBILIFE,SBILIFEEQN,EQ,,2010.2,14.7,0.74,1995.5,1121,2253434,904117089372.23,2086.6,1372.55,2010.2,"[{'price': 2005, 'buyQty': 40, 'sellQty': 0}, {'price': 2005.4, 'buyQty': 2, 'sellQty': 0}, {'price': 2009.1, 'buyQty': 2322, 'sellQty': 0}, {'price': 2010, 'buyQty': 15, 'sellQty': 0}, {'price': 2010.2, 'buyQty': 31, 'sellQty': 0, 'iep': True}, {'price': 2017.7, 'buyQty': 0, 'sellQty': 6}, {'price': 2018, 'buyQty': 0, 'sellQty': 200}, {'price': 2019, 'buyQty': 0, 'sellQty': 230}, {'price': 2019.4, 'buyQty': 0, 'sellQty': 46}, {'price': 2019.5, 'buyQty': 0, 'sellQty': 50}]",0,0,2010.2,1121,2010.2,1121,31-Dec-2025 09:08:01,3884,3871,0,0,14.7,0.74,1995.5
21,VEDL,VEDLEQN,EQ,,610.0,4.45,0.73,605.55,100797,61486170,1025189369694.73,616.0,363.0,610.0,"[{'price': 609, 'buyQty': 545, 'sellQty': 0}, {'price': 609.1, 'buyQty': 10, 'sellQty': 0}, {'price': 609.3, 'buyQty': 9, 'sellQty': 0}, {'price': 609.5, 'buyQty': 5, 'sellQty': 0}, {'price': 610, 'buyQty': 21794, 'sellQty': 0, 'iep': True}, {'price': 610.1, 'buyQty': 0, 'sellQty': 35}, {'price': 610.3, 'buyQty': 0, 'sellQty': 500}, {'price': 610.5, 'buyQty': 0, 'sellQty': 6}, {'price': 610.55, 'buyQty': 0, 'sellQty': 25}, {'price': 610.9, 'buyQty': 0, 'sellQty': 235}]",0,0,610.0,100797,610.0,100797,31-Dec-2025 09:07:49,189164,421001,0,0,4.45,0.73,605.55
