,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,SAIL,EQ,134.09,141.8,133.54,141.3,134.09,5.38,41245044,57499.7158404,N,08-Sep-2025,Dividend - Rs 1.60 Per Share,5.38
1,NATIONALUM,EQ,298.0,318.85,298.0,317.0,300.9,5.35,24881884,77701.14735520001,N,14-Nov-2025,Interim Dividend - Rs 4 Per Share,5.35
2,NMDC,EQ,80.9,83.79,80.6,83.43,80.84,3.2,40418456,33430.1049576,N,14-Aug-2025,Dividend - Re 1 Per Share,3.2
3,JINDALSTEL,EQ,992.0,1025.5,986.4,1020.7,990.5,3.05,2097101,21245.730230999998,N,22-Aug-2025,Dividend - Rs 2 Per Share,3.05
4,INDIANB,EQ,784.45,815.2,778.65,807.1,784.45,2.89,7951593,64149.4765275,N,10-Jun-2025,Dividend - Rs 16.25 Per Share,2.89
5,360ONE,EQ,1164.4,1217.9,1164.3,1200.0,1170.6,2.51,939031,11123.8551291,N,27-Oct-2025,Interim Dividend - Rs 6 Per Share,2.51
6,HEROMOTOCO,EQ,5570.0,5742.5,5566.5,5699.0,5566.0,2.39,2980473,169816.3237899,N,24-Jul-2025,Dividend - Rs 65 Per Share,2.39
7,NHPC,EQ,76.8,78.75,76.8,78.61,76.79,2.37,17154730,13356.672778,N,14-Aug-2025,Dividend - Rs 0.51 Per Share,2.37
8,ASHOKLEY,EQ,175.5,179.97,174.01,179.05,174.92,2.36,58790880,104865.292656,N,18-Nov-2025,Interim Dividend - Re 1 Per Share,2.36
9,BAJAJ-AUTO,EQ,9087.0,9299.0,9025.5,9298.0,9087.0,2.32,464922,42889.984344000004,N,20-Jun-2025,Dividend - Rs 210 Per Share,2.32
10,VEDL,EQ,593.75,607.0,591.15,606.0,593.1,2.18,14079178,84451.1333974,N,26-Aug-2025,Interim Dividend - Rs 16 Per Share,2.18
11,ADANIENSOL,EQ,1000.4,1028.2,996.3,1021.0,999.35,2.17,879685,8925.7238525,N,14-Jun-2024,Annual General Meeting,2.17
12,CANBK,EQ,150.5,154.5,149.12,154.2,150.92,2.17,76140412,116662.3392664,N,13-Jun-2025,Dividend - Rs 4 Per Share,2.17
13,UPL,EQ,770.0,792.65,768.9,787.45,770.95,2.14,8329037,65284.6578134,N,11-Jul-2025,Dividend - Rs 6 Per Share,2.14
14,HINDALCO,EQ,868.0,888.3,863.85,883.3,865.0,2.12,15280248,134756.50711200002,N,08-Aug-2025,Dividend - Rs 5 Per Share,2.12
15,SHRIRAMFIN,EQ,960.95,984.6,960.95,974.55,955.5,1.99,17757531,173404.0659681,N,07-Nov-2025,Interim Dividend - Rs 4.80 Per Share,1.99
16,TATASTEEL,EQ,172.78,176.35,170.8,175.68,172.3,1.96,33741158,58831.0830888,N,06-Jun-2025,Dividend - Rs 3.60 Per Share,1.96
17,NYKAA,EQ,258.8,267.2,256.0,263.85,258.85,1.93,25458240,67054.45833600001,N,10-Nov-2022,Bonus 5:1,1.93
18,M&M,EQ,3590.0,3666.0,3575.2,3660.0,3592.1,1.89,2063179,75240.6307257,N,04-Jul-2025,Dividend - Rs 25.30 Per Share,1.89
19,IIFL,EQ,591.2,605.9,590.0,605.0,593.95,1.86,2238714,13470.789880799999,N,23-Sep-2024,Annual General Meeting,1.86
