,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,JSWSTEEL,EQ,N,1169,1132.6,6828001293.3,5881898,54.3,4.88,1165.9,31-Dec-2025 16:00:29,1160.85
1,SAIL,EQ,N,149.19,143.8,10069240358.1,68661714,6.08,4.31,147.1,31-Dec-2025 16:00:29,146.65
2,WELCORP,EQ,N,818,791.55,588624408.06,727721,24,3.04,814.05,31-Dec-2025 16:00:29,808.86
3,JINDALSTEL,EQ,N,1065,1042.4,4906325664.2,4643020,28.7,2.81,1050,31-Dec-2025 16:00:29,1056.71
4,LLOYDSME,EQ,N,1338,1303.8,744468812.36,562156,31.6,2.44,1325.9,31-Dec-2025 16:00:29,1324.31
5,TATASTEEL,EQ,N,181.4,178.5,9166076928.09,50897201,4.13,2.35,179.93,31-Dec-2025 16:00:29,180.09
6,APLAPOLLO,EQ,N,1920.9,1883.3,689114921.76,360627,29.8,1.58,1913,31-Dec-2025 16:00:29,1910.88
7,ADANIENT,EQ,N,2246.4,2216.3,1741317803.72,779141,24.3,1.10,2239,31-Dec-2025 16:00:29,2234.92
8,HINDALCO,EQ,N,890,879.45,3136366371.6,3539118,1.85,0.21,886,31-Dec-2025 16:00:29,886.2
9,JSL,EQ,N,867,831,1882958494.81,2213969,-2.8,-0.33,833.2,31-Dec-2025 16:00:29,850.49
10,NMDC,EQ,N,84.64,82.9,2612746145.5,31290373,-0.41,-0.49,83,31-Dec-2025 16:00:29,83.5
11,VEDL,EQ,N,610.05,599.35,5403240751.97,8925223,-3.15,-0.52,602.4,31-Dec-2025 16:00:29,605.39
12,NATIONALUM,EQ,N,319.85,313.45,3751271674.48,11874119,-1.95,-0.62,314.65,31-Dec-2025 16:00:29,315.92
13,HINDZINC,EQ,N,621.05,608.3,5900725550.78,9599983,-13,-2.08,612.3,31-Dec-2025 16:00:29,614.66
14,HINDCOPPER,EQ,N,537.85,515,39247148915.61,74797791,-15.05,-2.82,518.3,31-Dec-2025 16:00:29,524.71
