,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
199,PNBHOUSING,29645,29163,482,1.65,5584,13478.37679,2175176198,14000.29377,521.91698,951
200,IREDA,24769,24465,304,1.24,11948,14162.97036,4565243274,15328.39485,1165.42449,139
201,TIINDIA,20996,20747,249,1.2,5550,9072.17776,2055296746,9499.48522,427.30746,2612
202,TATAPOWER,66943,66203,740,1.12,22645,23682.74574,10330151117,25177.65442,1494.90867,379
203,SONACOMS,14032,13886,146,1.05,2551,6219.5526,912574383,6403.28643,183.73383,478
204,BEL,134773,133616,1157,0.87,61532,52380.87005,30807783809,57819.13189,5438.26184,399
205,JSWENERGY,53077,52692,385,0.73,12289,18326.4474,4222575230,19222.0997,895.6523,482
206,CONCOR,44094,43789,305,0.7,16628,21526.41375,9075239162,23598.43037,2072.01662,525
207,NUVAMA,8238,8239,-1,-0.01,4860,7033.45325,2986978460,7687.43785,653.9846,1480
208,NYKAA,19638,20086,-448,-2.23,8321,19029.67312,5125893437,20162.51375,1132.84062,265
