,Symbol,series,marketType,high,low,quantityTraded,totalTradedVolume,change,%chng,lastPrice,lastUpdatedTime,vwap
0,COLPAL,EQ,N,2100,2080,187183738.3,89414,21.8,1.05,2097.5,01-Jan-2026 09:40:25,2093.45
1,PATANJALI,EQ,N,549.85,545.55,31021568.38,56618,2.6,0.48,548.1,01-Jan-2026 09:40:24,547.91
2,NESTLEIND,EQ,N,1294.8,1284.9,94199972.72,72926,4.7,0.36,1292.7,01-Jan-2026 09:40:24,1291.72
3,VBL,EQ,N,492.8,490,87616746.06,178293,0.25,0.05,490.1,01-Jan-2026 09:40:25,491.42
4,BRITANNIA,EQ,N,6063,6006,65320923.36,10857,-8.5,-0.14,6022.5,01-Jan-2026 09:40:23,6016.48
5,EMAMILTD,EQ,N,530.3,524.65,12001224.96,22752,-1.45,-0.27,527.15,01-Jan-2026 09:40:23,527.48
6,DABUR,EQ,N,505.9,501.9,24621576,48930,-1.7,-0.34,501.9,01-Jan-2026 09:40:23,503.2
7,HINDUNILVR,EQ,N,2322,2307.5,85259391.6,36860,-8.3,-0.36,2307.6,01-Jan-2026 09:40:22,2313.06
8,GODREJCP,EQ,N,1226.5,1214.4,17881898.43,14681,-4.5,-0.37,1217.7,01-Jan-2026 09:40:24,1218.03
9,TATACONSUM,EQ,N,1195.5,1186.4,28352470.27,23819,-4.7,-0.39,1187.3,01-Jan-2026 09:40:26,1190.33
10,MARICO,EQ,N,755,746,25694817.2,34333,-3.25,-0.43,747.35,01-Jan-2026 09:40:26,748.4
11,UNITDSPR,EQ,N,1451.5,1436.5,38459010.24,26656,-6.9,-0.48,1436.8,01-Jan-2026 09:40:20,1442.79
12,UBL,EQ,N,1629.7,1600,13871021.36,8596,-8.1,-0.50,1613.6,01-Jan-2026 09:40:25,1613.66
13,RADICO,EQ,N,3307.8,3261,77454892.89,23579,-30.5,-0.92,3267.9,01-Jan-2026 09:40:25,3284.91
14,ITC,EQ,N,402.7,384.85,23395650610.8,58954870,-17.45,-4.33,385.55,01-Jan-2026 09:40:26,396.84
