,Symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,%chng
0,ITC,EQ,402.7,402.7,384.85,385.7,403.0,-4.29,59005666,234152.1843878,N,28-May-2025,Dividend - Rs 7.85 Per Share,-4.29
1,ALKEM,EQ,5477.0,5519.5,5428.5,5432.0,5506.5,-1.35,2867,156.55310839999999,N,08-Aug-2025,Dividend - Rs 8 Per Share,-1.35
2,DRREDDY,EQ,1270.0,1270.0,1252.1,1254.5,1271.4,-1.33,110161,1385.8914766,N,10-Jul-2025,Dividend - Rs 8 Per Share,-1.33
3,MCX,EQ,11160.0,11160.0,11001.0,11005.0,11136.0,-1.18,56829,6291.8397837,N,02-Jan-2026,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,-1.18
4,NUVAMA,EQ,1485.0,1485.0,1457.8,1463.0,1480.5,-1.18,24642,361.0866186,N,26-Dec-2025,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,-1.18
5,PAGEIND,EQ,36285.0,36285.0,35620.0,35625.0,36045.0,-1.17,936,335.14050960000003,N,19-Nov-2025,Interim Dividend - Rs 125 Per Share,-1.17
6,SYNGENE,EQ,650.05,652.15,643.5,643.7,651.0,-1.12,21263,137.3249592,N,27-Jun-2025,Dividend - Rs 1.25 Per Share,-1.12
7,RBLBANK,EQ,313.95,316.5,311.75,312.35,315.8,-1.09,422948,1328.268194,N,08-Sep-2025,Dividend - Re 1 Per Share,-1.09
8,KAYNES,EQ,4023.5,4030.5,3970.0,3975.0,4013.0,-0.95,168922,6753.839403999999,N,08-Sep-2023,Annual General Meeting,-0.95
9,BIOCON,EQ,393.0,393.9,390.05,390.25,393.9,-0.93,75717,296.4471984,N,04-Jul-2025,Dividend - Rs 0.50 Per Share,-0.93
10,MANKIND,EQ,2202.0,2202.0,2176.3,2177.1,2196.5,-0.88,9270,202.491099,N,08-Aug-2025,Interim Dividend - Re 1  Per Share,-0.88
11,AUROPHARMA,EQ,1190.0,1190.0,1172.4,1172.8,1183.0,-0.86,84614,996.9983006,N,08-Aug-2025,Interim Dividend - Rs 4 Per Share,-0.86
12,TORNTPHARM,EQ,3860.0,3863.5,3820.5,3820.8,3850.0,-0.76,2706,103.7212506,N,20-Jun-2025,Dividend - Rs 6 Per Share,-0.76
13,SAMMAANCAP,EQ,146.19,146.48,143.6,144.56,145.64,-0.74,1262782,1827.3718322,N,20-Sep-2024,Dividend - Rs 2 Per Share,-0.74
14,NMDC,EQ,83.17,83.36,82.38,82.56,83.17,-0.73,2419593,2004.3908412,N,14-Aug-2025,Dividend - Re 1 Per Share,-0.73
15,MAZDOCK,EQ,2500.0,2504.0,2472.2,2472.3,2490.2,-0.72,111925,2785.119315,N,04-Nov-2025,Interim Dividend - Rs 6 Per Share,-0.72
16,LUPIN,EQ,2114.0,2114.0,2093.0,2094.5,2109.5,-0.71,15758,330.7824812,N,25-Jul-2025,Dividend - Rs 12 Per Share,-0.71
17,CIPLA,EQ,1512.0,1512.0,1500.0,1500.8,1511.3,-0.69,27555,414.2260485,N,27-Jun-2025,Dividend - Rs 13 Per Share/Special Dividend - Rs 3 Per Share,-0.69
18,DELHIVERY,EQ,403.05,404.1,400.55,401.05,403.85,-0.69,71626,287.9866582,N,20-Sep-2023,Annual General Meeting,-0.69
19,TORNTPOWER,EQ,1301.5,1310.5,1297.9,1298.1,1306.7,-0.66,8927,116.23846699999999,N,06-Jun-2025,Dividend - Rs 5 Per Share,-0.66
