,Symbol,latestOI,prevOI,changeInOI,%chng in OI,volume,futValue,optValue,total,premValue,underlyingValue
57,ZYDUSLIFE,16585,16436,149,0.91,475,1320.08958,264057300,1354.71258,34.623,909
58,SBIN,144303,143019,1284,0.9,8818,8115.82125,5767006237,8744.14612,628.32487,981
59,AUROPHARMA,47734,47317,417,0.88,1559,1918.71344,855681469,2048.53814,129.82469,1173
60,DIXON,129692,128569,1123,0.87,13306,9188.32378,7507529588,10851.01966,1662.69588,12090
61,MAZDOCK,53002,52550,452,0.86,3245,1365.12252,1581204978,1676.4323,311.30978,2479
62,MANAPPURAM,18965,18804,161,0.86,595,1722.9678,392429070,1803.8835,80.9157,306
63,MANKIND,12059,11957,102,0.85,420,916.67506,119237987,938.42493,21.74987,2178
64,ICICIGI,18409,18256,153,0.84,415,914.06142,171151626,929.66269,15.60126,1952
65,AXISBANK,154764,153521,1243,0.81,6063,7232.535,4173243412,7701.84412,469.30912,1268
66,HAL,103766,102936,830,0.81,3758,2536.58209,2337880915,2852.81625,316.23415,4376
67,TECHM,40322,40002,320,0.8,1440,2279.26836,1192564374,2478.2721,199.00374,1589
68,HEROMOTOCO,55315,54883,432,0.79,3815,4711.02397,2913143419,5194.78317,483.75919,5752
69,VOLTAS,36439,36156,283,0.78,1578,1157.88172,719739251,1281.27423,123.39251,1373
70,BAJFINANCE,168143,166841,1302,0.78,5092,6706.3368,3211087042,7230.73222,524.39542,984
71,AUBANK,27151,26942,209,0.78,899,1817.2428,749583800,1922.4808,105.238,994
72,TATAELXSI,23301,23124,177,0.77,779,546.43548,370458635,615.37183,68.93635,5214
73,TATATECH,22664,22496,168,0.75,359,1023.6264,87791744,1036.66384,13.03744,641
74,WIPRO,48841,48494,347,0.72,3288,3935.4918,2287378680,4325.7036,390.2118,265
75,SOLARINDS,36008,35759,249,0.7,1549,1006.55444,884924777,1123.37721,116.82277,12184
76,IEX,30595,30388,207,0.68,1073,1251.30675,445361100,1344.71775,93.411,133
77,HCLTECH,59856,59456,400,0.67,1903,1607.68552,940983918,1739.7247,132.03918,1619
78,PAYTM,30925,30726,199,0.65,819,1663.52837,633154883,1786.0322,122.50383,1296
79,TMPV,179009,177905,1104,0.62,10301,5860.7804,2546780256,6354.78296,494.00256,366
80,PERSISTENT,30160,29974,186,0.62,1539,2225.26324,774746978,2427.83302,202.56978,6263
81,ALKEM,13169,13091,78,0.6,323,678.00252,153542443,695.48946,17.48693,5433
82,COFORGE,84821,84334,487,0.58,3116,2430.51052,1804926757,2827.7781,397.26757,1661
83,KFINTECH,8777,8727,50,0.57,215,616.5714,55240860,626.58,10.0086,1077
84,RBLBANK,30094,29924,170,0.57,1610,3542.56911,1296522045,3717.61956,175.05045,312
85,TATACONSUM,27282,27129,153,0.56,774,1850.0823,331697899,1900.94129,50.85899,1187
86,BHARATFORG,24705,24568,137,0.56,1915,2588.1997,1189435335,2838.25305,250.05335,1471
87,ABCAPITAL,32357,32178,179,0.56,1146,2417.65807,1062224455,2612.89762,195.23955,355
88,DIVISLAB,40677,40454,223,0.55,1290,1191.5996,719097214,1278.37174,86.77214,6363
89,INDUSINDBK,87191,86715,476,0.55,3494,4095.39452,1743346542,4407.13994,311.74542,865
90,INDUSTOWER,73209,72817,392,0.54,11093,21298.73441,6087658452,22663.50393,1364.76952,425
91,PGEL,16447,16362,85,0.52,671,1169.13137,260429960,1229.90097,60.7696,576
92,SUPREMEIND,14798,14722,76,0.52,1263,1870.67102,581184131,1992.82483,122.15381,3369
93,BANKBARODA,42237,42022,215,0.51,2588,4377.51346,1862779522,4670.89681,293.38335,296
94,SUNPHARMA,67279,66945,334,0.5,2033,1682.47201,1079179955,1799.97156,117.49955,1711
95,IDFCFIRSTB,48296,48057,239,0.5,1208,2540.91129,729000809,2644.83488,103.92359,85
96,ADANIENSOL,30315,30165,150,0.5,1151,1428.12699,675935543,1610.95743,182.83043,1036
97,CGPOWER,23117,23003,114,0.5,465,868.76494,176970756,900.1375,31.37256,647
98,NESTLEIND,38271,38088,183,0.48,1130,1523.07385,588332760,1612.25145,89.1776,1293
99,NHPC,16818,16738,80,0.48,637,596.42368,276004288,640.24256,43.81888,79
100,BAJAJFINSV,91606,91172,434,0.48,2722,2130.84295,1203636832,2276.96127,146.11832,2033
101,UNIONBANK,25051,24934,117,0.47,737,1290.55833,384479621,1368.79454,78.23621,153
102,KPITTECH,11798,11743,55,0.47,255,571.73907,72721495,590.39402,18.65495,1170
103,VEDL,130009,129403,606,0.47,3731,5113.09067,2150656170,5556.94237,443.8517,604
104,IRCTC,50787,50552,235,0.46,1549,1280.33123,836135195,1403.47068,123.13945,681
105,BIOCON,25395,25281,114,0.45,592,1811.20125,412513225,1885.4585,74.25725,390
106,LICHSGFIN,45939,45733,206,0.45,674,665.4907,297228830,705.679,40.1883,537
107,JUBLFOOD,29525,29395,130,0.44,640,1196.18875,336032950,1252.08075,55.892,556
108,ASTRAL,26375,26261,114,0.43,2504,4283.02122,1080353000,4481.52623,198.505,1400
109,MUTHOOTFIN,23051,22952,99,0.43,1285,1973.28953,1178364002,2154.67956,181.39002,3793
110,ULTRACEMCO,71960,71654,306,0.43,3158,3084.00749,1605884843,3305.35592,221.34843,11855
111,COALINDIA,79056,78720,336,0.43,2184,2001.44344,1012479088,2151.91458,150.47113,399
112,OBEROIRLTY,14739,14677,62,0.42,221,519.95104,79668704,534.59808,14.64704,1664
113,LTIM,19027,18947,80,0.42,786,1523.44194,578444686,1638.7138,115.27186,6056
114,INDIANB,15706,15640,66,0.42,1314,1992.2871,929454080,2198.0279,205.7408,837
115,LUPIN,21024,20936,88,0.42,611,1594.04469,396274594,1648.74563,54.70094,2093
116,MPHASIS,23986,23888,98,0.41,389,920.70959,219370816,971.89276,51.18316,2807
117,SHREECEM,12911,12859,52,0.4,251,700.53233,101567998,710.46231,9.92998,26640
118,KOTAKBANK,114940,114478,462,0.4,6450,7676.1932,5027997404,8359.92724,683.73404,2196
119,TATASTEEL,79304,78990,314,0.4,4913,8693.96825,4137976480,9348.24055,654.2723,180
120,INOXWIND,34019,33885,134,0.4,436,556.05693,150812983,577.88051,21.82358,123
121,ONGC,69070,68800,270,0.39,5441,5817.474,2415452197,6155.37472,337.90072,239
122,JIOFIN,97149,96793,356,0.37,1620,3144.6666,847351579,3254.64989,109.98329,295
123,ETERNAL,143654,143128,526,0.37,8262,8813.06522,4960051932,9888.97079,1075.90557,282
124,BEL,134811,134320,491,0.37,7221,5475.01259,3713236215,6002.25974,527.24715,397
125,IRFC,38992,38851,141,0.36,3146,3501.57542,1424414912,3861.27205,359.69662,125
126,CUMMINSIND,20741,20666,75,0.36,399,819.5884,278931532,872.80372,53.21532,4442
127,PNB,43124,42970,154,0.36,1575,4890.112,1099375360,5096.3456,206.2336,123
128,ABB,24248,24163,85,0.35,386,610.91651,194498573,639.15225,28.23573,5168
129,BHARTIARTL,122405,121990,415,0.34,6303,9028.64225,5546908364,9657.07589,628.43364,2117
130,DABUR,28158,28063,95,0.34,971,796.59975,542774750,866.65975,70.06,502
131,ADANIENT,104660,104308,352,0.34,4066,5548.96285,2343977316,6038.94758,489.98472,2252
132,PETRONET,39302,39170,132,0.34,3085,1963.137,1496135544,2190.83794,227.70094,286
133,HINDUNILVR,63837,63626,211,0.33,2010,1866.13776,1230526536,2000.94312,134.80536,2310
134,UPL,41495,41358,137,0.33,2015,3703.41079,1853238161,4048.0339,344.62311,792
135,SONACOMS,14069,14024,45,0.32,177,405.79754,65281266,421.54896,15.75141,477
136,INFY,225580,224866,714,0.32,7304,9648.09984,3901308684,10332.38668,684.28684,1618
137,TRENT,124755,124368,387,0.31,3117,2295.58554,1145972583,2513.41137,217.82583,4262
138,FORTIS,18225,18169,56,0.31,243,549.05014,115524414,569.46178,20.41164,878
139,NTPC,81849,81599,250,0.31,3171,2997.7905,1288987410,3149.5146,151.7241,330
140,COLPAL,40306,40185,121,0.3,2254,2353.09304,843184122,2477.48427,124.39122,2097
